Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,131.20,132.37,130.58,130.60,305800,127.85
2011-12-29,130.33,131.48,130.00,131.14,417600,128.38
2011-12-28,131.26,131.61,129.74,130.00,451700,127.26
2011-12-27,131.88,133.38,131.00,132.56,341000,128.90
2011-12-23,132.73,132.80,130.81,131.95,790600,128.30
2011-12-22,129.32,132.50,129.14,131.83,929400,128.19
2011-12-21,130.17,130.17,128.17,128.93,779200,125.37
2011-12-20,128.90,129.86,128.41,129.46,757600,125.88
2011-12-19,129.42,129.43,126.87,127.07,882400,123.56
2011-12-16,129.36,131.55,128.52,128.96,1121500,125.40
2011-12-15,126.63,128.94,125.90,128.49,784900,124.94
2011-12-14,122.00,126.69,122.00,125.25,832600,121.79
2011-12-13,123.57,125.12,121.93,122.72,472400,119.33
2011-12-12,124.56,124.56,122.26,123.07,768100,119.67
2011-12-09,122.43,126.68,121.60,125.64,720200,122.17
2011-12-08,124.13,124.63,121.60,121.96,447000,118.59
2011-12-07,122.06,125.04,121.63,124.75,442000,121.30
2011-12-06,122.97,123.22,121.73,122.58,351300,119.19
2011-12-05,125.76,125.76,122.34,123.06,814000,119.66
2011-12-02,125.24,126.54,123.66,124.01,483200,120.58
2011-12-01,124.40,124.76,122.13,123.89,717200,120.47
2011-11-30,122.08,125.09,120.95,124.85,1125800,121.40
2011-11-29,119.96,120.35,117.97,118.81,528400,115.53
2011-11-28,121.80,122.39,118.12,119.42,812600,116.12
2011-11-25,116.76,120.27,116.25,118.10,264300,114.84
2011-11-23,118.52,119.03,116.58,116.95,747400,113.72
2011-11-22,120.61,121.64,119.38,119.45,469100,116.15
2011-11-21,121.19,121.67,119.00,120.66,884300,117.33
2011-11-18,123.26,123.36,121.39,123.24,743700,119.83
2011-11-17,125.40,125.40,121.57,122.29,975900,118.91
2011-11-16,127.24,127.92,125.54,125.65,755800,122.18
2011-11-15,126.32,128.75,126.00,127.93,531500,124.39
2011-11-14,128.23,128.69,126.43,126.69,493900,123.19
2011-11-11,126.59,129.51,125.87,129.32,474700,125.75
2011-11-10,127.01,127.01,124.38,125.13,608500,121.67
2011-11-09,127.95,129.22,124.48,124.92,799200,121.47
2011-11-08,130.94,131.43,127.07,131.25,724700,127.62
2011-11-07,130.36,132.23,128.27,130.30,573700,126.70
2011-11-04,127.18,130.42,126.77,130.32,1228400,126.72
2011-11-03,129.71,129.71,125.10,129.04,1022900,125.47
