Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,43.91,43.91,43.37,43.37,2206600,41.81
2011-12-29,43.55,43.83,43.50,43.71,2485100,42.14
2011-12-28,43.70,43.84,43.45,43.49,2063200,41.93
2011-12-27,43.45,43.79,43.41,43.68,2014300,42.11
2011-12-23,43.49,43.75,43.36,43.52,2441600,41.95
2011-12-22,43.50,43.67,43.05,43.35,4967500,41.79
2011-12-21,42.34,43.44,41.88,43.38,15541500,41.82
2011-12-20,42.51,42.61,42.03,42.33,5907400,40.81
2011-12-19,42.90,42.98,41.97,42.05,5778400,40.54
2011-12-16,43.36,43.55,42.70,42.84,7435400,41.30
2011-12-15,43.09,43.48,42.90,43.25,9928400,41.69
2011-12-14,43.34,43.48,42.92,42.94,3697000,41.40
2011-12-13,43.20,43.79,43.12,43.31,4757900,41.75
2011-12-12,43.48,43.54,42.75,43.06,4700400,41.51
2011-12-09,43.50,43.64,43.11,43.58,4799000,42.01
2011-12-08,43.51,43.60,42.90,43.02,4246100,41.47
2011-12-07,43.45,43.85,43.33,43.64,3908300,42.07
2011-12-06,43.92,44.00,43.49,43.72,5514400,42.15
2011-12-05,43.57,44.00,43.46,43.73,3981700,42.16
2011-12-02,44.14,44.21,43.27,43.33,5657100,41.77
2011-12-01,44.15,44.45,43.95,44.05,4130100,42.47
2011-11-30,43.84,44.34,43.36,44.31,6480900,42.72
2011-11-29,42.85,43.12,42.74,42.94,3834600,41.40
2011-11-28,42.66,42.92,42.46,42.69,4213300,41.15
2011-11-25,41.89,42.24,41.80,41.93,1568700,40.42
2011-11-23,42.23,42.37,41.74,41.89,3719600,40.38
2011-11-22,43.27,43.35,42.52,42.55,4968200,41.02
2011-11-21,43.16,43.46,42.96,43.24,3837600,41.68
2011-11-18,43.63,43.97,43.54,43.68,3859500,42.11
2011-11-17,43.71,43.96,43.06,43.40,5604400,41.84
2011-11-16,44.14,44.24,43.65,43.69,4783000,42.12
2011-11-15,44.55,44.74,44.27,44.37,4973900,42.77
2011-11-14,44.90,45.02,44.41,44.65,3981300,43.04
2011-11-11,44.80,45.22,44.73,45.06,3313700,43.44
2011-11-10,44.72,44.95,44.24,44.41,5917100,42.81
2011-11-09,44.83,45.45,44.68,44.98,8023200,42.86
2011-11-08,44.83,45.35,44.70,45.34,7408300,43.20
2011-11-07,44.28,44.85,43.97,44.83,14800400,42.71
2011-11-04,44.28,44.35,43.53,44.02,11423200,41.94
2011-11-03,44.50,44.80,44.26,44.59,14799000,42.48
2011-11-02,44.10,44.56,44.03,44.23,4627300,42.14
2011-11-01,43.93,44.26,43.50,43.60,7378900,41.54
2011-10-31,44.32,44.82,44.26,44.39,5838400,42.29
2011-10-28,44.10,44.67,43.72,44.57,7971000,42.47
2011-10-27,43.35,44.45,43.21,44.22,8522500,42.13
2011-10-26,42.77,42.90,42.00,42.71,6549300,40.69
2011-10-25,42.72,42.99,42.30,42.31,6994000,40.31
2011-10-24,43.17,43.27,42.76,42.92,4584500,40.89
2011-10-21,43.04,43.35,43.01,43.31,4441000,41.27
2011-10-20,42.63,42.94,42.41,42.72,3627100,40.70
2011-10-19,42.72,43.24,42.42,42.54,3425900,40.53
2011-10-18,42.73,42.90,42.21,42.68,5589000,40.66
2011-10-17,42.85,43.29,42.65,42.73,3596400,40.71
2011-10-14,43.01,43.31,42.82,43.23,4401600,41.19
2011-10-13,42.56,42.81,42.18,42.76,3862900,40.74
2011-10-12,42.08,42.90,42.02,42.65,5790800,40.64
2011-10-11,42.52,42.54,41.87,42.10,5174300,40.11
2011-10-10,42.36,42.61,42.17,42.61,4699800,40.60
2011-10-07,41.50,42.15,41.42,41.93,7879500,39.95
2011-10-06,40.77,41.40,40.62,41.24,7781700,39.29
2011-10-05,41.03,41.13,39.93,40.73,11043000,38.81
2011-10-04,41.08,41.13,40.15,40.95,9900000,39.02
2011-10-03,42.51,42.80,41.17,41.20,7541700,39.25
2011-09-30,43.18,43.37,42.61,42.61,6461100,40.60
2011-09-29,43.14,43.41,42.84,43.30,5889500,41.26
2011-09-28,42.95,43.23,42.74,42.76,5693700,40.74
2011-09-27,43.30,43.33,42.75,42.91,5437600,40.88
2011-09-26,42.76,42.91,42.16,42.53,12302400,40.52
2011-09-23,42.04,42.89,41.93,42.43,5853800,40.43
2011-09-22,42.95,42.95,41.94,42.35,7927500,40.35
2011-09-21,44.17,44.68,43.41,43.44,4987400,41.39
2011-09-20,43.49,44.66,43.40,44.07,6487100,41.99
2011-09-19,43.00,43.47,42.89,43.31,5164600,41.27
2011-09-16,43.20,43.75,43.04,43.43,6041000,41.38
2011-09-15,42.45,43.07,42.32,42.91,5139600,40.88
2011-09-14,42.32,42.57,41.82,42.16,5665900,40.17
2011-09-13,42.51,42.54,42.01,42.25,5572900,40.26
2011-09-12,41.96,42.46,41.80,42.44,4577500,40.44
2011-09-09,42.77,42.82,41.91,42.38,6291100,40.38
2011-09-08,42.63,43.37,42.41,42.94,4461800,40.91
2011-09-07,42.71,42.96,42.32,42.77,5523000,40.75
2011-09-06,42.01,42.40,41.59,42.37,5039100,40.37
2011-09-02,42.57,42.93,42.44,42.61,3924200,40.60
2011-09-01,43.18,43.48,42.86,43.09,5004300,41.06
2011-08-31,43.18,43.26,42.90,43.12,4539400,41.08
2011-08-30,42.86,43.01,42.51,42.84,5451000,40.82
2011-08-29,42.34,42.97,42.33,42.95,4990300,40.92
2011-08-26,42.18,42.24,41.30,42.01,6484200,40.03
2011-08-25,43.10,43.17,42.14,42.30,5467300,40.30
2011-08-24,42.15,43.26,42.08,43.05,4972200,41.02
2011-08-23,41.81,42.38,41.41,42.23,6036600,40.24
2011-08-22,42.28,42.38,41.39,41.63,5080200,39.66
2011-08-19,41.89,42.28,41.45,41.75,5586600,39.78
2011-08-18,41.82,42.17,41.37,41.92,7458100,39.94
2011-08-17,42.39,43.08,42.38,42.51,5177500,40.50
2011-08-16,41.75,42.45,41.60,42.17,6036500,40.18
2011-08-15,41.05,42.32,40.97,42.24,7044200,40.25
2011-08-12,41.34,41.57,40.56,40.72,6105300,38.80
2011-08-11,40.22,41.62,39.88,41.08,9220100,39.14
2011-08-10,40.80,41.38,40.19,40.33,10300100,37.93
