Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,25.16,25.16,25.16,25.16,000,24.76
2011-12-29,25.15,25.19,25.14,25.16,7600,24.76
2011-12-28,25.02,25.12,25.02,25.12,600,24.72
2011-12-27,25.02,25.02,25.00,25.00,8700,24.60
2011-12-23,25.15,25.15,25.15,25.15,000,24.75
2011-12-22,25.15,25.15,25.15,25.15,000,24.55
2011-12-21,25.15,25.15,25.15,25.15,000,24.55
2011-12-20,25.15,25.15,25.15,25.15,000,24.55
2011-12-19,25.15,25.15,25.15,25.15,300,24.55
2011-12-16,25.14,25.14,25.14,25.14,000,24.54
2011-12-15,25.14,25.14,25.14,25.14,000,24.54
2011-12-14,25.14,25.14,25.14,25.14,000,24.54
2011-12-13,25.14,25.14,25.14,25.14,1100,24.54
2011-12-12,24.92,24.92,24.92,24.92,000,24.32
2011-12-09,24.92,24.92,24.92,24.92,000,24.32
2011-12-08,24.92,24.92,24.92,24.92,000,24.32
2011-12-07,24.92,24.92,24.92,24.92,000,24.32
2011-12-06,24.92,24.92,24.92,24.92,500,24.32
2011-12-05,25.01,25.01,25.01,25.01,000,24.41
2011-12-02,25.38,25.38,25.01,25.01,200,24.41
2011-12-01,24.75,24.96,24.73,24.96,1500,24.36
2011-11-30,24.87,24.87,24.87,24.87,000,24.27
2011-11-29,24.87,24.87,24.87,24.87,000,24.27
2011-11-28,24.87,24.87,24.87,24.87,000,24.27
2011-11-25,24.87,24.87,24.87,24.87,000,24.27
2011-11-23,24.87,24.87,24.87,24.87,900,24.27
2011-11-22,25.48,25.48,25.00,25.04,800,24.38
2011-11-21,24.87,24.87,24.87,24.87,400,24.21
2011-11-18,25.23,25.23,25.23,25.23,000,24.56
2011-11-17,25.23,25.23,25.23,25.23,000,24.56
2011-11-16,25.23,25.23,25.23,25.23,1000,24.56
2011-11-15,25.28,25.28,25.28,25.28,1100,24.61
2011-11-14,25.34,25.34,25.31,25.31,1200,24.64
2011-11-11,25.25,25.25,25.25,25.25,000,24.58
2011-11-10,25.30,25.30,25.25,25.25,300,24.58
2011-11-09,25.37,25.37,25.37,25.37,400,24.70
2011-11-08,25.38,25.38,25.38,25.38,400,24.71
2011-11-07,25.82,25.82,25.54,25.55,5500,24.87
2011-11-04,25.38,25.38,25.38,25.38,400,24.71
2011-11-03,25.45,25.45,25.45,25.45,000,24.78
2011-11-02,25.45,25.45,25.45,25.45,000,24.78
2011-11-01,25.45,25.45,25.45,25.45,000,24.78
2011-10-31,25.45,25.45,25.45,25.45,100,24.78
2011-10-28,25.49,25.49,25.49,25.49,1200,24.82
2011-10-27,25.44,25.44,25.44,25.44,500,24.77
2011-10-26,25.32,25.32,25.32,25.32,1100,24.65
2011-10-25,25.11,25.11,25.11,25.11,000,24.45
2011-10-24,25.11,25.11,25.11,25.11,000,24.39
2011-10-21,25.24,25.32,25.10,25.11,7100,24.39
2011-10-20,25.11,25.16,25.11,25.16,500,24.44
2011-10-19,25.13,25.13,25.13,25.13,100,24.41
2011-10-18,25.12,25.12,25.12,25.12,200,24.40
2011-10-17,24.97,24.97,24.97,24.97,000,24.25
2011-10-14,24.97,24.97,24.97,24.97,100,24.25
2011-10-13,25.08,25.08,24.92,25.04,6200,24.32
2011-10-12,25.01,25.01,25.01,25.01,1600,24.29
2011-10-11,24.92,24.92,24.92,24.92,500,24.20
2011-10-10,24.80,24.90,24.80,24.90,2300,24.18
2011-10-07,24.78,24.78,24.78,24.78,000,24.07
2011-10-06,24.78,24.78,24.78,24.78,000,24.07
2011-10-05,24.77,24.78,24.77,24.78,18700,24.07
2011-10-04,24.63,24.68,24.60,24.68,5900,23.97
2011-10-03,24.72,24.83,24.72,24.81,5000,24.10
2011-09-30,24.93,24.93,24.93,24.93,000,24.21
2011-09-29,24.93,24.93,24.93,24.93,300,24.21
2011-09-28,24.86,24.86,24.86,24.86,1300,24.14
2011-09-27,25.13,25.13,25.13,25.13,000,24.41
2011-09-26,25.13,25.13,25.13,25.13,000,24.41
2011-09-23,25.12,25.20,25.12,25.13,2100,24.35
2011-09-22,25.15,25.15,25.15,25.15,300,24.36
2011-09-21,25.19,25.19,25.19,25.19,000,24.40
2011-09-20,25.19,25.27,25.19,25.19,6200,24.40
2011-09-19,25.24,25.24,25.24,25.24,1000,24.45
2011-09-16,25.26,25.26,25.11,25.11,11500,24.33
2011-09-15,25.05,25.05,25.05,25.05,000,24.27
2011-09-14,25.05,25.05,25.05,25.05,000,24.27
2011-09-13,25.05,25.05,25.05,25.05,2600,24.27
2011-09-12,25.18,25.18,25.18,25.18,000,24.39
2011-09-09,25.19,25.19,25.18,25.18,1900,24.39
2011-09-08,25.36,25.36,25.36,25.36,200,24.57
2011-09-07,25.22,25.22,25.22,25.22,000,24.43
2011-09-06,25.22,25.22,25.22,25.22,1900,24.43
2011-09-02,25.25,25.25,25.25,25.25,000,24.46
2011-09-01,25.25,25.25,25.25,25.25,700,24.46
2011-08-31,25.37,25.37,25.25,25.25,2600,24.46
2011-08-30,25.30,25.30,25.30,25.30,1500,24.51
2011-08-29,25.21,25.21,25.14,25.14,1100,24.36
2011-08-26,25.19,25.19,25.19,25.19,100,24.40
2011-08-25,25.05,25.05,25.05,25.05,200,24.27
2011-08-24,25.15,25.15,25.15,25.15,000,24.29
2011-08-23,25.29,25.29,25.15,25.15,3300,24.29
2011-08-22,25.41,25.41,25.41,25.41,000,24.54
2011-08-19,25.31,25.41,25.31,25.41,5800,24.54
2011-08-18,25.36,25.36,25.36,25.36,000,24.50
2011-08-17,25.36,25.36,25.36,25.36,12700,24.50
2011-08-16,25.36,25.36,25.36,25.36,700,24.50
2011-08-15,25.25,25.25,25.25,25.25,400,24.39
2011-08-12,25.23,25.23,25.23,25.23,1200,24.37
2011-08-11,25.12,25.12,25.12,25.12,400,24.26
2011-08-10,24.90,24.90,24.90,24.90,000,24.05
2011-08-09,24.90,24.90,24.90,24.90,2900,24.05
2011-08-08,24.88,24.93,24.74,24.74,2200,23.90
2011-08-05,25.14,25.24,25.14,25.24,1800,24.38
2011-08-04,25.30,25.30,25.30,25.30,200,24.44
2011-08-03,25.36,25.36,25.36,25.36,000,24.50
2011-08-02,25.36,25.36,25.36,25.36,000,24.50
2011-08-01,25.36,25.36,25.36,25.36,700,24.50
2011-07-29,25.12,25.12,25.12,25.12,000,24.26
2011-07-28,25.12,25.12,25.12,25.12,000,24.26
2011-07-27,25.12,25.12,25.12,25.12,1100,24.26
2011-07-26,25.19,25.19,25.19,25.19,000,24.33
2011-07-25,25.13,25.19,25.13,25.19,500,24.33
2011-07-22,25.26,25.26,25.26,25.26,000,24.38
2011-07-21,25.21,25.26,25.21,25.26,3800,24.38
2011-07-20,25.22,25.23,25.14,25.23,10100,24.35
2011-07-19,25.10,25.12,25.09,25.12,5000,24.25
2011-07-18,25.11,25.11,25.11,25.11,000,24.24
2011-07-15,25.11,25.11,25.08,25.11,1200,24.24
2011-07-14,25.04,25.04,25.04,25.04,000,24.17
2011-07-13,25.04,25.04,25.04,25.04,000,24.17
2011-07-12,25.04,25.04,25.04,25.04,2500,24.17
2011-07-11,25.12,25.12,25.07,25.10,3300,24.23
2011-07-08,25.02,25.02,25.02,25.02,000,24.15
2011-07-07,25.02,25.02,25.02,25.02,1100,24.15
2011-07-06,25.10,25.10,25.05,25.05,22400,24.18
2011-07-05,25.13,25.14,25.13,25.14,2700,24.27
2011-07-01,25.11,25.16,25.11,25.15,631200,24.27
2011-06-30,25.06,25.06,25.06,25.06,300,24.19
2011-06-29,25.03,25.03,25.03,25.03,000,24.16
2011-06-28,25.03,25.03,25.03,25.03,100,24.16
2011-06-27,25.10,25.10,25.10,25.10,000,24.23
2011-06-24,25.11,25.11,25.10,25.10,5600,24.23
2011-06-23,25.05,25.05,25.05,25.05,200,24.18
2011-06-22,25.14,25.14,25.14,25.14,300,24.27
2011-06-21,25.10,25.10,25.10,25.10,1000,24.23
