Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,12.19,12.27,12.02,12.26,2000,12.26
2011-12-29,11.81,11.98,11.75,11.98,4200,11.98
2011-12-28,12.35,12.35,11.85,11.85,10700,11.85
2011-12-27,12.56,12.70,12.52,12.65,14900,12.40
2011-12-23,12.43,12.60,12.40,12.58,5700,12.33
2011-12-22,12.46,12.60,12.33,12.45,6000,12.21
2011-12-21,12.70,12.70,12.70,12.70,000,12.45
2011-12-20,12.66,12.90,12.58,12.70,7400,12.45
2011-12-19,12.57,12.57,12.10,12.10,9500,11.86
2011-12-16,12.31,12.64,12.31,12.61,7800,12.36
2011-12-15,12.35,12.54,12.20,12.20,23700,11.96
2011-12-14,12.73,12.73,12.20,12.28,12500,12.04
2011-12-13,13.06,13.29,12.94,12.94,15000,12.69
2011-12-12,13.69,13.69,13.19,13.20,13600,12.94
2011-12-09,13.66,13.77,13.65,13.77,3000,13.50
2011-12-08,13.76,13.84,13.68,13.84,3600,13.57
2011-12-07,13.97,14.28,13.96,14.21,2200,13.93
2011-12-06,13.96,14.13,13.96,13.97,600,13.70
2011-12-05,14.30,14.30,14.06,14.06,8900,13.78
2011-12-02,14.08,14.12,13.95,13.98,14200,13.71
2011-12-01,14.36,14.59,14.02,14.02,5200,13.75
2011-11-30,14.00,14.23,13.90,14.23,11100,13.95
2011-11-29,13.01,13.40,13.01,13.37,2200,13.11
2011-11-28,13.27,13.28,13.03,13.03,3600,12.77
2011-11-25,12.90,12.95,12.79,12.80,1600,12.55
2011-11-23,13.10,13.10,12.75,12.89,13300,12.64
2011-11-22,13.23,13.34,13.14,13.29,3200,13.03
2011-11-21,13.31,13.31,12.96,13.06,10900,12.80
2011-11-18,13.75,13.75,13.60,13.61,15600,13.34
2011-11-17,14.53,14.53,13.82,13.83,5400,13.56
2011-11-16,14.75,14.81,14.51,14.53,17500,14.25
2011-11-15,14.79,14.79,14.56,14.76,4200,14.47
2011-11-14,14.92,14.98,14.75,14.75,4800,14.46
2011-11-11,14.79,15.03,14.75,14.90,6900,14.61
2011-11-10,14.86,14.86,14.50,14.70,13200,14.41
2011-11-09,14.89,15.06,14.48,14.48,11400,14.20
2011-11-08,15.35,15.35,15.12,15.29,3900,14.99
2011-11-07,15.16,15.19,15.01,15.09,1600,14.79
2011-11-04,14.85,14.98,14.80,14.98,800,14.69
2011-11-03,14.72,15.07,14.72,15.01,800,14.72
2011-11-02,14.93,15.00,14.74,14.74,900,14.45
