Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,29.19,29.44,29.13,29.17,1346800,28.89
2011-12-29,29.21,29.40,29.02,29.27,1929900,28.99
2011-12-28,29.92,29.96,29.05,29.15,3115000,28.87
2011-12-27,29.73,30.18,29.67,30.01,2332500,29.72
2011-12-23,29.55,29.83,29.55,29.71,2753900,29.42
2011-12-22,29.01,29.58,29.01,29.44,2057700,29.16
2011-12-21,28.50,29.05,28.35,28.99,3452900,28.71
2011-12-20,28.57,28.89,28.50,28.63,4530000,28.35
2011-12-19,28.75,28.92,27.93,27.99,3546200,27.72
2011-12-16,28.65,28.95,28.50,28.56,4761900,28.28
2011-12-15,28.73,28.73,28.24,28.30,3612400,28.03
2011-12-14,28.66,28.74,28.25,28.29,4075000,28.02
2011-12-13,29.77,29.91,28.69,28.84,4662200,28.56
2011-12-12,29.60,29.72,29.23,29.66,2869400,29.37
2011-12-09,29.64,30.18,29.59,29.92,3693700,29.63
2011-12-08,30.29,30.46,29.36,29.43,4998000,29.15
2011-12-07,30.95,30.95,30.13,30.50,4855800,30.20
2011-12-06,31.39,31.39,30.98,30.98,3011500,30.68
2011-12-05,31.41,31.76,31.07,31.32,3801100,31.02
2011-12-02,30.96,31.31,30.76,30.92,3413000,30.62
2011-12-01,30.60,30.92,30.49,30.58,2415700,30.28
2011-11-30,30.39,30.68,30.07,30.62,3478800,30.32
2011-11-29,29.32,29.73,29.20,29.29,2859000,29.01
2011-11-28,28.81,29.37,28.57,29.28,3829100,29.00
2011-11-25,27.73,28.47,27.53,27.92,1588600,27.65
2011-11-23,28.46,28.57,27.94,27.98,3158400,27.61
2011-11-22,28.71,29.40,28.46,28.87,5145600,28.49
2011-11-21,30.29,30.49,29.90,30.22,3740500,29.82
2011-11-18,30.78,31.05,30.51,30.92,3850200,30.51
2011-11-17,30.50,30.94,30.25,30.50,3298400,30.10
2011-11-16,30.85,31.37,30.54,30.60,3601000,30.20
2011-11-15,30.97,31.63,30.85,31.22,2748400,30.81
2011-11-14,31.33,31.60,30.91,31.17,2410800,30.76
2011-11-11,30.79,31.75,30.77,31.62,2464400,31.20
2011-11-10,30.67,30.97,29.97,30.27,5586700,29.87
2011-11-09,30.75,31.05,30.15,30.23,4462400,29.83
2011-11-08,32.00,32.00,30.88,31.66,2935100,31.24
2011-11-07,31.50,31.91,31.13,31.83,2978700,31.41
2011-11-04,31.92,32.20,31.34,31.61,3419500,31.19
2011-11-03,31.92,32.29,30.76,32.20,4840700,31.77
2011-11-02,31.20,32.16,30.96,31.48,4706700,31.06
2011-11-01,30.61,31.20,30.18,30.63,4764200,30.23
2011-10-31,32.38,32.51,31.45,31.50,5645500,31.08
2011-10-28,33.22,33.40,32.49,32.78,4411900,32.35
2011-10-27,32.66,33.57,32.48,33.30,4967600,32.86
2011-10-26,31.60,31.98,30.71,31.73,5793900,31.31
2011-10-25,31.57,32.00,30.87,31.11,3287300,30.70
2011-10-24,31.01,31.99,30.93,31.85,4513100,31.43
2011-10-21,30.69,31.26,30.49,30.96,3915100,30.55
2011-10-20,29.82,30.33,29.46,30.14,3604000,29.74
2011-10-19,30.43,30.46,29.71,29.81,4030300,29.42
2011-10-18,29.27,30.83,29.10,30.50,3350600,30.10
2011-10-17,30.18,30.49,29.27,29.35,2803900,28.96
2011-10-14,30.52,30.70,29.91,30.65,2499800,30.24
2011-10-13,29.86,30.28,29.46,30.15,3788900,29.75
2011-10-12,29.45,30.89,29.42,30.23,5366300,29.83
2011-10-11,29.38,29.52,29.06,29.27,4763600,28.88
2011-10-10,28.77,29.97,28.65,29.62,4909100,29.23
2011-10-07,28.95,29.04,27.83,28.17,5054300,27.80
2011-10-06,28.40,29.00,27.65,28.78,7491900,28.40
2011-10-05,27.11,28.25,26.71,28.18,5796000,27.81
2011-10-04,25.73,27.15,25.56,27.10,6700000,26.74
2011-10-03,26.99,27.96,25.89,26.18,7231000,25.83
2011-09-30,28.16,28.25,27.24,27.24,6034200,26.88
2011-09-29,28.46,29.11,28.17,28.70,7118600,28.32
2011-09-28,28.58,28.64,27.75,27.80,4077700,27.43
2011-09-27,28.45,28.95,28.25,28.44,5198500,28.06
2011-09-26,27.48,27.79,26.64,27.69,4718300,27.32
2011-09-23,26.58,27.81,26.53,27.17,6045700,26.81
2011-09-22,26.72,27.15,26.10,26.80,6428800,26.45
2011-09-21,28.70,29.17,27.77,27.77,3844300,27.40
2011-09-20,28.98,29.38,28.61,28.61,3492200,28.23
2011-09-19,28.55,28.92,28.18,28.74,3177500,28.36
2011-09-16,28.99,29.24,28.68,29.20,4018300,28.81
2011-09-15,28.67,29.00,28.43,28.82,5031300,28.44
2011-09-14,27.39,28.76,27.34,28.29,6596800,27.92
2011-09-13,26.17,27.55,25.90,27.25,6177700,26.89
2011-09-12,25.65,26.20,25.49,26.04,5806200,25.70
2011-09-09,26.42,26.57,25.92,26.08,5548200,25.74
2011-09-08,27.37,27.44,26.69,26.81,2864500,26.46
2011-09-07,27.07,27.70,26.77,27.65,3245300,27.28
2011-09-06,26.51,26.60,25.93,26.56,5864100,26.21
2011-09-02,28.02,28.19,27.23,27.28,3520700,26.92
2011-09-01,29.33,29.72,28.57,28.75,4054500,28.37
2011-08-31,29.37,29.87,29.03,29.28,3761600,28.89
2011-08-30,28.91,29.31,28.48,29.07,3908200,28.69
2011-08-29,28.01,29.08,27.91,29.08,3543900,28.70
2011-08-26,26.99,27.94,26.52,27.52,4433700,27.16
2011-08-25,28.61,28.74,27.21,27.28,4220100,26.92
2011-08-24,27.10,28.46,26.97,28.44,5234000,28.06
2011-08-23,26.23,27.24,26.13,27.22,7489100,26.86
2011-08-22,26.90,27.04,26.00,26.11,5715800,25.76
2011-08-19,26.30,27.15,26.12,26.24,5959600,25.89
2011-08-18,27.91,28.13,26.51,26.79,8264500,26.44
2011-08-17,28.76,29.10,28.57,28.94,7167200,28.56
2011-08-16,28.43,28.79,28.17,28.56,5283800,28.18
2011-08-15,28.48,28.82,28.11,28.82,3545500,28.34
2011-08-12,28.19,28.61,27.80,28.22,4925800,27.75
2011-08-11,27.03,28.51,26.87,28.13,6315900,27.66
2011-08-10,27.53,27.96,26.70,26.82,11091000,26.37
2011-08-09,28.33,28.43,26.75,28.29,14866400,27.82
2011-08-08,28.36,28.61,27.40,27.51,13075800,27.05
2011-08-05,29.96,30.41,28.80,29.50,14854200,29.01
2011-08-04,30.58,30.62,29.26,29.33,11723300,28.84
2011-08-03,30.25,31.30,29.76,31.13,14517500,30.61
2011-08-02,31.71,31.90,30.44,30.46,6693200,29.95
2011-08-01,32.89,32.93,31.93,32.02,6141800,31.49
2011-07-29,32.32,32.58,31.68,32.50,8188500,31.96
2011-07-28,33.45,33.57,32.68,32.72,5656500,32.18
2011-07-27,34.32,34.39,33.29,33.38,7385000,32.82
2011-07-26,34.71,34.74,34.20,34.26,5278800,33.69
2011-07-25,34.80,34.92,34.59,34.78,2841400,34.20
2011-07-22,34.84,35.30,34.77,35.11,2406000,34.53
2011-07-21,34.50,35.09,34.41,34.85,3788900,34.27
2011-07-20,34.54,34.62,34.19,34.25,5007800,33.68
2011-07-19,34.48,34.60,34.31,34.35,6676700,33.78
2011-07-18,34.70,34.82,34.18,34.24,6643600,33.67
2011-07-15,34.64,34.94,34.26,34.94,9360400,34.36
2011-07-14,35.85,36.10,33.95,34.69,20352000,34.11
2011-07-13,37.63,37.90,37.08,37.14,6840500,36.52
2011-07-12,36.40,37.32,36.34,36.82,5483900,36.21
2011-07-11,36.58,36.80,36.30,36.47,3873300,35.86
2011-07-08,36.92,37.18,36.60,37.17,2901900,36.55
2011-07-07,36.99,37.80,36.98,37.55,3724500,36.93
2011-07-06,36.64,36.74,36.47,36.62,3041200,36.01
2011-07-05,36.75,36.94,36.10,36.64,3651600,36.03
2011-07-01,35.61,36.89,35.49,36.82,3490400,36.21
2011-06-30,35.42,35.62,35.22,35.49,3622800,34.90
2011-06-29,35.67,36.00,35.08,35.21,4691200,34.62
2011-06-28,34.25,35.59,34.21,35.57,3952400,34.98
2011-06-27,33.87,34.19,33.46,34.08,2221200,33.51
2011-06-24,34.25,34.28,33.78,33.96,2225100,33.39
2011-06-23,33.86,34.27,33.47,34.24,3939800,33.67
2011-06-22,34.14,34.83,34.05,34.37,3150900,33.80
2011-06-21,33.42,34.35,33.26,34.31,3971600,33.74
2011-06-20,32.98,33.48,32.98,33.12,2866700,32.57
2011-06-17,33.63,33.80,32.92,33.15,4086900,32.60
2011-06-16,33.43,33.62,32.95,33.35,3676600,32.80
2011-06-15,34.21,34.45,33.48,33.48,4199000,32.92
2011-06-14,34.14,34.69,34.04,34.62,4148800,34.04
2011-06-13,33.77,34.09,33.45,33.77,4028200,33.21
2011-06-10,34.49,34.57,33.77,33.84,4182500,33.28
2011-06-09,34.86,34.91,34.38,34.60,4021700,34.02
2011-06-08,35.39,35.41,34.55,34.78,5941800,34.20
2011-06-07,36.31,36.47,35.51,35.54,4895100,34.95
2011-06-06,36.20,36.99,36.06,36.18,4862600,35.58
2011-06-03,36.54,36.78,36.10,36.25,3391400,35.65
2011-06-02,36.80,37.28,36.60,37.06,3135000,36.44
2011-06-01,37.68,37.68,36.83,36.85,4076100,36.24
2011-05-31,38.15,38.21,37.49,37.81,3236400,37.18
2011-05-27,38.00,38.52,37.67,37.86,4058400,37.23
2011-05-26,36.78,37.97,36.78,37.81,4122300,37.18
2011-05-25,36.71,37.00,36.32,36.71,3397600,36.10
2011-05-24,36.45,36.89,36.40,36.52,3080700,35.91
2011-05-23,36.57,36.68,36.27,36.30,3217200,35.70
2011-05-20,37.13,37.52,37.03,37.16,3560100,36.54
2011-05-19,36.64,37.22,36.54,37.15,3824400,36.53
2011-05-18,35.85,36.62,35.74,36.57,3498600,35.96
2011-05-17,35.67,36.00,35.51,35.87,3475700,35.17
2011-05-16,36.27,36.47,35.76,35.82,3653700,35.13
2011-05-13,36.64,36.70,36.20,36.50,3448600,35.79
2011-05-12,36.13,36.72,35.98,36.57,3680800,35.86
2011-05-11,36.97,37.10,36.17,36.33,6513600,35.63
2011-05-10,36.53,37.26,36.47,37.16,3579700,36.44
2011-05-09,36.24,36.62,36.14,36.35,3754100,35.65
2011-05-06,35.94,36.96,35.76,36.29,5798800,35.59
2011-05-05,34.76,36.00,34.66,35.51,3620100,34.82
2011-05-04,35.34,35.50,34.87,35.07,2794000,34.39
2011-05-03,35.46,35.65,35.10,35.32,3268200,34.64
2011-05-02,35.50,35.64,35.39,35.50,3376600,34.81
2011-04-29,35.44,35.48,35.11,35.30,2660700,34.62
2011-04-28,35.11,35.62,35.11,35.47,3429200,34.78
2011-04-27,35.48,35.65,35.07,35.19,4177900,34.51
2011-04-26,35.51,35.74,35.13,35.28,3900000,34.60
2011-04-25,36.38,36.40,35.33,35.46,4801300,34.77
2011-04-21,35.15,36.58,35.13,35.87,6832000,35.17
2011-04-20,35.44,35.65,35.16,35.28,5372200,34.60
2011-04-19,34.86,35.39,34.69,34.92,4630200,34.24
2011-04-18,33.59,34.95,33.55,34.88,6667700,34.20
2011-04-15,34.27,34.30,33.81,34.10,4126500,33.44
2011-04-14,33.96,34.20,33.89,34.06,2813400,33.40
