Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,77.13,77.13,76.25,76.34,390900,74.45
2011-12-29,76.19,76.98,75.91,76.94,372400,75.04
2011-12-28,76.89,76.94,75.64,75.80,400700,73.93
2011-12-27,76.48,77.34,76.27,76.59,342700,74.70
2011-12-23,76.67,77.08,75.99,76.89,365500,74.99
2011-12-22,75.84,76.89,75.64,76.54,694900,74.65
2011-12-21,75.00,76.07,74.60,75.83,758300,73.96
2011-12-20,72.59,75.29,72.54,75.10,1162800,73.24
2011-12-19,73.05,73.10,71.01,71.30,491000,69.54
2011-12-16,72.44,73.86,72.17,72.75,1426100,70.95
2011-12-15,72.40,72.44,71.38,71.74,729900,69.97
2011-12-14,70.64,72.14,70.50,71.22,1117100,69.46
2011-12-13,72.58,73.02,70.39,70.97,992600,69.22
2011-12-12,71.83,72.30,71.20,71.85,777400,70.07
2011-12-09,72.70,73.47,72.48,73.01,881700,71.21
2011-12-08,74.02,74.21,71.73,71.96,1220800,70.18
2011-12-07,74.40,75.11,73.46,74.64,1622000,72.79
2011-12-06,75.17,75.89,74.46,75.09,886300,73.23
2011-12-05,75.02,75.74,74.64,75.54,1121000,73.67
2011-12-02,73.74,74.99,73.60,73.88,890200,72.05
2011-12-01,72.86,73.32,71.93,72.91,985400,71.11
2011-11-30,70.96,73.14,70.01,72.98,1454800,71.18
2011-11-29,68.39,69.09,67.91,68.35,771600,66.66
2011-11-28,70.16,70.28,68.23,68.86,772300,66.47
2011-11-25,67.43,68.69,67.23,67.70,302700,65.36
2011-11-23,69.06,69.10,67.37,67.43,1089800,65.09
2011-11-22,69.83,70.51,69.39,69.58,666100,67.17
2011-11-21,70.78,71.14,69.56,70.09,894600,67.66
2011-11-18,71.65,71.99,71.14,71.76,560400,69.27
2011-11-17,71.86,73.17,70.75,71.08,816200,68.62
2011-11-16,71.93,73.82,71.71,71.94,896800,69.45
2011-11-15,71.67,73.02,71.62,72.76,815100,70.24
2011-11-14,73.28,73.36,71.56,72.01,714400,69.52
2011-11-11,73.38,74.33,73.21,73.91,993000,71.35
2011-11-10,71.63,72.57,71.01,72.37,1296600,69.86
2011-11-09,71.92,72.31,70.29,70.57,1767900,68.13
2011-11-08,72.55,74.04,71.84,73.83,1138500,71.27
2011-11-07,72.10,72.63,71.41,71.75,1323200,69.26
2011-11-04,72.53,72.64,71.58,72.10,1117300,69.60
2011-11-03,74.23,74.28,71.50,73.13,2364800,70.60
2011-11-02,73.54,74.14,72.51,73.13,2381600,70.60
2011-11-01,73.67,74.35,72.14,72.31,1416400,69.81
2011-10-31,77.27,78.00,76.09,76.11,1253500,73.47
2011-10-28,79.10,79.33,77.87,78.30,762300,75.59
2011-10-27,79.22,80.02,77.21,79.24,1375800,76.50
2011-10-26,76.25,76.91,75.28,76.53,816900,73.88
2011-10-25,76.01,76.26,74.77,74.96,1010700,72.36
2011-10-24,75.23,76.69,74.75,76.49,1015100,73.84
2011-10-21,74.15,75.04,73.57,74.94,2528900,72.34
2011-10-20,73.64,74.27,71.41,73.48,1650700,70.93
2011-10-19,75.22,75.24,70.21,72.79,4403100,70.27
2011-10-18,74.04,77.82,73.80,77.07,1055400,74.40
2011-10-17,75.06,75.36,73.53,73.75,1208800,71.20
2011-10-14,76.96,77.38,74.75,75.72,1206600,73.10
2011-10-13,75.09,76.72,73.27,75.89,1334200,73.26
2011-10-12,74.69,76.78,74.67,75.90,1135600,73.27
2011-10-11,72.82,74.19,72.02,73.91,781500,71.35
2011-10-10,72.55,73.95,71.84,73.95,775400,71.39
2011-10-07,73.38,73.45,70.72,70.82,1259900,68.37
2011-10-06,69.98,72.96,69.25,72.88,850600,70.36
2011-10-05,69.81,70.34,68.25,70.07,1016100,67.64
2011-10-04,67.59,70.03,66.40,69.84,1700000,67.42
2011-10-03,69.66,71.00,68.50,68.52,1232900,66.15
2011-09-30,71.27,72.18,69.90,69.90,1061600,67.48
2011-09-29,71.84,72.90,70.07,72.05,986100,69.55
2011-09-28,72.80,73.14,70.18,70.28,1072200,67.85
2011-09-27,74.80,75.04,72.23,72.75,1063400,70.23
2011-09-26,69.81,73.56,69.79,73.39,1271800,70.85
2011-09-23,67.65,69.08,67.65,69.01,1499600,66.62
2011-09-22,66.89,68.64,66.41,67.90,1703500,65.55
2011-09-21,72.08,72.32,68.28,68.29,1121500,65.92
2011-09-20,72.48,73.24,71.70,71.83,867900,69.34
2011-09-19,72.89,72.93,71.50,72.02,930000,69.53
2011-09-16,74.90,75.00,72.92,74.15,1232900,71.58
2011-09-15,73.80,74.64,73.45,74.63,935700,72.05
2011-09-14,73.17,73.92,71.66,72.94,1325400,70.41
2011-09-13,72.66,74.04,72.06,72.69,823200,70.17
2011-09-12,69.49,72.97,69.49,72.35,1226600,69.84
2011-09-09,72.33,73.17,70.45,70.50,1533700,68.06
2011-09-08,74.76,75.15,72.98,73.27,927600,70.73
2011-09-07,72.83,76.12,72.26,75.59,1131700,72.97
2011-09-06,70.31,71.64,69.77,71.61,926500,69.13
2011-09-02,72.75,73.97,72.17,72.29,920700,69.79
2011-09-01,76.09,76.37,74.31,74.37,931300,71.79
2011-08-31,76.13,76.84,75.30,76.07,915900,73.44
2011-08-30,75.75,76.18,74.42,75.50,1110600,72.88
2011-08-29,75.12,76.89,74.94,76.83,923000,73.49
2011-08-26,72.73,74.84,71.53,74.39,1039900,71.16
2011-08-25,75.66,77.00,72.55,73.16,1663200,69.98
2011-08-24,72.37,74.46,72.00,74.17,1072300,70.95
2011-08-23,70.29,72.59,69.23,72.58,1189300,69.43
2011-08-22,71.20,71.47,69.77,69.97,912600,66.93
2011-08-19,70.03,72.41,69.81,69.86,1168000,66.83
2011-08-18,72.25,72.66,71.02,71.56,1559300,68.45
2011-08-17,73.99,75.24,73.85,74.33,814000,71.10
