Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,97.39,97.54,96.37,96.37,1652400,95.38
2011-12-29,96.55,97.92,96.49,97.46,2143000,96.46
2011-12-28,97.93,98.00,96.28,96.43,1707600,95.44
2011-12-27,96.98,98.00,96.51,97.77,1612100,96.77
2011-12-23,95.27,96.93,94.77,96.90,1791400,95.91
2011-12-22,96.59,96.59,94.25,94.82,2927400,93.85
2011-12-21,95.83,97.29,94.29,96.35,6261200,95.36
2011-12-20,94.48,95.90,92.89,93.63,4575300,92.67
2011-12-19,93.92,94.14,93.06,93.38,2189200,92.42
2011-12-16,94.78,95.08,93.55,93.67,3196400,92.71
2011-12-15,95.44,95.74,93.41,94.08,2683100,93.11
2011-12-14,94.97,95.72,93.75,94.39,2363900,93.42
2011-12-13,97.13,97.79,94.41,95.05,2678500,94.07
2011-12-12,97.34,97.75,95.78,96.95,2712800,95.96
2011-12-09,95.48,98.25,95.30,97.68,3105800,96.68
2011-12-08,95.60,96.48,95.00,95.18,2348100,94.20
2011-12-07,96.78,96.99,95.26,95.89,2802300,94.91
2011-12-06,97.20,97.24,95.96,96.25,1747000,95.26
2011-12-05,96.73,97.49,95.94,96.60,2214000,95.61
2011-12-02,95.78,96.71,95.51,96.25,2366500,95.26
2011-12-01,95.36,96.34,94.51,95.25,2390100,94.27
2011-11-30,97.08,97.50,94.92,96.18,3373300,94.84
2011-11-29,95.26,95.43,94.31,94.87,2754200,93.54
2011-11-28,92.04,95.83,91.90,94.91,3860700,93.58
2011-11-25,90.66,91.86,90.28,90.28,869000,89.02
2011-11-23,90.73,91.97,90.50,90.93,1867700,89.66
2011-11-22,91.19,92.62,90.99,91.63,1914600,90.35
2011-11-21,91.62,92.16,89.79,91.06,1838600,89.79
2011-11-18,92.62,93.48,91.45,92.75,2360300,91.45
2011-11-17,93.13,93.68,90.90,91.89,2258800,90.61
2011-11-16,95.14,95.50,93.54,93.70,2212500,92.39
2011-11-15,95.26,96.60,94.67,95.95,1753500,94.61
2011-11-14,95.84,96.89,95.20,95.75,1712400,94.41
2011-11-11,94.75,96.41,94.45,96.15,2027100,94.81
2011-11-10,93.42,94.54,92.57,93.92,2348500,92.61
