Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,13.00,13.07,12.99,13.06,149400,13.06
2011-12-29,12.82,12.98,12.82,12.98,112900,12.98
2011-12-28,12.94,12.94,12.78,12.78,134100,12.78
2011-12-27,13.02,13.07,13.02,13.06,120400,12.97
2011-12-23,13.05,13.13,13.05,13.11,108400,13.02
2011-12-22,12.91,13.04,12.91,13.03,107600,12.94
2011-12-21,12.95,13.00,12.90,13.00,100500,12.91
2011-12-20,12.98,13.07,12.98,13.07,115900,12.98
2011-12-19,12.88,12.88,12.75,12.75,119200,12.67
2011-12-16,12.95,12.99,12.90,12.90,149300,12.81
2011-12-15,12.98,12.98,12.93,12.95,132200,12.86
2011-12-14,13.04,13.04,12.97,12.97,137800,12.88
2011-12-13,13.30,13.32,13.06,13.06,168600,12.97
2011-12-12,13.19,13.20,13.13,13.18,205900,13.09
2011-12-09,13.22,13.39,13.22,13.39,140400,13.30
2011-12-08,13.38,13.41,13.17,13.18,119500,13.09
2011-12-07,13.31,13.45,13.29,13.45,143800,13.36
2011-12-06,13.25,13.36,13.24,13.30,112200,13.21
2011-12-05,13.40,13.45,13.36,13.36,145100,13.27
2011-12-02,13.40,13.40,13.31,13.32,124400,13.23
2011-12-01,13.29,13.33,13.25,13.26,127100,13.17
2011-11-30,13.37,13.37,13.32,13.37,105100,13.28
2011-11-29,13.01,13.06,12.99,13.01,95600,12.92
2011-11-28,12.90,12.93,12.88,12.91,87700,12.82
2011-11-25,12.62,12.67,12.58,12.58,102300,12.50
2011-11-23,12.75,12.75,12.63,12.64,131500,12.56
2011-11-22,12.89,12.91,12.85,12.88,119500,12.79
2011-11-21,12.91,12.91,12.83,12.89,100300,12.80
2011-11-18,13.14,13.15,13.09,13.12,146100,13.03
2011-11-17,13.16,13.17,13.03,13.08,121600,12.99
2011-11-16,13.20,13.27,13.07,13.09,150200,13.00
2011-11-15,13.32,13.35,13.24,13.32,102200,13.23
2011-11-14,13.34,13.36,13.31,13.31,125700,13.22
2011-11-11,13.27,13.34,13.27,13.34,91300,13.25
2011-11-10,13.22,13.22,13.17,13.17,107000,13.08
2011-11-09,13.33,13.33,13.19,13.22,163700,13.13
2011-11-08,13.41,13.50,13.38,13.48,116300,13.39
2011-11-07,13.44,13.46,13.43,13.44,110700,13.35
2011-11-04,13.41,13.43,13.37,13.43,135600,13.34
2011-11-03,13.48,13.54,13.36,13.54,65600,13.45
2011-11-02,13.35,13.36,13.29,13.35,129700,13.26
2011-11-01,13.37,13.39,13.31,13.33,113700,13.24
2011-10-31,13.70,13.71,13.60,13.60,178500,13.51
2011-10-28,14.26,14.35,14.25,14.35,107900,14.25
2011-10-27,14.22,14.31,14.19,14.24,147500,14.15
2011-10-26,13.84,13.84,13.74,13.83,186000,13.74
2011-10-25,13.84,13.84,13.71,13.72,158600,13.63
2011-10-24,13.84,13.94,13.84,13.92,126500,13.83
2011-10-21,13.71,13.77,13.71,13.77,102200,13.68
2011-10-20,13.56,13.56,13.47,13.54,112700,13.45
2011-10-19,13.71,13.75,13.65,13.67,132300,13.58
2011-10-18,13.65,13.84,13.58,13.84,251400,13.75
2011-10-17,13.74,13.79,13.69,13.72,180800,13.63
2011-10-14,13.72,13.77,13.64,13.73,98100,13.64
2011-10-13,13.68,13.69,13.65,13.69,107100,13.60
2011-10-12,13.70,13.79,13.66,13.72,152100,13.63
