Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,52.03,52.03,51.24,51.29,648300,50.78
2011-12-29,51.84,52.18,51.39,52.01,531800,51.49
2011-12-28,52.62,52.62,51.44,51.65,489900,51.13
2011-12-27,51.99,52.53,51.92,52.33,449700,51.81
2011-12-23,51.64,52.00,51.18,51.92,339400,51.40
2011-12-22,51.75,51.98,51.00,51.19,599100,50.68
2011-12-21,51.46,51.99,50.95,51.88,1240800,51.36
2011-12-20,51.17,51.65,50.94,51.50,1430000,50.99
2011-12-19,50.80,51.28,50.29,50.34,1572000,49.84
2011-12-16,49.76,50.72,49.34,50.49,1950200,49.99
2011-12-15,48.91,49.05,48.40,48.71,700600,48.22
2011-12-14,48.36,48.86,47.94,48.43,713400,47.95
2011-12-13,49.27,49.33,48.22,48.54,693700,48.06
2011-12-12,48.97,49.06,48.25,49.01,506300,48.52
2011-12-09,48.83,49.84,48.79,49.24,574900,48.75
2011-12-08,49.00,49.47,48.57,48.68,623400,48.19
2011-12-07,48.84,49.71,48.68,49.61,785100,49.12
2011-12-06,49.88,50.12,49.05,49.18,770300,48.69
2011-12-05,49.58,50.27,49.35,49.95,1116700,49.45
2011-12-02,48.21,49.15,48.03,48.99,973300,48.50
2011-12-01,47.95,48.77,47.70,47.85,597800,47.37
2011-11-30,48.21,48.90,47.41,48.25,1301300,47.77
2011-11-29,46.93,47.64,46.77,47.44,753100,46.97
2011-11-28,46.60,47.01,46.45,46.74,719900,46.27
2011-11-25,45.76,45.86,45.27,45.33,392000,44.88
2011-11-23,46.57,46.60,45.66,45.81,647900,45.35
2011-11-22,46.78,47.09,46.59,46.84,561600,46.37
2011-11-21,46.78,47.12,46.35,46.87,725700,46.40
2011-11-18,47.66,47.84,47.06,47.44,712200,46.97
2011-11-17,47.58,47.78,46.34,47.23,1748000,46.76
2011-11-16,48.34,48.68,47.65,47.66,1051800,47.18
2011-11-15,47.63,49.04,47.39,48.55,1326900,48.07
2011-11-14,48.08,48.42,47.43,47.71,437400,47.23
2011-11-11,47.13,48.30,46.64,48.15,655100,47.67
2011-11-10,46.43,46.78,46.22,46.62,731100,46.15
2011-11-09,46.13,46.78,45.88,45.94,672100,45.48
2011-11-08,47.00,47.26,46.13,47.07,900900,46.60
2011-11-07,47.36,47.73,46.40,47.07,673900,46.60
2011-11-04,46.87,47.71,46.62,47.52,723700,47.05
2011-11-03,46.92,47.57,45.72,47.19,846700,46.72
2011-11-02,46.59,46.74,46.14,46.61,862600,46.15
2011-11-01,46.26,46.74,45.38,45.94,1277400,45.48
2011-10-31,46.54,47.72,46.27,46.95,961100,46.48
2011-10-28,47.73,48.07,46.78,47.05,813400,46.58
2011-10-27,47.76,48.57,47.31,47.98,1037100,47.50
2011-10-26,46.92,47.09,46.06,46.59,1013600,46.13
2011-10-25,46.94,47.42,46.61,46.65,937800,46.05
2011-10-24,47.68,48.00,46.98,47.14,1209500,46.53
2011-10-21,47.47,47.66,46.94,47.41,1100800,46.80
2011-10-20,46.84,47.63,46.37,47.59,1284000,46.97
2011-10-19,46.54,47.23,46.09,46.71,1290800,46.11
2011-10-18,45.73,46.75,45.14,46.45,1164600,45.85
2011-10-17,45.56,45.98,45.19,45.56,1034900,44.97
2011-10-14,45.52,45.89,44.99,45.70,936600,45.11
2011-10-13,45.50,46.03,44.75,44.86,1818800,44.28
2011-10-12,44.05,44.55,43.58,44.04,617500,43.47
2011-10-11,42.77,43.79,42.60,43.56,730800,43.00
2011-10-10,42.33,43.19,41.92,43.07,475000,42.51
2011-10-07,41.62,42.37,41.28,41.63,858600,41.09
2011-10-06,41.10,41.59,40.86,41.38,1102300,40.84
2011-10-05,40.82,42.03,40.68,41.21,1600000,40.68
2011-10-04,40.17,41.41,39.53,41.37,1453300,40.83
2011-10-03,42.16,42.63,40.23,40.58,1916200,40.05
2011-09-30,43.04,43.57,42.64,42.65,889600,42.10
2011-09-29,44.05,44.40,42.47,43.58,823900,43.02
2011-09-28,44.40,44.70,43.30,43.32,539300,42.76
2011-09-27,44.71,45.41,44.06,44.25,948500,43.68
2011-09-26,42.89,43.89,42.22,43.80,827500,43.23
2011-09-23,42.31,42.69,41.95,42.54,1367500,41.99
2011-09-22,41.82,43.02,41.50,42.34,1289300,41.79
2011-09-21,44.51,44.67,43.11,43.12,658100,42.56
2011-09-20,45.00,45.59,44.45,44.48,937100,43.90
2011-09-19,44.05,45.10,43.70,44.97,903000,44.39
2011-09-16,44.49,45.00,44.24,44.88,1358400,44.30
2011-09-15,44.68,44.78,44.20,44.55,942100,43.97
2011-09-14,43.42,45.00,43.20,44.36,1643800,43.79
2011-09-13,42.58,43.50,42.14,43.30,1356000,42.74
2011-09-12,41.17,42.59,41.17,42.56,1585700,42.01
2011-09-09,41.24,42.19,41.01,41.78,1298900,41.24
2011-09-08,41.74,42.30,41.45,41.60,1004300,41.06
2011-09-07,40.79,42.08,40.75,42.04,1082900,41.50
2011-09-06,39.76,40.40,39.16,40.34,1313700,39.82
2011-09-02,40.86,41.30,40.36,40.66,574100,40.13
2011-09-01,42.31,42.96,41.43,41.50,1095200,40.96
2011-08-31,42.96,43.47,41.91,42.18,1671500,41.63
2011-08-30,42.48,43.05,42.01,42.85,1132500,42.30
2011-08-29,41.71,42.70,41.58,42.64,783100,42.09
2011-08-26,40.35,41.59,40.10,41.34,768800,40.80
2011-08-25,41.61,41.90,40.57,40.62,827500,40.09
2011-08-24,40.73,41.36,40.40,41.31,826400,40.78
2011-08-23,39.52,40.82,39.00,40.78,1056800,40.25
2011-08-22,39.50,39.90,38.68,39.38,1544900,38.87
2011-08-19,39.75,40.50,38.48,38.59,2945800,38.09
2011-08-18,40.41,41.96,39.76,40.15,3308000,39.63
2011-08-17,42.00,42.55,41.14,41.56,1569000,41.02
2011-08-16,41.34,41.77,40.73,41.59,1126100,41.05
2011-08-15,41.80,42.18,41.08,41.86,1038200,41.32
2011-08-12,41.11,41.89,40.36,41.85,1552100,41.31
2011-08-11,39.22,40.99,38.90,40.46,847300,39.94
2011-08-10,39.50,40.47,39.00,39.01,1941500,38.50
2011-08-09,38.16,40.93,37.94,40.88,1998900,40.35
2011-08-08,39.47,40.45,37.76,37.98,3183500,37.49
2011-08-05,41.44,41.76,39.74,40.78,2316400,40.25
2011-08-04,42.36,42.56,41.07,41.11,2366200,40.58
2011-08-03,42.18,42.93,41.65,42.86,1242700,42.31
2011-08-02,43.37,43.86,42.12,42.26,1369900,41.71
2011-08-01,43.22,43.52,42.80,43.50,1297800,42.94
2011-07-29,42.67,43.17,41.86,43.02,1512000,42.46
2011-07-28,43.81,43.98,42.96,43.00,1613700,42.44
2011-07-27,45.42,45.42,43.57,43.61,1347600,43.05
2011-07-26,46.20,46.23,45.13,45.27,1494400,44.55
2011-07-25,44.99,45.24,44.83,44.87,504800,44.15
2011-07-22,45.17,45.59,45.06,45.42,481100,44.69
2011-07-21,45.09,45.49,44.84,45.11,530100,44.39
2011-07-20,45.56,45.67,44.52,45.00,707000,44.28
2011-07-19,44.80,45.55,44.66,45.55,816400,44.82
2011-07-18,44.73,44.77,44.28,44.48,546000,43.77
2011-07-15,45.04,45.10,44.46,45.00,757000,44.28
2011-07-14,45.69,45.88,44.60,44.86,867200,44.14
2011-07-13,45.72,46.21,45.45,45.64,715600,44.91
2011-07-12,45.69,45.92,45.07,45.49,749300,44.76
2011-07-11,45.57,46.13,45.38,45.54,813100,44.81
2011-07-08,45.70,46.10,45.31,46.08,841600,45.34
2011-07-07,46.34,46.36,45.64,46.16,1214200,45.42
2011-07-06,45.44,46.35,44.88,46.11,1139400,45.37
2011-07-05,45.71,46.60,45.71,46.03,986900,45.29
