Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,33.61,33.73,33.29,33.29,485700,32.58
2011-12-29,33.12,33.63,32.93,33.55,995100,32.83
2011-12-28,33.62,33.62,32.75,32.92,435100,32.21
2011-12-27,33.51,33.73,33.23,33.56,360800,32.84
2011-12-23,33.11,33.54,32.93,33.51,460100,32.79
2011-12-22,33.34,33.34,32.63,32.94,1068300,32.23
2011-12-21,33.43,33.44,32.68,33.19,894700,32.48
2011-12-20,33.11,33.74,33.11,33.43,875400,32.71
2011-12-19,33.43,33.61,32.50,32.62,1055900,31.92
2011-12-16,33.74,34.20,33.02,33.19,2197100,32.48
2011-12-15,34.25,34.33,33.46,33.54,2034500,32.82
2011-12-14,34.24,34.95,33.88,33.92,1954100,33.19
2011-12-13,36.42,36.70,35.65,36.01,890300,35.24
2011-12-12,36.28,36.30,35.53,36.14,428100,35.36
2011-12-09,36.06,36.90,36.06,36.74,625800,35.95
2011-12-08,36.47,36.74,35.96,36.04,817200,35.27
2011-12-07,36.79,37.08,36.29,36.82,1413000,36.03
2011-12-06,37.40,37.50,36.86,36.98,940800,36.19
2011-12-05,37.66,37.69,37.05,37.35,722200,36.55
2011-12-02,36.52,37.61,36.52,37.11,691200,36.31
2011-12-01,37.86,38.18,37.19,37.23,695700,36.43
2011-11-30,37.39,38.05,37.13,38.03,1114600,37.21
2011-11-29,35.80,36.43,35.56,35.83,841500,35.06
2011-11-28,35.75,36.37,35.22,35.58,821100,34.82
2011-11-25,34.37,35.03,34.32,34.57,210700,33.83
2011-11-23,35.54,35.62,34.50,34.59,520100,33.85
2011-11-22,36.12,36.25,35.50,35.97,497900,35.20
2011-11-21,36.19,36.36,35.65,36.05,621500,35.28
2011-11-18,37.02,37.25,36.49,36.83,348800,36.04
2011-11-17,37.38,37.47,36.42,36.69,871400,35.90
2011-11-16,37.64,38.62,37.51,37.62,581500,36.81
2011-11-15,37.38,38.35,37.00,38.13,815700,37.31
2011-11-14,37.65,37.74,37.07,37.46,515200,36.66
2011-11-11,36.79,37.82,36.79,37.76,482100,36.95
2011-11-10,36.57,36.77,36.08,36.47,456500,35.69
2011-11-09,36.39,36.58,35.69,36.07,704800,35.30
2011-11-08,37.07,37.46,36.11,37.42,505800,36.62
2011-11-07,36.89,37.06,35.86,36.92,596000,36.13
2011-11-04,36.55,37.05,36.12,36.96,370400,36.17
2011-11-03,35.67,37.11,35.33,37.01,694200,36.22
2011-11-02,35.11,35.48,34.72,35.26,630400,34.50
2011-11-01,34.53,35.26,34.01,34.47,1023000,33.73
2011-10-31,36.39,36.82,35.77,35.95,647600,35.18
2011-10-28,37.20,37.26,36.20,36.83,1049500,36.04
2011-10-27,37.28,38.23,36.83,37.13,1212200,36.33
2011-10-26,36.89,37.56,35.74,36.79,795600,36.00
2011-10-25,37.14,37.39,36.20,36.64,555000,35.66
2011-10-24,36.32,37.55,36.32,37.48,353100,36.48
2011-10-21,35.71,36.32,35.35,36.31,480200,35.34
2011-10-20,35.33,35.66,34.63,35.20,868200,34.26
2011-10-19,35.68,35.85,35.18,35.37,952300,34.42
2011-10-18,35.41,35.84,34.61,35.65,1443300,34.69
2011-10-17,36.16,36.27,35.06,35.21,974900,34.27
2011-10-14,35.86,36.55,35.59,36.34,501500,35.37
2011-10-13,35.79,35.96,35.13,35.36,787500,34.41
2011-10-12,35.52,36.58,35.51,36.16,639800,35.19
2011-10-11,34.82,35.65,34.81,35.32,646600,34.37
2011-10-10,34.83,35.41,34.65,35.05,524300,34.11
2011-10-07,34.71,34.92,33.98,34.15,506100,33.23
2011-10-06,33.57,34.53,33.28,34.48,553400,33.56
2011-10-05,33.00,33.70,32.50,33.57,604000,32.67
2011-10-04,30.57,32.75,30.38,32.72,934900,31.84
2011-10-03,31.71,32.56,30.86,30.97,1084600,30.14
2011-09-30,31.94,32.78,31.73,32.01,1076400,31.15
2011-09-29,32.98,33.39,32.07,32.57,1442100,31.70
2011-09-28,33.55,34.09,32.13,32.30,827900,31.43
2011-09-27,33.58,34.39,33.08,33.30,837900,32.41
2011-09-26,31.98,32.61,31.06,32.55,824200,31.68
2011-09-23,31.38,32.23,31.20,31.66,923400,30.81
