Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,20.47,20.60,20.40,20.47,23500,19.38
2011-12-29,20.32,20.47,20.32,20.46,26500,19.37
2011-12-28,20.68,20.70,20.25,20.28,32800,19.20
2011-12-27,20.88,20.88,20.76,20.87,26700,19.50
2011-12-23,20.82,20.83,20.73,20.79,14000,19.42
2011-12-22,20.62,20.85,20.53,20.81,12900,19.44
2011-12-21,20.53,20.61,20.37,20.60,69000,19.24
2011-12-20,20.41,20.52,20.37,20.52,12500,19.17
2011-12-19,20.24,20.25,19.89,19.91,18300,18.60
2011-12-16,20.27,20.36,20.11,20.31,20700,18.97
2011-12-15,20.39,20.39,20.14,20.19,9300,18.86
2011-12-14,20.11,20.17,19.98,20.08,10700,18.76
2011-12-13,20.55,20.80,20.20,20.20,7500,18.87
2011-12-12,20.56,20.56,20.35,20.45,12200,19.10
2011-12-09,20.71,20.91,20.69,20.89,15700,19.51
2011-12-08,20.93,20.94,20.51,20.59,22600,19.23
2011-12-07,20.83,21.17,20.81,21.17,14400,19.78
2011-12-06,21.03,21.14,20.98,21.13,10000,19.74
2011-12-05,21.15,21.22,21.01,21.06,20400,19.67
2011-12-02,21.11,21.16,20.89,20.89,17700,19.51
2011-12-01,20.98,20.98,20.78,20.89,21500,19.51
2011-11-30,20.95,21.12,20.92,21.11,17100,19.64
2011-11-29,20.20,20.31,20.17,20.19,9600,18.78
2011-11-28,20.26,20.26,19.96,20.06,30800,18.66
2011-11-25,19.55,19.72,19.55,19.56,9300,18.20
2011-11-23,20.02,20.02,19.57,19.62,19700,18.25
2011-11-22,20.19,20.25,19.96,20.09,24700,18.69
2011-11-21,20.36,20.36,20.15,20.26,16000,18.85
2011-11-18,20.79,20.79,20.62,20.62,11400,19.18
2011-11-17,20.86,20.90,20.50,20.59,36300,19.15
2011-11-16,20.97,21.13,20.86,20.86,12800,19.40
2011-11-15,21.09,21.29,20.98,21.20,16500,19.72
2011-11-14,21.14,21.22,21.00,21.10,17600,19.63
2011-11-11,21.28,21.47,21.28,21.40,14000,19.91
2011-11-10,21.16,21.16,20.86,21.01,13900,19.54
2011-11-09,21.03,21.12,20.73,20.73,12600,19.28
