Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,54.50,54.61,54.15,54.18,252900,52.19
2011-12-29,54.12,54.52,54.12,54.38,318500,52.38
2011-12-28,54.29,54.40,54.01,54.05,284700,52.06
2011-12-27,53.82,54.39,53.73,54.36,242200,52.36
2011-12-23,53.50,53.89,53.44,53.83,221100,51.85
2011-12-22,53.40,53.46,53.19,53.38,387500,51.42
2011-12-21,53.07,53.34,52.71,53.20,566300,51.24
2011-12-20,52.10,53.16,51.99,52.94,686300,50.99
2011-12-19,51.91,51.99,51.22,51.38,268200,49.49
2011-12-16,51.84,52.15,51.45,51.70,655000,49.80
2011-12-15,50.88,51.76,50.77,51.66,526700,49.76
2011-12-14,50.61,50.85,50.34,50.38,416400,48.53
2011-12-13,50.47,51.36,50.41,50.65,474400,48.79
2011-12-12,51.00,51.02,50.06,50.59,500000,48.73
2011-12-09,50.62,51.33,50.52,51.24,353200,49.36
2011-12-08,51.32,51.32,50.26,50.37,500100,48.52
2011-12-07,50.93,51.70,50.73,51.43,551100,49.54
2011-12-06,51.00,51.51,50.90,51.20,374500,49.32
2011-12-05,51.43,51.61,50.58,50.84,542700,48.97
2011-12-02,51.61,51.67,50.72,50.76,319600,48.89
2011-12-01,51.47,51.88,51.17,51.37,459400,49.48
2011-11-30,50.80,51.50,50.61,51.49,807200,49.60
2011-11-29,49.20,49.89,49.13,49.64,781600,47.82
2011-11-28,49.01,49.56,48.71,48.96,755100,47.16
2011-11-25,48.59,49.49,48.59,49.09,365500,46.63
2011-11-23,49.22,49.25,48.45,48.72,479200,46.28
2011-11-22,50.48,50.55,49.22,49.47,752400,46.99
2011-11-21,50.92,50.99,49.60,50.47,748200,47.94
2011-11-18,51.42,51.63,51.20,51.52,459700,48.94
2011-11-17,51.14,51.54,50.63,51.07,682300,48.51
2011-11-16,51.32,51.89,50.90,51.23,570700,48.66
2011-11-15,51.11,51.80,51.00,51.60,533000,49.01
2011-11-14,51.94,52.03,51.28,51.34,353300,48.77
2011-11-11,51.76,52.28,51.69,52.26,388700,49.64
2011-11-10,51.59,51.78,50.88,51.35,658900,48.78
2011-11-09,52.05,52.10,50.97,51.12,750400,48.56
2011-11-08,52.95,52.98,52.26,52.82,646000,50.17
2011-11-07,53.19,53.31,52.22,52.87,801100,50.22
2011-11-04,53.07,53.33,52.51,52.94,509500,50.29
2011-11-03,53.09,53.75,52.58,53.45,786700,50.77
2011-11-02,52.42,53.03,52.22,52.59,729800,49.96
2011-11-01,51.89,52.45,51.23,51.35,600700,48.78
2011-10-31,53.11,53.59,52.91,52.91,431100,50.26
2011-10-28,53.45,53.74,52.93,53.61,484800,50.92
2011-10-27,53.23,54.00,53.23,53.67,917300,50.98
2011-10-26,52.72,52.72,51.96,52.32,672000,49.70
2011-10-25,52.28,52.62,51.93,52.11,1027500,49.50
2011-10-24,51.60,52.37,51.40,52.36,607400,49.74
2011-10-21,51.06,51.61,50.95,51.61,433600,49.02
2011-10-20,50.07,50.59,50.04,50.46,421100,47.93
2011-10-19,50.05,50.74,49.93,50.10,505400,47.59
2011-10-18,49.23,50.21,48.82,49.99,680000,47.49
2011-10-17,49.58,49.84,49.07,49.09,482600,46.63
2011-10-14,49.29,49.73,49.05,49.71,343300,47.22
2011-10-13,48.72,49.12,48.19,49.07,426800,46.61
2011-10-12,48.73,49.22,48.48,48.88,513500,46.43
2011-10-11,49.39,49.39,48.43,48.48,762700,46.05
2011-10-10,48.99,49.71,48.93,49.71,379200,47.22
2011-10-07,48.75,48.94,48.17,48.42,539600,45.99
2011-10-06,47.41,48.55,47.31,48.52,480800,46.09
2011-10-05,46.78,47.59,46.19,47.51,828500,45.13
2011-10-04,46.51,46.81,45.75,46.77,801400,44.43
2011-10-03,48.60,48.96,46.93,46.93,756100,44.58
2011-09-30,48.68,49.36,48.59,48.62,460000,46.18
2011-09-29,49.12,49.30,48.44,49.12,405300,46.66
2011-09-28,49.23,49.49,48.28,48.33,473600,45.91
2011-09-27,49.27,49.67,48.94,49.23,572700,46.76
2011-09-26,48.37,48.61,47.75,48.59,954700,46.16
2011-09-23,47.56,48.12,47.49,47.84,799100,45.44
2011-09-22,47.75,48.18,47.19,47.59,921800,45.21
2011-09-21,50.51,50.59,48.85,48.86,682900,46.41
2011-09-20,49.83,51.18,49.69,50.48,792000,47.95
2011-09-19,49.25,49.74,49.16,49.55,438300,47.07
2011-09-16,49.73,50.25,49.71,49.96,742200,47.46
2011-09-15,48.97,49.64,48.86,49.47,781200,46.99
2011-09-14,48.36,49.13,47.84,48.64,598000,46.20
2011-09-13,47.71,48.25,47.36,48.20,497000,45.79
