Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,65.25,65.41,64.38,64.55,3319200,32.01
2011-12-29,65.03,65.44,64.77,65.38,2573000,32.43
2011-12-28,65.20,65.50,64.72,64.84,2969400,32.16
2011-12-27,65.08,65.50,65.01,65.38,2400600,32.43
2011-12-23,64.35,65.31,64.19,65.31,3752200,32.39
2011-12-22,63.47,64.45,63.41,64.24,5322600,31.86
2011-12-21,63.23,63.62,62.62,63.50,3553000,31.49
2011-12-20,62.50,63.23,62.20,63.11,4333200,31.30
2011-12-19,62.36,62.51,61.34,61.52,5291800,30.51
2011-12-16,63.30,63.30,61.92,62.14,6386800,30.82
2011-12-15,62.76,62.84,62.00,62.29,3562200,30.89
2011-12-14,62.49,62.99,62.02,62.17,3464600,30.83
2011-12-13,63.05,63.69,62.26,62.52,5002600,31.01
2011-12-12,62.80,62.99,62.20,62.89,3911400,31.19
2011-12-09,62.69,63.40,62.49,63.25,3838600,31.37
2011-12-08,62.92,63.34,62.25,62.36,6041000,30.93
2011-12-07,63.40,63.78,62.88,63.05,6748000,31.27
2011-12-06,63.69,63.89,63.01,63.52,5174000,31.50
2011-12-05,62.95,63.56,62.80,63.42,6051600,31.45
2011-12-02,63.10,63.14,62.23,62.24,6248200,30.87
2011-12-01,61.46,63.11,61.45,62.56,7038600,31.03
2011-11-30,61.68,62.00,60.84,61.70,7570000,30.60
2011-11-29,59.93,60.73,59.93,60.60,4698000,30.06
2011-11-28,59.72,60.25,59.58,59.89,6205600,29.70
2011-11-25,58.65,59.43,58.36,58.75,3966000,29.14
2011-11-23,58.76,59.32,58.61,58.80,7188800,29.16
2011-11-22,59.00,59.55,58.35,59.17,7863000,29.35
2011-11-21,58.89,59.37,58.09,59.11,4997000,29.32
2011-11-18,59.28,59.89,59.05,59.54,6542000,29.53
2011-11-17,60.15,60.50,58.85,59.18,5305000,29.35
2011-11-16,60.51,61.52,60.31,60.41,6736600,29.96
2011-11-15,60.27,61.43,59.47,60.87,6540000,30.19
2011-11-14,60.92,61.71,60.46,60.57,5225400,30.04
2011-11-11,60.32,61.50,60.01,61.34,5652400,30.42
2011-11-10,59.34,60.13,59.06,59.99,5427600,29.75
2011-11-09,59.77,60.16,58.69,58.85,5561400,29.19
2011-11-08,60.70,61.05,59.66,60.95,3477200,30.23
2011-11-07,60.47,60.87,59.56,60.58,3849800,29.95
2011-11-04,60.80,61.08,60.19,60.59,3906800,29.96
2011-11-03,60.35,61.22,59.90,61.10,6416400,30.21
2011-11-02,60.14,60.29,59.35,60.08,6817200,29.70
2011-11-01,57.55,60.10,57.20,59.37,8236000,29.35
2011-10-31,59.95,60.50,58.89,58.93,8257400,29.14
2011-10-28,60.70,61.21,59.81,60.37,6450000,29.85
2011-10-27,59.87,61.28,59.31,60.81,9593200,30.07
2011-10-26,57.93,58.93,57.40,58.54,9936600,28.94
2011-10-25,59.50,59.93,58.99,59.11,5276800,29.22
2011-10-24,59.69,60.00,59.42,59.95,5832600,29.64
2011-10-21,59.05,59.87,58.96,59.84,6451000,29.59
2011-10-20,57.81,58.70,57.69,58.58,6477400,28.96
2011-10-19,57.91,58.50,57.52,57.82,5736000,28.59
2011-10-18,57.04,57.98,56.37,57.49,5362200,28.42
2011-10-17,57.56,58.17,57.05,57.15,3190600,28.26
2011-10-14,57.92,57.92,57.08,57.71,4367000,28.53
2011-10-13,57.31,58.40,57.20,57.50,4213600,28.43
2011-10-12,58.44,58.44,57.33,57.70,5108800,28.53
2011-10-11,57.66,58.16,57.00,58.07,4663600,28.71
2011-10-10,56.50,57.82,56.27,57.80,3443200,28.58
2011-10-07,55.77,57.03,55.58,55.70,5841200,27.54
2011-10-06,54.81,55.70,53.78,55.60,9044000,27.49
2011-10-05,55.65,56.63,55.39,56.39,6163400,27.88
2011-10-04,53.54,55.49,52.88,55.45,5800000,27.42
2011-10-03,55.20,55.89,53.97,54.00,6307200,26.70
2011-09-30,55.15,56.94,54.40,55.47,8361600,27.43
2011-09-29,58.32,58.37,54.61,55.69,8450200,27.53
2011-09-28,57.77,58.59,57.53,57.57,5532200,28.46
2011-09-27,58.62,58.75,57.43,57.75,5613600,28.55
2011-09-26,56.85,57.95,56.64,57.88,5760400,28.62
2011-09-23,55.13,56.90,55.13,56.57,6496200,27.97
2011-09-22,55.63,57.04,54.88,55.55,11354800,27.46
2011-09-21,58.03,58.23,56.46,56.49,7640600,27.93
2011-09-20,57.41,59.72,56.91,58.24,13919200,28.79
2011-09-19,55.00,57.49,55.00,57.37,8704800,28.36
2011-09-16,55.88,57.59,55.81,57.25,12727400,28.31
2011-09-15,54.15,55.62,53.79,55.58,10581400,27.48
2011-09-14,52.78,53.92,51.79,53.50,11101000,26.45
2011-09-13,52.45,53.02,52.10,52.67,7535000,26.04
2011-09-12,51.10,52.49,50.94,52.49,6620800,25.95
2011-09-09,52.58,52.99,51.42,51.79,9409800,25.61
2011-09-08,52.71,53.36,52.69,53.01,7075200,26.21
2011-09-07,52.82,53.11,52.16,53.11,5918600,26.26
2011-09-06,51.32,52.14,51.03,52.09,5768600,25.75
2011-09-02,51.99,52.80,51.97,52.27,7138400,25.84
2011-09-01,54.17,54.40,52.62,52.99,14139400,26.20
2011-08-31,55.43,56.00,54.30,54.62,7781000,27.00
2011-08-30,55.13,55.43,54.29,55.09,8490600,27.24
2011-08-29,55.10,55.23,54.49,55.22,5652200,27.30
2011-08-26,53.73,54.96,52.45,54.67,10112600,27.03
2011-08-25,55.78,56.56,53.57,53.81,10227600,26.60
2011-08-24,55.23,55.76,54.48,55.68,6513000,27.53
2011-08-23,53.15,55.18,52.80,55.18,7581800,27.28
2011-08-22,53.79,53.79,52.79,53.06,7731800,26.23
2011-08-19,52.56,53.51,52.43,52.86,9662600,26.13
2011-08-18,52.40,53.54,52.23,52.88,9329000,26.14
2011-08-17,55.34,55.83,53.95,54.51,6049800,26.95
2011-08-16,52.60,55.65,52.40,54.94,10441400,27.16
2011-08-15,54.22,54.39,52.88,53.63,9593800,26.52
2011-08-12,53.11,54.07,52.21,53.89,8124400,26.64
2011-08-11,51.07,53.66,50.92,53.06,9027200,26.23
2011-08-10,52.31,52.41,50.61,50.71,12574200,25.07
2011-08-09,50.80,53.39,50.13,53.23,14697800,26.32
2011-08-08,51.75,52.38,50.43,50.77,12842000,25.01
2011-08-05,52.61,53.31,51.58,52.70,11356400,25.96
2011-08-04,52.98,53.52,52.13,52.26,10919600,25.74
2011-08-03,53.29,53.77,52.68,53.65,6119800,26.43
2011-08-02,54.38,54.89,53.11,53.13,7053000,26.17
2011-08-01,55.54,55.61,54.13,54.74,5473200,26.96
2011-07-29,54.82,56.09,54.56,55.30,5007200,27.24
2011-07-28,54.91,55.83,54.91,55.21,3495800,27.19
2011-07-27,55.77,55.91,54.84,54.85,3699400,27.02
2011-07-26,55.61,56.33,55.32,56.06,4427200,27.61
2011-07-25,55.78,55.97,55.29,55.33,4436800,27.25
2011-07-22,56.29,56.49,55.88,56.19,4057000,27.68
2011-07-21,56.05,56.78,55.98,56.33,3914000,27.75
2011-07-20,56.38,56.38,55.54,55.93,4602000,27.55
2011-07-19,55.33,56.03,55.23,56.02,4206800,27.59
2011-07-18,55.01,55.26,54.83,55.08,3378600,27.13
2011-07-15,55.24,55.27,54.59,55.26,5487000,27.22
2011-07-14,55.40,55.55,54.70,55.09,4645600,27.14
2011-07-13,55.48,55.83,55.00,55.27,5490000,27.22
2011-07-12,55.22,55.67,55.07,55.21,6767400,27.19
2011-07-11,54.72,55.94,54.64,55.44,8665600,27.31
2011-07-08,54.78,55.37,54.73,55.16,7143200,27.17
2011-07-07,55.06,55.80,54.72,54.99,8383600,27.09
2011-07-06,53.70,54.19,53.56,53.79,5035000,26.50
2011-07-05,53.24,53.97,52.92,53.73,5649800,26.47
2011-07-01,52.49,53.28,52.34,53.17,4657800,26.19
2011-06-30,53.01,53.36,52.26,52.53,5863800,25.87
2011-06-29,51.72,52.63,51.47,52.01,7797600,25.62
2011-06-28,51.23,51.58,50.89,51.54,7240000,25.39
2011-06-27,49.82,50.38,49.63,50.03,6270800,24.64
2011-06-24,51.01,51.13,49.66,49.72,7725400,24.49
2011-06-23,50.54,51.54,50.36,51.08,7122200,25.16
2011-06-22,50.87,51.58,50.80,51.01,10020400,25.13
2011-06-21,50.51,51.12,50.16,51.07,7411600,25.16
2011-06-20,49.91,50.63,49.50,50.38,6155800,24.82
2011-06-17,49.91,50.67,49.70,50.06,8533000,24.66
2011-06-16,49.66,49.93,49.25,49.58,6129600,24.42
2011-06-15,49.25,50.06,49.20,49.55,9917200,24.41
2011-06-14,49.87,50.00,49.57,49.59,8729200,24.43
2011-06-13,49.50,49.86,49.49,49.50,4661600,24.38
2011-06-10,50.29,50.36,49.46,49.49,6073200,24.38
2011-06-09,50.29,50.82,50.29,50.43,4975000,24.84
2011-06-08,50.34,50.57,50.04,50.21,5852600,24.73
2011-06-07,50.63,51.37,50.29,50.51,6930800,24.88
2011-06-06,51.00,51.28,50.29,50.31,6125000,24.78
2011-06-03,50.97,51.36,50.82,51.02,8070600,25.13
2011-06-02,50.88,51.61,50.64,51.33,10028800,25.28
2011-06-01,52.89,53.15,51.96,52.00,8988200,25.61
2011-05-31,53.60,53.75,52.46,53.02,10781000,26.12
2011-05-27,53.67,53.96,53.39,53.46,4145000,26.33
2011-05-26,52.55,53.89,52.42,53.69,7633800,26.45
2011-05-25,52.62,53.05,52.33,52.62,6299000,25.92
2011-05-24,52.91,54.02,52.82,52.93,5925000,26.07
2011-05-23,52.18,53.29,52.15,52.77,6825800,25.99
2011-05-20,51.90,52.77,51.37,52.62,7231600,25.92
2011-05-19,52.71,52.71,51.83,52.15,6259200,25.69
2011-05-18,52.20,53.23,52.18,52.66,7776400,25.94
2011-05-17,52.75,53.25,51.58,52.06,15592400,25.64
2011-05-16,54.53,54.80,54.19,54.31,5790200,26.75
2011-05-13,54.79,54.94,54.28,54.57,4527600,26.88
2011-05-12,53.77,54.73,53.28,54.68,6538000,26.93
2011-05-11,53.46,53.86,53.04,53.42,3889800,26.31
2011-05-10,52.97,53.77,52.96,53.53,5056600,26.37
2011-05-09,52.70,53.45,52.61,53.16,4774200,26.09
2011-05-06,53.65,53.84,52.63,52.72,6378400,25.88
2011-05-05,52.27,53.67,52.25,53.37,10558400,26.19
2011-05-04,53.25,53.88,52.99,53.26,5637000,26.14
2011-05-03,53.22,53.88,53.12,53.20,5991400,26.11
2011-05-02,53.73,53.87,53.00,53.31,3625600,26.16
2011-04-29,53.69,54.00,53.54,53.62,5492400,26.32
2011-04-28,53.10,53.75,52.86,53.72,4047800,26.37
2011-04-27,53.11,53.46,52.86,53.29,4239600,26.15
2011-04-26,52.83,53.59,52.77,53.17,4007800,26.10
2011-04-25,52.43,52.68,52.19,52.63,2678000,25.83
2011-04-21,52.54,52.65,52.14,52.55,2612600,25.79
2011-04-20,51.91,52.61,51.77,52.31,5098800,25.67
2011-04-19,51.73,51.93,51.35,51.78,4284000,25.41
2011-04-18,50.94,51.81,50.66,51.72,5416800,25.38
2011-04-15,51.00,51.60,50.74,51.42,5264400,25.24
2011-04-14,50.98,51.16,50.49,51.13,3345600,25.09
2011-04-13,51.13,51.50,50.64,51.26,3116200,25.16
2011-04-12,50.69,51.57,50.69,51.06,3871800,25.06
2011-04-11,50.64,51.24,50.58,51.09,3411600,25.08
2011-04-08,51.47,51.48,50.43,50.70,4821800,24.88
2011-04-07,51.13,51.95,50.49,51.12,6307400,25.09
2011-04-06,51.00,51.60,50.79,51.55,7657200,25.30
2011-04-05,49.59,51.00,49.53,50.97,9126400,25.02
2011-04-04,49.60,49.84,49.31,49.60,3565200,24.34
2011-04-01,49.92,50.05,49.41,49.50,4800800,24.29
2011-03-31,49.97,50.23,49.25,49.73,6690200,24.41
2011-03-30,49.69,50.27,49.48,50.09,4473000,24.58
2011-03-29,49.15,49.55,48.94,49.48,3780400,24.28
2011-03-28,50.10,50.24,49.18,49.21,5159000,24.15
2011-03-25,50.29,50.62,50.12,50.15,3356200,24.61
2011-03-24,49.66,50.51,49.66,50.32,4895000,24.70
2011-03-23,48.78,49.66,48.56,49.54,4330600,24.31
2011-03-22,49.35,49.55,48.83,48.86,4694000,23.98
2011-03-21,49.05,49.33,48.59,49.27,4415200,24.18
2011-03-18,49.16,49.16,48.25,48.66,7041200,23.88
2011-03-17,49.17,49.36,48.57,48.67,3993600,23.89
2011-03-16,48.86,49.27,48.32,48.59,6818800,23.85
2011-03-15,48.51,49.39,48.49,49.08,7176400,24.09
2011-03-14,49.64,49.91,49.10,49.38,4995800,24.24
2011-03-11,49.38,50.00,49.13,49.77,3152200,24.43
2011-03-10,49.31,49.89,49.14,49.47,3958000,24.28
2011-03-09,49.53,49.84,49.34,49.59,3966000,24.34
2011-03-08,49.48,49.87,49.11,49.51,7484800,24.30
2011-03-07,50.65,50.68,49.31,49.32,7294600,24.21
2011-03-04,50.80,51.10,50.15,50.58,5513200,24.82
2011-03-03,50.50,51.11,50.33,50.94,11086200,25.00
2011-03-02,49.48,50.50,49.43,50.47,6332200,24.77
2011-03-01,50.46,50.48,49.47,49.62,7870800,24.35
2011-02-28,50.21,50.30,49.74,49.87,7515600,24.48
2011-02-25,50.25,50.89,49.83,50.33,6497400,24.70
2011-02-24,48.90,50.47,48.90,50.24,11176400,24.66
2011-02-23,48.20,49.96,47.84,48.81,12043200,23.96
2011-02-22,49.73,50.24,49.36,49.72,5594000,24.40
2011-02-18,49.33,50.11,49.29,50.08,4546000,24.58
2011-02-17,49.34,49.51,49.11,49.20,5232400,24.15
2011-02-16,49.60,50.00,49.36,49.42,4975000,24.26
2011-02-15,49.51,49.97,49.17,49.30,4393800,24.20
2011-02-14,50.15,50.35,49.49,49.54,4781600,24.31
2011-02-11,49.76,51.00,49.61,50.80,6611400,24.93
2011-02-10,49.25,50.04,49.20,49.98,4473000,24.53
2011-02-09,49.69,49.99,49.16,49.37,5194800,24.23
2011-02-08,49.65,49.91,49.44,49.84,3769600,24.46
2011-02-07,49.65,50.08,49.49,49.79,6136200,24.36
2011-02-04,49.48,49.82,49.39,49.70,6047600,24.32
2011-02-03,48.26,49.85,47.96,49.51,10069200,24.23
2011-02-02,47.67,47.88,46.95,47.13,7153800,23.06
2011-02-01,47.57,48.25,47.33,47.94,7585000,23.46
2011-01-31,47.56,47.66,47.10,47.39,6926600,23.19
2011-01-28,48.56,48.75,47.60,47.71,6365200,23.35
2011-01-27,48.60,48.70,48.25,48.61,7943800,23.79
2011-01-26,48.47,48.75,48.16,48.59,5513000,23.78
2011-01-25,47.61,48.58,47.40,48.56,11765600,23.76
2011-01-24,46.46,47.85,46.46,47.55,6913600,23.27
2011-01-21,47.17,47.40,46.98,47.23,5357000,23.11
2011-01-20,46.58,47.23,46.45,47.02,8358400,23.01
2011-01-19,46.21,46.97,46.17,46.74,8642000,22.87
2011-01-18,45.81,46.23,45.79,46.18,4131200,22.60
2011-01-14,45.47,46.06,45.26,45.97,4644000,22.49
2011-01-13,45.78,46.09,45.45,45.52,4988600,22.27
2011-01-12,45.79,46.12,45.65,45.89,4582000,22.46
2011-01-11,45.88,46.14,45.59,45.68,5329000,22.35
2011-01-10,45.42,45.90,45.34,45.58,6736600,22.30
2011-01-07,45.80,45.95,45.32,45.65,10426200,22.34
2011-01-06,44.02,45.71,43.84,45.52,19137200,22.27
2011-01-05,43.40,43.46,42.55,43.00,12554000,21.04
2011-01-04,43.84,43.97,43.54,43.58,9940800,21.32
2011-01-03,44.57,44.63,43.60,43.81,8599800,21.44
