Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,0.00,86.49,86.49,86.49,000,86.49
2011-12-29,0.00,86.31,86.31,86.31,000,86.31
2011-12-28,0.00,86.73,86.73,86.73,000,86.73
2011-12-27,0.00,87.74,87.74,87.74,000,87.74
2011-12-26,0.00,87.82,87.82,87.82,000,87.82
2011-12-23,0.00,87.82,87.82,87.82,000,87.82
2011-12-22,0.00,86.31,86.31,86.31,000,86.31
2011-12-21,0.00,86.21,86.21,86.21,000,86.21
2011-12-20,0.00,84.77,84.77,84.77,000,84.77
2011-12-19,0.00,84.53,84.53,84.53,000,84.53
2011-12-16,0.00,85.75,85.75,85.75,000,85.75
2011-12-15,0.00,84.33,84.33,84.33,000,84.33
2011-12-14,0.00,86.13,86.13,86.13,000,86.13
2011-12-13,0.00,86.82,86.82,86.82,000,86.82
2011-12-12,0.00,87.72,87.72,87.72,000,87.72
2011-12-09,0.00,87.94,87.94,87.94,000,87.94
2011-12-08,0.00,90.22,90.22,90.22,000,90.22
2011-12-07,0.00,90.94,90.94,90.94,000,90.94
2011-12-06,0.00,89.35,89.35,89.35,000,89.35
2011-12-05,0.00,90.96,90.96,90.96,000,90.96
2011-12-02,0.00,90.49,90.49,90.49,000,90.49
2011-12-01,0.00,90.18,90.18,90.18,000,90.18
2011-11-30,0.00,84.49,84.49,84.49,000,84.49
2011-11-29,0.00,85.18,85.18,85.18,000,85.18
2011-11-28,0.00,84.31,84.31,84.31,000,84.31
2011-11-25,0.00,82.34,82.34,82.34,000,82.34
2011-11-24,0.00,83.50,83.50,83.50,000,83.50
2011-11-23,0.00,82.95,82.95,82.95,000,82.95
2011-11-22,0.00,85.19,85.19,85.19,000,85.19
2011-11-21,0.00,85.02,85.02,85.02,000,85.02
2011-11-18,0.00,86.96,86.96,86.96,000,86.96
2011-11-17,0.00,89.19,89.19,89.19,000,89.19
2011-11-16,0.00,90.19,90.19,90.19,000,90.19
2011-11-15,0.00,92.20,92.20,92.20,000,92.20
2011-11-14,0.00,92.76,92.76,92.76,000,92.76
2011-11-11,0.00,90.93,90.93,90.93,000,90.93
2011-11-10,0.00,89.60,89.60,89.60,000,89.60
2011-11-09,0.00,94.18,94.18,94.18,000,94.18
2011-11-08,0.00,92.84,92.84,92.84,000,92.84
2011-11-07,0.00,92.66,92.66,92.66,000,92.66
2011-11-04,0.00,93.44,93.44,93.44,000,93.44
2011-11-03,0.00,90.61,90.61,90.61,000,90.61
2011-11-02,0.00,91.88,91.88,91.88,000,91.88
2011-11-01,0.00,89.53,89.53,89.53,000,89.53
2011-10-31,0.00,92.22,92.22,92.22,000,92.22
2011-10-28,0.00,93.45,93.45,93.45,000,93.45
2011-10-27,0.00,92.85,92.85,92.85,000,92.85
2011-10-26,0.00,88.74,88.74,88.74,000,88.74
2011-10-25,0.00,87.36,87.36,87.36,000,87.36
2011-10-24,0.00,86.40,86.40,86.40,000,86.40
2011-10-21,0.00,82.11,82.11,82.11,000,82.11
2011-10-20,0.00,81.82,81.82,81.82,000,81.82
2011-10-19,0.00,83.74,83.74,83.74,000,83.74
2011-10-18,0.00,83.09,83.09,83.09,000,83.09
2011-10-17,0.00,87.21,87.21,87.21,000,87.21
2011-10-14,0.00,85.30,85.30,85.30,000,85.30
2011-10-13,0.00,86.86,86.86,86.86,000,86.86
2011-10-12,0.00,84.18,84.18,84.18,000,84.18
2011-10-11,0.00,82.83,82.83,82.83,000,82.83
2011-10-10,0.00,79.76,79.76,79.76,000,79.76
2011-10-07,0.00,79.62,79.62,79.62,000,79.62
2011-10-06,0.00,77.73,77.73,77.73,000,77.73
2011-10-05,0.00,73.28,73.28,73.28,000,73.28
2011-10-04,0.00,73.04,73.04,73.04,000,73.04
2011-10-03,0.00,75.01,75.01,75.01,000,75.01
2011-09-30,0.00,79.22,79.22,79.22,000,79.22
2011-09-29,0.00,81.84,81.84,81.84,000,81.84
2011-09-28,0.00,82.39,82.39,82.39,000,82.39
2011-09-27,0.00,82.86,82.86,82.86,000,82.86
2011-09-26,0.00,78.42,78.42,78.42,000,78.42
2011-09-23,0.00,80.43,80.43,80.43,000,80.43
2011-09-22,0.00,81.65,81.65,81.65,000,81.65
2011-09-21,0.00,87.08,87.08,87.08,000,87.08
2011-09-20,0.00,87.97,87.97,87.97,000,87.97
2011-09-19,0.00,88.22,88.22,88.22,000,88.22
2011-09-16,0.00,90.97,90.97,90.97,000,90.97
2011-09-15,0.00,89.71,89.71,89.71,000,89.71
2011-09-14,0.00,89.20,89.20,89.20,000,89.20
