Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,40.19,40.23,39.50,39.59,249900,39.59
2011-12-29,39.63,40.47,39.55,40.16,375900,40.16
2011-12-28,40.48,40.65,39.33,39.38,256600,39.38
2011-12-27,39.97,40.81,39.96,40.54,151500,40.54
2011-12-23,39.86,40.05,39.73,40.01,307200,40.01
2011-12-22,40.00,40.09,39.65,39.74,474600,39.74
2011-12-21,40.22,40.59,39.35,39.86,355800,39.86
2011-12-20,39.20,40.27,38.90,40.21,500300,40.21
2011-12-19,38.76,39.31,38.27,38.44,740500,38.44
2011-12-16,38.90,38.90,37.43,38.31,1084900,38.31
2011-12-15,35.71,35.81,35.06,35.63,455500,35.63
2011-12-14,35.27,35.75,35.07,35.36,555100,35.36
2011-12-13,36.56,36.98,35.69,35.77,468100,35.77
2011-12-12,37.11,37.11,36.13,36.32,320500,36.32
2011-12-09,36.59,37.77,36.41,37.56,420900,37.56
2011-12-08,37.91,37.91,36.49,36.58,417000,36.58
2011-12-07,37.81,38.45,37.44,38.21,380000,38.21
2011-12-06,38.54,38.83,37.87,37.95,416000,37.95
2011-12-05,38.58,38.94,38.30,38.68,618400,38.68
2011-12-02,38.87,39.07,37.46,37.77,471200,37.77
2011-12-01,38.35,39.00,38.29,38.32,458300,38.32
2011-11-30,38.14,38.72,37.39,38.71,618200,38.71
2011-11-29,36.68,36.94,35.92,36.94,499400,36.94
2011-11-28,36.05,37.35,35.94,36.73,438300,36.73
2011-11-25,35.74,36.07,34.96,34.97,145600,34.97
2011-11-23,36.46,36.73,35.97,36.03,556700,36.03
2011-11-22,36.34,36.90,36.01,36.69,486800,36.69
2011-11-21,35.81,36.34,35.44,36.28,453600,36.28
2011-11-18,36.38,36.51,35.92,36.50,688900,36.50
2011-11-17,36.53,36.90,36.09,36.32,1339300,36.32
2011-11-16,35.96,36.68,35.83,36.21,939000,36.21
2011-11-15,35.30,36.58,35.30,36.34,498400,36.34
2011-11-14,35.37,35.69,34.89,35.47,275500,35.47
2011-11-11,34.62,35.49,34.41,35.46,515500,35.46
2011-11-10,34.79,34.83,33.92,34.22,242700,34.22
2011-11-09,34.52,35.04,34.17,34.26,351300,34.26
2011-11-08,35.59,35.77,34.82,35.46,351300,35.46
2011-11-07,35.30,35.33,34.32,35.26,322600,35.26
2011-11-04,34.84,35.58,34.56,35.32,228000,35.32
2011-11-03,35.27,35.30,34.59,35.15,364500,35.15
2011-11-02,34.96,34.97,34.24,34.86,494300,34.86
