Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,22.09,22.12,21.95,22.00,2259700,63.76
2011-12-29,21.90,22.07,21.90,22.06,2238000,63.93
2011-12-28,21.99,22.00,21.86,21.91,2528700,63.50
2011-12-27,21.76,22.00,21.76,21.99,2445400,63.73
2011-12-23,21.72,21.92,21.65,21.89,2929300,63.44
2011-12-22,21.69,21.78,21.59,21.63,4489000,62.68
2011-12-21,21.37,21.69,21.37,21.65,4156400,62.74
2011-12-20,21.11,21.43,21.07,21.40,5785000,62.02
2011-12-19,21.16,21.18,20.89,20.97,2932100,60.77
2011-12-16,21.21,21.22,20.93,21.01,4736400,60.89
2011-12-15,20.83,21.06,20.83,21.04,5889400,60.97
2011-12-14,20.84,20.96,20.77,20.85,4323100,60.42
2011-12-13,20.69,21.05,20.69,20.87,4254600,60.48
2011-12-12,20.78,20.79,20.45,20.61,3448800,59.73
2011-12-09,20.65,20.89,20.59,20.86,3400600,60.45
2011-12-08,20.70,20.73,20.46,20.49,2414100,59.38
2011-12-07,20.74,20.80,20.60,20.71,3293400,60.02
2011-12-06,20.76,20.79,20.60,20.68,2910000,59.93
2011-12-05,20.75,20.81,20.61,20.70,2682600,59.99
2011-12-02,20.80,20.80,20.57,20.62,3308400,59.76
2011-12-01,20.76,20.82,20.66,20.70,3183900,59.99
2011-11-30,20.47,20.85,20.46,20.85,4670000,60.42
2011-11-29,20.06,20.30,20.00,20.21,2910200,58.57
2011-11-28,20.03,20.13,19.90,19.99,3363900,57.93
2011-11-25,19.67,19.86,19.66,19.79,1090900,57.35
2011-11-23,19.82,19.84,19.58,19.63,3018600,56.89
2011-11-22,20.01,20.05,19.78,19.92,4074200,57.73
2011-11-21,20.04,20.13,19.83,20.03,2784500,58.05
2011-11-18,20.20,20.33,20.14,20.17,2836600,58.45
2011-11-17,20.20,20.33,19.92,20.10,5377300,58.25
2011-11-16,20.41,20.45,20.21,20.23,4657400,58.63
2011-11-15,20.90,20.93,20.66,20.68,9827500,59.21
2011-11-14,20.95,21.02,20.75,20.83,10319700,59.64
2011-11-11,20.82,21.00,20.82,21.00,3039300,60.12
2011-11-10,20.68,20.83,20.52,20.75,3842300,59.41
2011-11-09,20.70,20.71,20.47,20.56,3745400,58.86
2011-11-08,20.87,20.92,20.70,20.83,4070400,59.64
2011-11-07,20.54,20.85,20.52,20.85,12054600,59.69
2011-11-04,20.72,20.72,20.35,20.64,13985300,59.09
2011-11-03,20.60,20.85,20.44,20.81,13861000,59.58
2011-11-02,20.39,20.61,20.35,20.43,3616900,58.49
2011-11-01,20.18,20.40,20.10,20.20,4346500,57.83
2011-10-31,20.38,20.67,20.31,20.42,3828700,58.46
2011-10-28,20.64,20.64,20.27,20.46,3793100,58.58
2011-10-27,20.53,20.73,20.47,20.63,4753100,59.06
2011-10-26,20.29,20.40,20.20,20.30,3231100,58.12
2011-10-25,20.38,20.43,20.12,20.14,4013800,57.66
2011-10-24,20.52,20.54,20.30,20.36,3021900,58.29
2011-10-21,20.36,20.57,20.36,20.55,3706000,58.83
2011-10-20,20.21,20.37,20.10,20.24,3258000,57.95
2011-10-19,20.16,20.38,20.13,20.20,3498100,57.83
2011-10-18,20.06,20.23,19.80,20.12,3564900,57.60
2011-10-17,19.85,20.18,19.85,20.11,3716900,57.57
2011-10-14,19.88,19.94,19.75,19.92,4729200,57.03
2011-10-13,19.75,20.27,19.60,19.80,5247100,56.69
2011-10-12,20.03,20.03,19.78,19.80,4254400,56.69
2011-10-11,20.17,20.20,19.91,19.93,3243000,57.06
2011-10-10,19.95,20.26,19.85,20.26,4000600,58.00
2011-10-07,19.69,19.91,19.63,19.79,5763700,56.66
2011-10-06,19.42,19.74,19.42,19.60,4754300,56.11
2011-10-05,19.67,19.70,19.29,19.49,4754800,55.80
2011-10-04,19.48,19.65,19.17,19.64,5800000,56.23
2011-10-03,20.09,20.15,19.67,19.71,5145700,56.43
2011-09-30,20.06,20.21,19.97,19.99,4329500,57.23
2011-09-29,20.06,20.15,19.95,20.13,9319400,57.63
2011-09-28,19.86,20.15,19.85,19.88,5602000,56.92
2011-09-27,20.03,20.05,19.85,19.90,5086900,56.97
2011-09-26,19.88,19.96,19.77,19.94,9249700,57.09
2011-09-23,19.52,19.82,19.40,19.79,4589500,56.66
2011-09-22,19.29,19.55,19.20,19.49,6202900,55.80
2011-09-21,19.76,19.93,19.64,19.66,5395900,56.29
2011-09-20,19.61,19.96,19.57,19.75,4895200,56.54
2011-09-19,19.39,19.60,19.30,19.55,2242000,55.97
2011-09-16,19.47,19.63,19.43,19.57,3514300,56.03
2011-09-15,19.24,19.42,19.13,19.40,2633600,55.54
2011-09-14,19.00,19.24,18.86,19.08,3508000,54.63
2011-09-13,18.88,18.99,18.73,18.98,2899100,54.34
2011-09-12,18.45,18.86,18.43,18.86,3426900,54.00
2011-09-09,18.70,18.72,18.43,18.55,3717300,53.11
2011-09-08,18.76,18.99,18.68,18.81,2724900,53.85
2011-09-07,18.80,18.80,18.63,18.78,3667200,53.77
2011-09-06,18.50,18.66,18.33,18.64,3923500,53.37
2011-09-02,18.66,18.85,18.62,18.78,3296000,53.77
2011-09-01,18.93,18.99,18.80,18.81,3540700,53.85
2011-08-31,18.84,18.96,18.78,18.91,3625900,54.14
2011-08-30,18.72,18.88,18.68,18.77,4177200,53.74
2011-08-29,18.68,18.88,18.65,18.77,3357900,53.74
2011-08-26,18.50,18.65,18.20,18.56,4603000,53.14
2011-08-25,18.85,18.88,18.45,18.56,4443300,53.14
2011-08-24,18.45,18.90,18.43,18.87,4527900,54.02
2011-08-23,18.36,18.59,18.25,18.49,7050100,52.94
2011-08-22,18.50,18.54,18.25,18.35,4385800,52.54
2011-08-19,18.21,18.41,18.15,18.24,3908900,52.22
2011-08-18,18.14,18.42,18.03,18.37,4828000,52.59
2011-08-17,18.35,18.59,18.35,18.47,2857600,52.88
2011-08-16,18.30,18.34,18.12,18.29,3619700,52.36
2011-08-15,17.96,18.43,17.93,18.40,3373500,52.68
2011-08-12,18.10,18.23,17.75,17.82,4437100,51.02
2011-08-11,17.31,18.21,17.28,18.02,6121500,51.59
2011-08-10,17.55,17.69,17.20,17.25,7329700,49.39
2011-08-09,17.53,17.88,16.87,17.86,12407600,50.42
2011-08-08,17.83,18.04,17.15,17.27,7454400,48.75
2011-08-05,18.17,18.34,17.87,18.12,7961000,51.15
2011-08-04,18.30,18.42,18.01,18.02,5248000,50.87
2011-08-03,18.52,18.62,18.26,18.45,4281400,52.08
2011-08-02,18.82,18.82,18.54,18.55,6096500,52.36
2011-08-01,18.83,18.86,18.58,18.70,6892800,52.79
2011-07-29,18.56,18.67,18.43,18.60,8998500,52.51
2011-07-28,18.75,18.76,18.62,18.62,7667100,52.56
2011-07-27,18.82,18.86,18.71,18.76,2701200,52.96
2011-07-26,18.90,18.94,18.81,18.82,2037600,53.13
2011-07-25,18.88,19.02,18.85,18.92,2426800,53.41
