Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,189.70,189.70,187.04,187.19,218000,185.12
2011-12-29,188.99,190.59,188.23,189.63,321900,187.53
2011-12-28,192.67,192.67,187.26,188.87,398900,186.78
2011-12-27,189.20,193.21,188.12,192.31,408800,190.18
2011-12-23,187.38,189.43,186.05,189.34,222000,187.24
2011-12-22,187.28,187.33,184.24,186.46,419600,184.40
2011-12-21,186.65,187.72,184.41,187.47,309000,185.39
2011-12-20,183.17,186.84,183.17,186.71,402600,184.64
2011-12-19,180.17,183.50,179.92,181.71,488200,179.70
2011-12-16,180.00,182.84,178.49,178.99,528800,177.01
2011-12-15,179.98,179.98,177.34,178.42,546400,176.44
2011-12-14,180.20,181.01,177.36,178.09,361300,176.12
2011-12-13,185.01,185.92,179.60,180.62,318600,178.62
2011-12-12,183.50,185.00,182.48,183.84,305400,181.80
2011-12-09,184.28,187.12,183.96,186.52,325600,184.46
2011-12-08,184.37,185.63,182.81,183.28,291500,181.25
2011-12-07,185.08,186.08,183.38,185.35,337400,183.30
2011-12-06,187.81,188.65,186.17,186.22,428900,184.16
2011-12-05,189.00,189.17,186.50,187.31,358900,185.24
2011-12-02,188.76,191.84,186.07,186.20,430400,184.14
2011-12-01,186.90,189.04,185.90,186.30,416400,184.24
2011-11-30,181.27,187.47,179.71,186.90,956100,184.83
2011-11-29,176.65,178.06,175.36,176.49,427600,174.54
2011-11-28,175.00,177.71,174.72,175.73,378900,173.78
2011-11-25,169.76,172.10,168.77,170.31,165800,168.42
2011-11-23,172.56,173.21,168.98,169.43,304500,167.55
2011-11-22,174.04,176.11,173.33,174.09,517300,172.16
2011-11-21,173.17,175.55,173.17,173.96,483000,172.03
2011-11-18,175.84,177.38,174.71,176.34,461700,174.39
2011-11-17,176.94,177.04,173.75,175.49,617500,173.55
2011-11-16,177.50,179.11,176.12,176.84,688000,174.88
2011-11-15,177.03,179.97,175.69,179.30,332400,177.32
2011-11-14,179.13,179.94,176.36,177.51,482000,175.54
2011-11-11,178.05,180.30,177.29,179.40,372600,177.41
2011-11-10,175.00,176.83,174.16,176.27,497500,174.32
2011-11-09,177.10,178.16,172.37,172.67,714400,170.76
2011-11-08,178.85,181.72,177.05,181.33,367100,178.67
2011-11-07,178.36,178.99,175.03,178.63,231600,176.01
2011-11-04,177.52,179.05,176.04,178.33,326200,175.71
2011-11-03,176.20,179.50,176.00,179.12,508000,176.49
2011-11-02,172.00,175.23,171.27,174.55,541700,171.99
2011-11-01,166.01,172.97,166.00,169.63,674200,167.14
2011-10-31,172.02,175.95,171.29,171.31,644300,168.80
2011-10-28,173.53,174.93,172.06,174.01,367300,171.46
2011-10-27,176.12,177.77,173.33,174.18,637200,171.62
2011-10-26,170.60,170.64,167.14,169.77,648500,167.28
2011-10-25,169.71,171.45,167.22,168.25,515200,165.78
2011-10-24,167.52,172.33,167.12,170.85,610600,168.34
2011-10-21,166.13,168.00,164.79,167.64,530700,165.18
2011-10-20,164.00,165.73,162.50,165.12,450200,162.70
2011-10-19,166.94,167.51,163.11,163.59,762900,161.19
2011-10-18,157.50,167.42,156.70,166.30,1480700,163.86
2011-10-17,157.64,157.98,154.59,155.09,611900,152.81
2011-10-14,158.71,160.96,156.74,157.91,577900,155.59
2011-10-13,157.61,157.65,154.08,156.21,529000,153.92
2011-10-12,154.98,160.88,154.95,158.82,811500,156.49
2011-10-11,153.75,155.13,152.63,154.33,632200,152.07
2011-10-10,154.07,155.07,152.31,154.16,525100,151.90
2011-10-07,153.49,153.67,149.40,149.99,679700,147.79
2011-10-06,149.03,152.63,148.00,152.23,819100,150.00
2011-10-05,148.78,152.03,147.62,151.49,512700,149.27
2011-10-04,142.36,149.56,141.36,149.44,1200000,147.25
2011-10-03,147.21,148.27,143.58,143.86,1122900,141.75
2011-09-30,151.16,153.55,149.35,149.54,660500,147.35
2011-09-29,157.30,158.65,150.43,153.27,1010600,151.02
2011-09-28,159.19,161.41,154.14,154.52,758300,152.25
2011-09-27,162.51,162.98,159.48,159.98,865200,157.63
2011-09-26,154.94,158.45,153.03,158.13,593200,155.81
2011-09-23,153.64,155.49,152.96,154.27,535300,152.01
2011-09-22,152.25,155.28,151.71,154.49,1182500,152.22
2011-09-21,160.09,161.32,156.95,157.05,582500,154.75
2011-09-20,160.86,163.98,159.32,160.47,424700,158.12
2011-09-19,156.10,161.00,155.76,160.36,577800,158.01
2011-09-16,165.55,165.55,158.96,159.89,1347500,157.54
2011-09-15,160.86,162.44,158.31,161.63,883400,159.26
2011-09-14,158.98,161.97,155.59,159.73,782600,157.39
2011-09-13,152.00,158.82,151.84,157.27,1089200,154.96
2011-09-12,147.26,151.88,147.15,151.72,749200,149.49
2011-09-09,151.13,152.58,147.27,149.22,675400,147.03
2011-09-08,152.07,154.62,151.82,152.45,657600,150.21
2011-09-07,151.43,153.54,150.24,153.04,659200,150.79
2011-09-06,144.27,149.19,143.57,148.99,813700,146.80
2011-09-02,147.40,150.38,145.85,148.40,568600,146.22
2011-09-01,153.01,155.71,149.73,150.96,833900,148.75
2011-08-31,151.81,156.85,151.81,154.10,880200,151.84
2011-08-30,148.18,151.35,147.81,150.41,500400,148.20
2011-08-29,145.65,148.75,145.65,148.59,530100,146.41
2011-08-26,136.95,143.13,135.56,143.05,525400,140.95
2011-08-25,141.20,141.91,137.27,138.02,452600,136.00
2011-08-24,137.73,141.10,137.19,140.98,639200,138.91
2011-08-23,133.28,138.22,132.00,138.15,531500,136.12
2011-08-22,133.24,134.09,131.52,132.68,731300,130.73
2011-08-19,129.27,134.59,129.27,130.34,989700,128.43
2011-08-18,133.51,133.60,129.41,130.95,868000,129.03
2011-08-17,138.00,138.67,135.65,137.08,325400,135.07
2011-08-16,136.98,139.95,136.55,137.26,632300,135.25
2011-08-15,138.01,139.43,136.26,138.57,817000,136.54
2011-08-12,134.51,137.36,133.88,135.84,680600,133.85
2011-08-11,127.16,135.53,126.80,133.22,976100,131.27
2011-08-10,128.87,131.15,125.82,126.11,1277700,124.26
2011-08-09,131.64,133.44,124.33,132.57,1512400,130.63
2011-08-08,135.00,136.74,129.79,129.86,1466400,127.95
2011-08-05,138.45,141.88,134.72,138.50,1341700,136.47
2011-08-04,140.46,140.89,136.47,136.63,831400,134.63
2011-08-03,141.36,143.78,139.15,142.78,834000,140.04
2011-08-02,146.03,146.99,141.27,141.43,843500,138.71
2011-08-01,149.59,149.76,145.66,147.30,859500,144.47
2011-07-29,146.32,149.62,146.32,148.37,615000,145.52
2011-07-28,148.76,152.93,147.83,148.84,728900,145.98
2011-07-27,150.00,150.61,146.32,148.76,879700,145.90
2011-07-26,154.48,154.48,149.55,149.99,626900,147.11
2011-07-25,154.15,155.92,153.39,154.84,528800,151.86
2011-07-22,156.15,156.72,154.73,155.45,339400,152.46
2011-07-21,156.57,157.89,155.33,156.17,694100,153.17
2011-07-20,157.45,157.65,154.53,155.66,464900,152.67
2011-07-19,155.49,156.82,152.79,156.24,1012600,153.24
2011-07-18,157.44,157.58,154.75,156.31,506600,153.31
2011-07-15,157.55,158.36,156.63,157.62,454300,154.59
2011-07-14,159.54,160.68,156.12,156.59,460300,153.58
2011-07-13,158.77,161.02,158.36,158.75,302500,155.70
2011-07-12,158.38,159.53,157.75,158.30,303900,155.26
2011-07-11,159.04,160.12,157.98,158.54,362900,155.49
2011-07-08,159.25,160.95,158.74,160.75,373800,157.66
2011-07-07,160.77,161.21,160.17,160.78,294300,157.69
2011-07-06,157.61,159.71,157.37,159.63,359200,156.56
2011-07-05,158.21,159.00,157.00,158.19,575500,155.15
2011-07-01,154.02,158.46,153.13,158.21,569100,155.17
2011-06-30,151.44,154.68,151.44,153.65,595500,150.70
2011-06-29,152.00,152.55,150.85,151.59,348800,148.68
2011-06-28,149.17,151.54,149.01,151.51,477900,148.60
2011-06-27,147.75,149.18,146.55,148.12,689000,145.27
2011-06-24,149.11,149.46,146.55,147.37,575500,144.54
2011-06-23,147.34,149.35,146.32,149.16,943000,146.29
2011-06-22,148.14,149.58,147.59,149.10,579200,146.23
2011-06-21,147.19,148.76,145.30,148.50,417300,145.65
2011-06-20,144.12,146.26,143.48,146.04,301400,143.23
2011-06-17,145.48,145.79,144.45,144.54,491600,141.76
2011-06-16,143.25,144.55,142.01,144.27,525300,141.50
2011-06-15,144.43,145.50,143.10,143.14,554400,140.39
2011-06-14,143.88,146.97,143.75,145.69,574500,142.89
2011-06-13,142.81,143.50,142.01,142.81,505000,140.06
2011-06-10,143.01,143.16,141.18,141.90,513400,139.17
2011-06-09,142.81,143.94,142.38,143.42,207400,140.66
2011-06-08,143.36,143.45,141.98,142.65,368500,139.91
2011-06-07,144.32,144.99,143.60,143.61,242400,140.85
2011-06-06,143.22,144.23,142.10,144.03,525700,141.26
2011-06-03,142.71,144.66,142.06,143.57,393000,140.81
2011-06-02,145.03,146.12,143.47,144.79,470600,142.01
2011-06-01,150.64,151.18,144.61,144.80,665100,142.02
2011-05-31,151.16,151.16,149.23,151.07,497000,148.17
2011-05-27,149.80,150.18,149.24,149.41,222800,146.54
2011-05-26,148.34,149.75,147.30,149.37,240100,146.50
2011-05-25,147.14,148.75,147.05,148.50,401600,145.65
2011-05-24,149.26,149.79,146.85,147.34,620400,144.51
2011-05-23,149.27,149.90,148.27,148.89,462600,146.03
2011-05-20,151.47,151.47,149.25,150.83,437200,147.93
2011-05-19,151.96,152.45,150.44,151.45,353800,148.54
2011-05-18,149.09,151.80,148.61,151.74,275800,148.82
2011-05-17,149.88,150.10,148.15,149.09,493000,146.22
2011-05-16,150.58,151.26,149.38,150.30,371700,147.41
2011-05-13,152.19,153.60,150.62,151.00,564800,148.10
2011-05-12,149.94,152.04,148.90,151.78,536000,148.86
2011-05-11,150.59,150.88,148.23,150.05,462800,147.17
2011-05-10,148.45,151.03,148.45,150.89,407600,147.99
2011-05-09,147.56,149.05,147.56,148.27,272000,145.42
2011-05-06,148.47,149.62,147.26,147.91,316500,145.07
2011-05-05,147.09,148.63,145.80,146.79,404400,143.97
2011-05-04,148.98,149.62,147.35,148.31,456800,144.81
2011-05-03,149.44,150.75,148.65,149.38,403300,145.86
2011-05-02,151.43,151.85,149.71,149.80,315300,146.27
2011-04-29,151.55,152.24,150.55,151.60,386000,148.02
