Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.14,32.15,31.79,31.89,1371800,30.99
2011-12-29,31.83,32.17,31.72,32.04,915200,31.14
2011-12-28,32.31,32.31,31.51,31.65,860200,30.76
2011-12-27,32.45,32.46,31.90,32.14,1496300,31.24
2011-12-23,32.30,32.61,32.10,32.43,1010000,31.52
2011-12-22,33.05,33.14,32.13,32.16,2137700,31.26
2011-12-21,32.84,33.20,32.52,33.17,1562600,32.24
2011-12-20,33.08,33.31,32.60,32.77,2694200,31.85
2011-12-19,33.62,33.65,32.68,32.78,1933600,31.86
2011-12-16,34.53,34.68,33.80,34.02,2643600,33.06
2011-12-15,34.00,34.43,33.36,34.30,1860600,33.34
2011-12-14,34.90,34.90,33.80,33.85,1492600,32.90
2011-12-13,36.61,36.62,34.72,34.81,1511200,33.83
2011-12-12,37.01,37.01,36.15,36.37,847100,35.35
2011-12-09,36.50,36.99,36.34,36.76,823200,35.73
2011-12-08,36.85,37.32,36.37,36.42,1446400,35.40
2011-12-07,37.03,37.20,36.50,37.03,1244600,35.99
2011-12-06,36.90,37.35,36.36,37.13,1248000,36.09
2011-12-05,36.48,37.02,36.28,36.78,1210600,35.75
2011-12-02,35.77,36.47,35.55,36.04,1093400,35.03
2011-12-01,35.91,36.09,35.35,35.40,1181200,34.41
2011-11-30,35.73,35.98,35.51,35.81,1346200,34.80
2011-11-29,35.27,35.51,34.76,34.77,907000,33.79
2011-11-28,35.13,35.90,34.75,35.10,1041800,34.11
2011-11-25,34.39,34.66,34.14,34.15,291200,33.19
2011-11-23,34.75,34.78,34.14,34.26,1093100,33.30
2011-11-22,35.19,35.26,34.57,34.91,1012900,33.93
2011-11-21,35.80,35.80,34.71,35.09,1371300,34.10
2011-11-18,35.74,36.18,35.45,36.03,1027500,35.02
2011-11-17,36.34,36.36,35.29,35.42,1260800,34.43
2011-11-16,37.10,37.16,36.22,36.29,1207600,35.27
2011-11-15,36.69,37.43,36.54,37.23,715900,36.18
2011-11-14,37.33,37.42,36.69,36.85,665200,35.82
2011-11-11,37.21,37.58,36.91,37.36,968400,36.31
2011-11-10,36.76,37.16,36.21,36.75,1692500,35.72
2011-11-09,38.20,38.35,35.72,36.45,3325200,35.43
2011-11-08,38.74,38.97,38.32,38.94,949100,37.85
2011-11-07,38.59,39.01,38.19,38.70,1030600,37.61
2011-11-04,38.76,38.99,38.06,38.66,1058000,37.57
2011-11-03,38.75,39.02,37.95,38.94,1605300,37.85
2011-11-02,38.33,38.60,37.91,38.52,1986100,37.44
2011-11-01,37.10,38.36,36.75,37.91,2523000,36.85
2011-10-31,37.90,38.48,37.60,38.06,2186600,36.99
2011-10-28,38.53,38.72,37.53,38.07,2244300,37.00
2011-10-27,38.05,39.20,37.96,38.79,2619200,37.41
2011-10-26,36.52,37.45,36.02,37.17,2418100,35.85
2011-10-25,36.80,36.91,36.02,36.08,1735000,34.80
2011-10-24,35.22,36.91,35.12,36.88,2454600,35.57
2011-10-21,35.31,35.48,34.61,35.08,2167500,33.83
2011-10-20,34.29,35.05,34.28,34.95,1671700,33.71
2011-10-19,34.80,34.92,34.13,34.23,1516400,33.01
2011-10-18,34.09,34.97,33.49,34.75,3804400,33.51
2011-10-17,33.55,35.26,32.84,34.99,3552800,33.74
2011-10-14,34.43,34.77,33.80,34.75,1974800,33.51
2011-10-13,34.67,35.13,34.27,34.34,1907700,33.12
2011-10-12,34.99,35.22,34.45,34.84,2672300,33.60
2011-10-11,34.37,35.10,33.86,34.85,2258700,33.61
2011-10-10,33.68,34.77,33.61,34.74,1548200,33.50
2011-10-07,33.50,34.00,33.20,33.25,2394900,32.07
2011-10-06,33.64,33.66,33.19,33.51,1464300,32.32
2011-10-05,32.23,33.63,32.17,33.55,3031400,32.36
2011-10-04,31.57,32.64,31.36,32.27,2782400,31.12
2011-10-03,32.30,33.10,31.97,31.99,2427000,30.85
2011-09-30,33.63,33.78,32.56,32.61,2504500,31.45
2011-09-29,34.13,34.44,33.47,34.03,2065900,32.82
2011-09-28,35.01,35.22,34.01,34.07,1721300,32.86
2011-09-27,35.57,35.89,34.86,35.02,1933200,33.77
2011-09-26,34.75,35.13,34.22,35.08,1843000,33.83
2011-09-23,34.09,34.66,34.02,34.45,1703900,33.22
2011-09-22,33.77,34.38,33.21,34.21,3069900,32.99
2011-09-21,35.29,35.70,34.61,34.62,1519500,33.39
2011-09-20,35.86,35.97,35.29,35.35,1587900,34.09
2011-09-19,35.57,36.01,35.27,35.73,1320100,34.46
2011-09-16,36.30,36.71,35.69,36.02,4965200,34.74
2011-09-15,37.19,37.30,36.03,36.15,2142800,34.86
2011-09-14,36.26,37.42,35.70,37.06,3519300,35.74
2011-09-13,35.50,36.25,35.30,36.03,2444200,34.75
