Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,89.18,89.18,88.32,88.32,40900,86.01
2011-12-29,88.54,88.93,88.04,88.91,82200,86.59
2011-12-28,88.95,88.95,88.13,88.16,29000,85.86
2011-12-27,87.98,88.80,87.94,88.72,44300,86.40
2011-12-23,87.81,88.21,87.81,88.01,29400,85.71
2011-12-22,87.64,87.64,87.10,87.31,135800,85.03
2011-12-21,86.93,87.98,86.91,87.93,77800,84.98
2011-12-20,85.78,86.74,85.70,86.63,30400,83.72
2011-12-19,85.56,86.04,84.63,84.88,33300,82.03
2011-12-16,86.16,86.21,85.30,85.56,47400,82.69
2011-12-15,85.33,85.86,85.19,85.70,28500,82.82
2011-12-14,85.21,85.32,84.57,84.60,40500,81.76
2011-12-13,85.39,86.06,84.97,85.27,26600,82.41
2011-12-12,85.45,85.45,84.32,84.94,74900,82.09
2011-12-09,85.09,85.87,84.91,85.83,44700,82.95
2011-12-08,85.73,85.90,84.42,84.50,52900,81.66
2011-12-07,85.89,86.18,85.37,85.91,19200,83.03
2011-12-06,85.91,86.47,85.76,86.10,39300,83.21
2011-12-05,86.26,86.45,85.52,85.97,85900,83.08
2011-12-02,86.54,86.54,85.22,85.27,73300,82.41
2011-12-01,86.08,86.51,85.86,86.08,95500,83.19
2011-11-30,85.63,86.21,85.33,86.07,53900,83.18
2011-11-29,83.30,84.14,83.28,83.92,35400,81.10
2011-11-28,83.48,83.55,82.53,82.91,36500,80.13
2011-11-25,81.32,82.18,81.25,81.86,56900,79.11
2011-11-23,82.11,82.18,81.25,81.60,85400,78.86
2011-11-22,83.83,83.83,82.56,82.82,126400,80.04
2011-11-21,84.10,84.24,83.10,83.72,86600,80.91
2011-11-18,84.82,85.06,84.61,84.87,26600,82.02
2011-11-17,84.60,85.15,83.76,84.36,80200,81.53
2011-11-16,85.19,85.72,84.70,84.79,88600,81.94
2011-11-15,85.65,85.99,85.17,85.80,36100,82.92
2011-11-14,86.31,86.31,85.42,85.54,35400,82.67
2011-11-11,86.11,86.54,86.11,86.54,25300,83.64
2011-11-10,85.44,85.72,84.83,85.27,29400,82.41
2011-11-09,85.56,85.81,84.59,84.66,167000,81.82
2011-11-08,86.30,86.75,85.59,86.75,52500,83.84
2011-11-07,85.92,86.11,85.06,86.11,39300,83.22
2011-11-04,85.72,85.84,84.74,85.60,84300,82.73
2011-11-03,85.53,86.33,85.04,86.13,79100,83.24
2011-11-02,84.39,85.52,84.39,84.86,67200,82.01
2011-11-01,83.81,84.59,83.24,83.42,83000,80.62
2011-10-31,85.34,86.12,85.30,85.30,60500,82.44
2011-10-28,85.89,86.12,85.50,85.97,35700,83.08
2011-10-27,86.25,86.85,85.76,86.44,82700,83.54
2011-10-26,84.72,84.83,83.81,84.45,37700,81.62
2011-10-25,84.84,84.93,83.74,83.79,29400,80.98
2011-10-24,85.25,85.25,84.74,84.98,52200,82.13
2011-10-21,84.40,85.16,84.40,85.16,116400,82.30
2011-10-20,83.88,84.20,83.10,83.81,92000,81.00
2011-10-19,83.35,84.49,83.21,83.35,58100,80.55
2011-10-18,82.69,83.78,82.06,83.36,75900,80.56
2011-10-17,82.83,83.10,82.54,82.66,93800,79.89
2011-10-14,82.78,82.96,82.41,82.90,34500,80.12
2011-10-13,81.70,82.24,81.13,82.21,37700,79.45
2011-10-12,82.58,82.58,81.97,82.06,50800,79.31
2011-10-11,82.86,82.86,81.86,82.19,66500,79.43
2011-10-10,81.88,82.87,81.88,82.87,45400,80.09
2011-10-07,81.71,81.86,80.79,81.15,78600,78.43
2011-10-06,80.17,81.09,79.66,81.07,350900,78.35
2011-10-05,79.97,79.97,78.54,79.62,75600,76.95
2011-10-04,79.17,79.54,77.51,79.54,80700,76.87
2011-10-03,81.81,82.29,79.58,79.58,250600,76.91
2011-09-30,82.40,82.72,81.73,81.75,75200,79.01
2011-09-29,82.63,82.76,81.70,82.57,161700,79.80
2011-09-28,82.74,82.74,81.22,81.39,30300,78.66
2011-09-27,83.29,83.29,82.03,82.38,36700,79.61
2011-09-26,82.00,82.00,80.99,81.98,52300,79.23
2011-09-23,80.39,81.49,80.21,81.18,167200,78.46
2011-09-22,81.20,81.49,80.39,81.21,456700,77.76
2011-09-21,84.40,84.62,82.73,82.73,181000,79.22
2011-09-20,83.87,85.50,83.61,84.37,64400,80.79
2011-09-19,82.89,83.64,82.62,83.42,21400,79.88
2011-09-16,83.33,84.14,83.32,83.76,29300,80.21
2011-09-15,82.78,83.19,82.35,83.12,201100,79.59
2011-09-14,81.59,82.69,81.03,82.07,22200,78.59
2011-09-13,80.78,81.40,80.32,81.32,19400,77.87
2011-09-12,79.50,80.81,79.50,80.81,27100,77.38
2011-09-09,81.19,81.19,79.74,80.23,20300,76.83
2011-09-08,81.58,82.66,81.46,81.96,55300,78.48
2011-09-07,81.81,82.06,81.43,81.97,27700,78.49
2011-09-06,79.78,81.08,79.34,81.04,40800,77.60
2011-09-02,81.59,82.03,81.41,81.49,25500,78.03
2011-09-01,83.29,83.46,82.48,82.62,285100,79.11
2011-08-31,83.00,83.27,82.70,82.98,278900,79.46
2011-08-30,82.33,82.74,82.05,82.50,55800,79.00
2011-08-29,81.86,82.50,81.63,82.49,91100,78.99
2011-08-26,80.35,81.11,79.20,80.75,12600,77.32
2011-08-25,82.28,82.28,80.42,80.75,33100,77.32
2011-08-24,80.12,82.05,80.12,81.97,30300,78.49
2011-08-23,79.04,80.21,78.39,80.19,37700,76.79
2011-08-22,80.14,80.14,78.28,78.60,36700,75.26
2011-08-19,78.75,79.69,78.50,78.77,114900,75.43
2011-08-18,79.36,79.69,78.46,79.44,42200,76.07
2011-08-17,80.68,81.47,80.51,80.74,50300,77.31
2011-08-16,79.58,80.46,79.39,80.21,38000,76.81
2011-08-15,78.45,80.51,78.45,80.51,47600,77.09
2011-08-12,79.15,79.15,77.54,77.76,40600,74.46
2011-08-11,75.35,79.00,75.26,78.19,43800,74.87
2011-08-10,75.30,76.92,74.82,74.82,464100,71.65
2011-08-09,74.48,76.44,72.21,76.44,62000,73.20
2011-08-08,76.69,77.40,73.52,73.76,126900,70.63
2011-08-05,78.76,78.76,76.69,78.24,139100,74.92
2011-08-04,79.89,80.19,77.86,77.86,108000,74.56
2011-08-03,80.76,80.76,79.49,80.61,72400,77.19
2011-08-02,81.56,81.86,80.65,80.65,28300,77.23
2011-08-01,82.49,82.49,81.45,82.00,256600,78.52
2011-07-29,81.57,82.36,81.46,81.74,38100,78.27
2011-07-28,82.84,83.02,82.46,82.54,25500,79.04
2011-07-27,83.08,83.37,82.89,83.00,23300,79.48
2011-07-26,83.80,83.80,83.29,83.35,21200,79.81
2011-07-25,82.89,84.05,82.89,83.71,57400,80.16
2011-07-22,84.13,84.13,83.50,83.56,15300,80.01
2011-07-21,83.27,84.15,83.13,84.01,27300,80.45
2011-07-20,82.37,83.10,82.28,82.79,26700,79.28
2011-07-19,82.01,82.49,81.56,82.39,23100,78.89
2011-07-18,82.29,82.29,81.48,81.66,63800,78.19
2011-07-15,82.53,82.75,82.09,82.53,27600,79.03
2011-07-14,82.89,83.15,82.23,82.35,19600,78.86
2011-07-13,83.22,83.42,82.75,82.77,72300,79.26
2011-07-12,82.48,83.34,82.25,82.91,219300,79.39
2011-07-11,82.81,82.86,82.40,82.59,42200,79.09
2011-07-08,83.07,83.60,83.05,83.57,17900,80.02
2011-07-07,84.01,84.17,83.56,83.81,23200,80.25
2011-07-06,83.00,83.70,82.97,83.49,43700,79.95
2011-07-05,83.73,83.73,83.22,83.30,37700,79.77
2011-07-01,82.55,83.84,82.55,83.71,48000,80.16
2011-06-30,82.61,82.73,82.18,82.68,75400,79.17
2011-06-29,82.35,82.47,81.99,82.40,217200,78.90
2011-06-28,81.72,82.11,81.54,81.98,29900,78.50
2011-06-27,80.94,81.61,80.94,81.47,20100,78.01
2011-06-24,80.92,81.54,80.88,80.88,14400,77.45
2011-06-23,81.35,81.57,80.83,81.55,41800,77.38
2011-06-22,82.58,82.62,82.18,82.19,40000,77.99
2011-06-21,82.79,83.00,82.40,82.70,18600,78.47
2011-06-20,81.99,82.55,81.65,82.52,24000,78.30
2011-06-17,82.16,82.45,81.88,82.08,23000,77.88
2011-06-16,80.90,81.76,80.90,81.49,33600,77.32
2011-06-15,81.88,81.94,80.69,80.91,31600,76.77
2011-06-14,82.24,82.24,81.56,81.91,28500,77.72
2011-06-13,81.55,81.78,81.22,81.55,14300,77.38
2011-06-10,81.67,81.70,81.34,81.35,40200,77.19
2011-06-09,81.65,82.04,81.59,81.77,20000,77.59
2011-06-08,81.36,81.94,81.36,81.77,20400,77.59
2011-06-07,81.67,82.10,81.50,81.54,24200,77.37
2011-06-06,81.73,81.73,81.29,81.37,11900,77.21
2011-06-03,81.53,82.23,81.30,81.85,31600,77.66
2011-06-02,82.73,82.73,81.94,82.40,57500,78.18
2011-06-01,83.57,83.68,82.73,82.76,32200,78.53
2011-05-31,83.60,83.66,83.14,83.63,26000,79.35
2011-05-27,83.18,83.39,82.94,83.03,17000,78.78
2011-05-26,82.71,83.07,82.29,82.92,53500,78.68
2011-05-25,82.77,83.20,82.23,82.91,14200,78.67
2011-05-24,83.04,83.34,82.94,82.96,12900,78.72
2011-05-23,83.72,83.80,83.05,83.14,71700,78.89
2011-05-20,84.13,84.54,83.71,84.17,24800,79.86
2011-05-19,84.31,84.40,83.78,84.20,17200,79.89
2011-05-18,84.19,84.20,83.50,84.00,24800,79.70
2011-05-17,83.35,84.09,83.35,84.05,73000,79.75
2011-05-16,83.77,84.27,83.53,83.64,34400,79.36
2011-05-13,84.32,84.36,83.23,83.70,36500,79.42
2011-05-12,83.20,84.15,83.20,84.14,11000,79.84
