Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,76.77,76.80,76.45,76.45,47900,75.34
2011-12-29,76.64,76.76,75.70,76.61,219000,75.49
2011-12-28,77.30,77.30,75.98,76.14,145200,75.03
2011-12-27,77.00,77.25,76.79,77.08,76600,75.96
2011-12-23,76.57,76.85,76.44,76.85,42300,75.73
2011-12-22,76.48,76.61,76.01,76.39,90600,75.28
2011-12-21,76.10,76.52,75.56,76.48,140100,75.15
2011-12-20,75.14,76.07,75.11,76.02,76700,74.70
2011-12-19,74.32,75.28,73.99,74.14,102000,72.85
2011-12-16,75.00,75.00,74.17,74.31,27200,73.02
2011-12-15,74.11,74.73,73.85,74.54,43700,73.25
2011-12-14,73.35,73.62,72.90,73.38,23200,72.11
2011-12-13,74.25,74.64,73.21,73.41,244800,72.14
2011-12-12,74.38,74.38,73.23,73.71,23200,72.43
2011-12-09,73.21,74.69,73.21,74.47,84200,73.18
2011-12-08,73.95,74.21,73.05,73.12,121100,71.85
2011-12-07,73.99,74.63,73.52,74.38,87100,73.09
2011-12-06,74.18,74.53,73.84,74.08,16500,72.79
2011-12-05,74.39,74.49,73.42,73.76,61300,72.48
2011-12-02,74.42,74.42,73.41,73.58,53100,72.30
2011-12-01,73.85,74.20,73.60,73.73,116900,72.45
2011-11-30,73.03,73.83,72.97,73.83,18200,72.55
2011-11-29,71.14,71.69,71.01,71.41,40400,70.17
2011-11-28,69.81,71.07,69.81,70.98,125300,69.75
2011-11-25,68.59,69.06,68.52,68.52,2500,67.33
2011-11-23,69.96,69.96,69.12,69.27,14500,68.07
2011-11-22,70.00,70.46,69.84,70.21,10400,68.99
2011-11-21,70.48,70.48,69.79,70.12,24400,68.90
2011-11-18,69.99,70.01,69.52,69.61,19900,68.40
2011-11-17,69.82,70.15,68.92,69.36,13300,68.16
2011-11-16,70.78,71.16,69.81,70.04,10400,68.82
2011-11-15,70.75,71.29,70.19,71.04,12700,69.81
2011-11-14,70.67,70.84,70.41,70.71,11200,69.48
2011-11-11,70.48,71.37,70.48,71.23,19800,69.99
2011-11-10,70.18,70.18,69.06,69.84,18900,68.63
2011-11-09,70.02,70.43,69.00,69.13,40400,67.93
2011-11-08,71.09,71.48,70.50,71.39,24500,70.15
2011-11-07,70.74,71.14,69.85,71.07,20000,69.84
2011-11-04,71.06,71.27,70.31,70.55,47500,69.32
2011-11-03,71.44,71.86,70.60,71.84,45100,70.59
2011-11-02,69.99,69.99,69.22,69.81,21400,68.60
2011-11-01,68.78,70.09,68.55,69.20,38700,68.00
2011-10-31,71.12,71.12,70.32,70.33,23500,69.11
2011-10-28,71.84,71.89,71.35,71.74,24800,70.49
2011-10-27,71.69,71.90,70.90,71.61,42700,70.37
2011-10-26,69.49,70.30,68.72,70.14,13400,68.92
2011-10-25,70.09,70.09,68.65,68.65,28100,67.46
2011-10-24,69.46,70.38,69.08,70.28,26400,69.06
2011-10-21,69.28,69.32,68.60,69.21,30000,68.01
2011-10-20,68.62,68.62,67.50,68.35,17100,67.16
2011-10-19,69.08,69.22,68.11,68.11,7900,66.93
2011-10-18,68.43,69.40,67.67,68.93,21700,67.73
2011-10-17,69.74,69.74,68.54,68.73,26900,67.54
2011-10-14,70.10,70.10,69.41,69.99,21200,68.77
2011-10-13,68.84,69.46,68.42,69.32,87000,68.12
2011-10-12,69.32,69.59,69.00,69.07,63000,67.87
2011-10-11,68.44,69.01,68.44,68.81,54000,67.61
2011-10-10,68.30,68.83,68.18,68.78,10000,67.59
2011-10-07,67.97,67.97,66.88,66.96,58800,65.80
2011-10-06,66.39,67.33,66.00,67.33,27000,66.16
2011-10-05,65.80,66.29,65.17,66.22,31500,65.07
2011-10-04,63.97,65.41,63.21,65.39,107800,64.25
2011-10-03,65.80,66.83,64.22,64.22,386400,63.10
2011-09-30,66.59,67.50,66.35,66.36,23300,65.21
2011-09-29,67.60,67.75,66.00,67.00,42400,65.84
2011-09-28,67.52,68.14,66.38,66.38,22700,65.23
2011-09-27,67.99,68.47,67.28,67.61,37700,66.44
2011-09-26,66.59,66.69,65.56,66.69,28600,65.53
2011-09-23,65.27,66.28,65.27,65.99,68400,64.84
2011-09-22,65.45,66.42,65.00,65.84,191000,64.45
2011-09-21,69.07,69.16,67.78,67.78,3200,66.35
2011-09-20,68.71,69.60,68.68,68.97,18200,67.51
2011-09-19,68.14,68.73,67.82,68.44,22000,66.99
2011-09-16,68.93,69.00,68.56,68.77,10300,67.32
2011-09-15,68.44,68.53,67.96,68.49,6500,67.04
2011-09-14,67.66,68.32,67.18,68.07,8100,66.63
2011-09-13,66.92,67.43,66.69,67.20,29100,65.78
2011-09-12,66.18,66.79,65.80,66.78,48100,65.37
2011-09-09,68.04,68.04,66.50,67.03,5900,65.61
2011-09-08,68.88,69.32,68.44,68.66,7700,67.21
2011-09-07,68.20,69.07,68.01,69.01,13100,67.55
2011-09-06,65.63,67.24,65.27,67.21,24400,65.79
2011-09-02,67.53,68.08,66.70,66.93,21300,65.52
2011-09-01,69.66,69.95,68.40,68.47,23900,67.02
2011-08-31,69.63,69.85,68.73,69.31,16900,67.85
2011-08-30,68.23,69.31,68.00,69.03,18200,67.57
2011-08-29,67.30,68.53,67.30,68.46,8400,67.01
2011-08-26,65.00,66.77,64.17,66.56,6300,65.15
2011-08-25,67.28,67.28,65.38,65.55,14000,64.17
2011-08-24,65.94,66.97,65.90,66.97,9300,65.55
2011-08-23,64.22,66.20,64.07,66.00,17800,64.61
2011-08-22,65.31,65.31,63.84,63.94,21400,62.59
2011-08-19,63.60,64.74,63.60,63.96,31000,62.61
2011-08-18,64.68,65.64,63.72,64.16,93500,62.80
2011-08-17,67.53,67.63,66.27,66.80,16200,65.39
2011-08-16,66.67,67.26,65.99,66.83,22400,65.42
2011-08-15,66.23,67.01,66.17,67.01,12700,65.59
2011-08-12,65.75,66.29,65.16,65.66,13900,64.27
2011-08-11,63.53,65.68,62.90,65.17,29200,63.79
2011-08-10,63.74,64.46,62.62,62.62,47000,61.30
2011-08-09,63.18,65.02,61.12,65.02,32500,63.65
2011-08-08,63.35,64.82,62.00,62.20,79900,60.89
2011-08-05,65.65,66.17,63.70,65.53,38500,64.15
2011-08-04,68.01,68.01,65.42,65.46,164400,64.08
2011-08-03,68.44,68.87,67.17,68.83,46300,67.38
2011-08-02,70.14,70.43,68.52,68.52,247600,67.07
2011-08-01,71.97,72.21,69.90,70.53,99500,69.04
2011-07-29,71.40,71.87,70.50,71.51,38700,70.00
2011-07-28,71.85,72.74,71.85,71.89,121100,70.37
2011-07-27,72.74,72.99,71.86,71.93,29700,70.41
2011-07-26,73.53,73.53,72.91,72.97,168300,71.43
2011-07-25,73.94,74.13,73.49,73.53,25800,71.98
2011-07-22,74.60,74.65,74.30,74.49,19200,72.92
2011-07-21,73.91,74.64,73.91,74.48,21700,72.91
2011-07-20,74.32,74.32,73.44,73.60,61600,72.04
2011-07-19,73.69,74.24,73.58,74.13,194100,72.56
2011-07-18,73.85,73.85,72.98,73.38,12500,71.83
2011-07-15,74.40,74.40,73.76,74.16,19300,72.59
2011-07-14,74.48,75.01,74.29,74.33,12100,72.76
2011-07-13,74.32,74.97,74.20,74.40,11300,72.83
2011-07-12,73.58,74.51,73.58,73.87,23200,72.31
2011-07-11,74.17,74.35,73.69,73.88,13600,72.32
2011-07-08,74.42,74.80,74.31,74.80,25900,73.22
2011-07-07,75.18,75.18,74.55,74.83,49000,73.25
2011-07-06,74.24,74.75,74.24,74.59,250800,73.01
2011-07-05,74.45,74.45,74.05,74.25,148800,72.68
2011-07-01,73.38,74.20,73.15,74.20,18800,72.63
2011-06-30,73.34,73.46,73.25,73.39,20200,71.84
2011-06-29,72.82,73.04,72.51,72.98,9800,71.44
2011-06-28,71.83,72.59,71.71,72.55,13500,71.02
2011-06-27,71.43,71.73,71.09,71.59,23000,70.08
2011-06-24,71.94,71.94,71.15,71.25,15400,69.74
2011-06-23,71.47,72.22,71.06,72.22,30500,70.47
2011-06-22,72.03,72.32,71.85,71.85,34600,70.11
2011-06-21,71.78,72.34,71.78,72.22,22100,70.47
2011-06-20,70.56,71.54,70.56,71.42,27100,69.69
2011-06-17,71.51,71.52,70.53,70.74,8300,69.03
2011-06-16,70.89,71.15,70.40,70.69,5600,68.98
2011-06-15,71.29,71.67,70.75,70.88,21000,69.17
2011-06-14,71.79,72.12,71.57,71.84,66200,70.10
2011-06-13,71.00,71.55,71.00,71.16,10600,69.44
2011-06-10,71.43,71.54,70.82,70.89,29300,69.18
2011-06-09,71.40,72.22,71.25,71.80,52500,70.06
2011-06-08,71.51,71.65,71.06,71.33,8300,69.60
