Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,72.85,73.36,72.67,72.86,1050300,71.45
2011-12-29,71.80,72.93,71.80,72.85,1217100,71.44
2011-12-28,73.01,73.13,71.53,71.78,1283500,70.39
2011-12-27,72.77,73.23,72.47,72.76,669000,71.35
2011-12-23,72.38,72.97,72.11,72.76,920200,71.35
2011-12-22,72.00,72.34,71.58,72.28,1491900,70.88
2011-12-21,70.65,71.84,70.23,71.58,2084900,70.19
2011-12-20,70.20,71.24,70.20,70.86,2167500,69.49
2011-12-19,70.19,70.77,69.04,69.19,3799900,67.85
2011-12-16,70.57,70.99,69.37,69.82,5309400,68.47
2011-12-15,71.02,71.04,69.08,69.66,3079300,68.31
2011-12-14,70.95,71.06,69.75,70.02,4003900,68.66
2011-12-13,73.12,73.79,71.04,71.41,2397300,70.03
2011-12-12,73.31,73.56,72.38,73.08,1622500,71.66
2011-12-09,73.41,74.07,72.85,73.79,2254100,72.36
2011-12-08,74.14,74.52,72.84,73.04,2397400,71.62
2011-12-07,74.52,75.26,74.00,74.74,1929300,73.29
2011-12-06,75.79,76.08,74.22,74.86,2422100,73.41
2011-12-05,75.82,76.49,75.13,75.75,2022900,74.28
2011-12-02,75.20,75.98,74.85,75.01,2345900,73.56
2011-12-01,75.19,75.45,74.56,74.78,2859500,73.33
2011-11-30,75.16,76.00,74.74,75.54,3367500,74.08
2011-11-29,73.14,74.23,72.93,72.96,3000400,71.55
2011-11-28,72.75,73.20,72.37,73.04,3120400,71.62
2011-11-25,70.28,71.20,70.00,70.44,1662600,69.07
2011-11-23,70.95,71.05,70.15,70.35,2505700,68.99
2011-11-22,71.70,72.38,71.26,71.65,2976900,70.26
2011-11-21,72.35,72.74,71.13,71.71,3225500,70.32
2011-11-18,73.05,73.66,72.54,73.29,2892400,71.87
2011-11-17,73.46,73.74,71.78,72.67,3704800,71.26
2011-11-16,74.46,75.48,74.00,74.08,1782300,72.64
2011-11-15,74.70,75.87,74.26,75.36,1657500,73.90
2011-11-14,75.14,75.64,74.66,75.01,1464900,73.56
2011-11-11,74.67,76.20,74.67,75.69,2452200,74.22
2011-11-10,73.01,74.18,72.52,73.79,2484600,72.36
2011-11-09,72.50,72.95,71.67,71.95,2580800,70.56
2011-11-08,74.15,74.45,72.65,74.38,2580700,72.94
2011-11-07,73.55,74.18,72.51,73.83,2453900,72.40
2011-11-04,72.98,73.69,71.61,73.54,3591700,72.11
2011-11-03,74.00,74.07,72.80,73.90,2988100,72.47
2011-11-02,74.08,74.82,72.15,72.92,3051700,71.51
2011-11-01,70.92,73.82,70.20,72.70,4387900,70.87
2011-10-31,74.26,75.07,73.56,73.99,2741900,72.13
2011-10-28,74.42,75.50,73.76,74.98,3749200,73.09
2011-10-27,73.41,75.86,73.40,75.16,5424100,73.27
2011-10-26,70.32,70.55,69.00,69.77,3216300,68.01
2011-10-25,69.83,70.05,68.30,69.38,2076600,67.63
2011-10-24,71.00,71.11,70.09,70.58,3686800,68.80
2011-10-21,69.42,70.98,69.30,70.90,2143400,69.11
2011-10-20,67.70,69.24,67.70,68.79,2596200,67.06
2011-10-19,68.47,69.07,67.15,67.38,2963200,65.68
2011-10-18,66.30,69.14,66.18,68.46,2540000,66.74
2011-10-17,68.06,68.06,66.26,66.38,1706200,64.71
2011-10-14,67.55,68.29,67.10,68.17,1805500,66.45
2011-10-13,66.94,67.68,66.26,67.04,2322200,65.35
2011-10-12,67.33,68.49,66.80,67.44,2464000,65.74
2011-10-11,66.63,68.31,66.20,67.21,3060000,65.52
2011-10-10,66.06,67.48,65.77,67.45,2050300,65.75
2011-10-07,65.84,66.04,64.15,64.87,2799600,63.24
2011-10-06,62.89,65.48,62.38,65.45,3734500,63.80
2011-10-05,61.52,63.58,61.06,63.32,2443800,61.73
2011-10-04,58.91,61.92,57.57,61.75,4200000,60.19
2011-10-03,60.51,61.49,59.84,60.01,3581600,58.50
2011-09-30,62.40,62.64,61.02,61.02,3004300,59.48
2011-09-29,62.47,63.48,62.12,63.47,3131200,61.87
2011-09-28,63.57,63.73,61.27,61.38,2525100,59.83
2011-09-27,63.93,64.58,63.09,63.49,3332400,61.89
2011-09-26,62.12,62.73,60.72,62.62,2854300,61.04
2011-09-23,59.48,61.90,59.28,61.53,3621500,59.98
2011-09-22,60.28,62.58,59.40,60.44,6787900,58.92
2011-09-21,65.89,66.46,61.88,61.93,8745100,60.37
2011-09-20,68.21,69.51,67.43,67.54,2340100,65.84
2011-09-19,69.13,69.13,67.44,68.22,3187600,66.50
2011-09-16,70.00,70.79,69.72,70.42,4526400,68.65
2011-09-15,69.08,69.79,68.34,69.72,3748300,67.96
2011-09-14,67.06,68.72,65.29,68.30,3739400,66.58
2011-09-13,64.99,67.17,64.84,66.88,3580700,65.20
2011-09-12,63.79,64.82,63.14,64.76,3089500,63.13
2011-09-09,65.74,66.12,64.45,64.83,4404600,63.20
2011-09-08,66.18,67.09,65.97,66.48,4283300,64.81
2011-09-07,65.94,66.92,65.71,66.86,4213200,65.18
2011-09-06,63.13,65.08,62.45,65.03,4578700,63.39
2011-09-02,65.60,65.92,64.71,65.12,2849400,63.48
2011-09-01,67.72,68.61,66.74,66.85,2489600,65.17
2011-08-31,68.00,68.69,66.97,67.68,2718200,65.98
2011-08-30,66.20,68.00,66.03,67.61,3906200,65.91
2011-08-29,66.21,66.56,65.35,66.46,2090100,64.79
2011-08-26,63.78,65.22,62.10,65.18,3601300,63.54
2011-08-25,65.70,66.31,64.06,64.23,2847200,62.61
2011-08-24,64.50,65.55,63.71,65.43,2778500,63.78
2011-08-23,62.75,64.50,61.86,64.50,3446000,62.88
2011-08-22,64.28,64.64,62.32,62.56,4270100,60.98
2011-08-19,63.50,65.24,62.84,63.06,3645400,61.47
2011-08-18,66.45,66.48,63.42,64.24,4497500,62.62
2011-08-17,68.52,69.25,67.45,68.30,2382900,66.58
2011-08-16,68.74,69.14,67.47,68.22,3305900,66.50
2011-08-15,68.65,69.40,68.07,69.31,2007900,67.56
2011-08-12,68.80,69.47,67.71,68.17,3399900,66.45
2011-08-11,66.93,68.85,66.12,68.00,4802300,66.29
2011-08-10,67.08,68.90,65.89,66.71,6414900,65.03
2011-08-09,66.31,68.08,63.95,67.88,6109000,66.17
2011-08-08,66.07,67.41,64.84,64.91,6617900,63.28
2011-08-05,69.71,70.42,67.20,69.19,4166800,67.45
2011-08-04,71.04,71.65,68.84,68.86,4739300,67.13
2011-08-03,72.88,72.88,70.81,71.86,4273000,70.05
2011-08-02,74.39,75.09,72.84,72.96,3707500,70.70
2011-08-01,76.60,76.66,74.36,75.24,3199400,72.91
2011-07-29,75.78,76.12,74.36,75.70,2852000,73.36
2011-07-28,76.24,77.89,76.03,76.51,2850300,74.14
2011-07-27,76.40,78.40,76.00,76.12,5142200,73.77
2011-07-26,76.31,76.31,74.29,75.55,2359700,73.21
2011-07-25,75.47,76.88,75.31,76.45,1438900,74.09
2011-07-22,76.56,76.89,75.96,76.21,1161500,73.85
2011-07-21,75.53,77.10,75.53,76.65,1934800,74.28
2011-07-20,75.44,75.44,74.36,75.09,2142200,72.77
2011-07-19,73.81,74.69,73.60,74.63,1477200,72.32
2011-07-18,73.80,73.85,72.71,73.44,2125300,71.17
2011-07-15,74.36,74.36,73.07,73.91,1827100,71.62
2011-07-14,74.88,75.35,73.54,74.04,1826800,71.75
2011-07-13,74.47,75.49,74.19,74.61,1489900,72.30
2011-07-12,74.35,74.71,73.69,73.92,1987600,71.63
2011-07-11,74.75,74.97,74.33,74.67,1672800,72.36
2011-07-08,75.87,76.36,75.21,75.68,1841000,73.34
2011-07-07,77.08,77.20,76.19,76.99,2091800,74.61
2011-07-06,75.92,76.81,75.73,76.43,1790200,74.07
2011-07-05,76.73,76.80,75.77,75.96,2060500,73.61
2011-07-01,75.00,77.08,74.43,76.93,2896000,74.55
2011-06-30,74.22,75.82,74.16,74.93,2161300,72.61
2011-06-29,73.48,74.34,73.22,74.21,2705900,71.91
2011-06-28,72.52,73.15,72.05,73.03,1629500,70.77
2011-06-27,71.40,72.41,71.38,72.12,1570300,69.89
2011-06-24,72.35,72.60,71.52,71.67,2563900,69.45
2011-06-23,71.49,72.49,71.49,72.37,2907200,70.13
2011-06-22,72.94,73.98,72.86,73.20,2505200,70.94
2011-06-21,71.96,73.47,71.85,73.18,1867600,70.92
2011-06-20,70.24,72.00,70.24,71.61,2008300,69.40
2011-06-17,71.07,71.34,70.42,70.97,2444800,68.78
2011-06-16,71.12,71.33,69.67,70.21,2806900,68.04
2011-06-15,71.57,72.01,70.77,71.01,2687500,68.81
2011-06-14,71.41,72.60,71.34,72.11,2518300,69.88
2011-06-13,70.59,71.18,70.13,70.59,1642400,68.41
2011-06-10,71.26,71.57,70.28,70.37,2250300,68.19
2011-06-09,70.69,71.86,70.41,71.44,2058500,69.23
2011-06-08,71.05,71.07,70.35,70.53,2471800,68.35
2011-06-07,70.64,71.72,70.48,71.28,2435500,69.08
2011-06-06,70.50,71.32,70.23,70.37,2105200,68.19
2011-06-03,70.60,71.20,70.32,70.72,2149800,68.53
2011-06-02,70.93,72.18,70.89,71.62,2025700,69.40
2011-06-01,73.26,73.50,70.73,70.79,3156100,68.60
2011-05-31,73.12,73.47,72.41,73.31,2265200,71.04
2011-05-27,72.41,73.00,72.35,72.57,1602800,70.33
2011-05-26,71.33,72.11,70.96,72.01,2542100,69.78
2011-05-25,72.14,72.43,70.57,72.14,1840400,69.91
2011-05-24,71.83,72.03,70.87,71.18,1800600,68.98
2011-05-23,71.34,71.93,70.82,71.78,2075700,69.56
2011-05-20,72.48,72.69,71.77,72.26,1596200,70.03
2011-05-19,72.41,73.29,72.38,72.71,1738900,70.46
2011-05-18,70.74,72.24,70.32,72.11,1939100,69.88
2011-05-17,71.30,71.68,70.53,70.85,2683400,68.66
2011-05-16,71.39,72.16,71.25,71.37,1967700,69.16
2011-05-13,73.00,73.20,71.25,71.57,2369700,69.36
2011-05-12,73.01,73.31,72.16,72.98,1800000,70.72
2011-05-11,74.24,74.24,72.74,73.03,2416300,70.77
