Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,28.27,28.31,28.15,28.18,58700,28.03
2011-12-29,28.01,28.27,28.01,28.21,111800,28.06
2011-12-28,28.49,28.49,27.96,27.99,62800,27.84
2011-12-27,28.28,28.41,28.10,28.36,52000,28.21
2011-12-23,28.16,28.28,28.00,28.28,58200,28.13
2011-12-22,28.11,28.12,27.91,27.98,34100,27.83
2011-12-21,27.81,28.15,27.79,28.15,94600,28.00
2011-12-20,27.56,27.93,27.49,27.92,75900,27.77
2011-12-19,27.39,27.58,27.04,27.11,27700,26.96
2011-12-16,27.45,27.45,27.11,27.20,134700,27.05
2011-12-15,26.92,27.24,26.92,27.12,44700,26.91
2011-12-14,26.75,26.94,26.69,26.71,41900,26.50
2011-12-13,27.61,27.61,26.89,26.93,36400,26.72
2011-12-12,27.22,27.22,26.90,27.10,61100,26.89
2011-12-09,27.09,27.41,26.86,27.28,46200,27.07
2011-12-08,27.41,27.43,26.81,26.86,153500,26.65
2011-12-07,27.30,27.52,27.10,27.46,34400,27.25
2011-12-06,27.33,27.45,27.22,27.33,32300,27.12
2011-12-05,27.41,27.49,27.11,27.27,62000,27.06
2011-12-02,27.46,27.47,27.12,27.14,63800,26.93
2011-12-01,27.13,27.41,27.13,27.25,144800,27.04
2011-11-30,26.99,27.23,26.90,27.22,73500,27.01
2011-11-29,26.25,26.44,26.16,26.33,130200,26.13
2011-11-28,25.97,26.21,25.83,26.18,68200,25.98
2011-11-25,25.35,25.50,25.28,25.28,8100,25.08
2011-11-23,25.69,25.75,25.46,25.46,147700,25.26
2011-11-22,25.63,25.99,25.57,25.86,50400,25.66
2011-11-21,25.70,25.73,25.45,25.64,52100,25.44
2011-11-18,26.14,26.28,26.03,26.03,67900,25.83
2011-11-17,26.34,26.49,25.96,26.12,58200,25.92
2011-11-16,26.54,26.76,26.30,26.30,46500,26.10
2011-11-15,26.66,26.90,26.47,26.79,64400,26.58
2011-11-14,26.87,26.87,26.61,26.75,30200,26.54
2011-11-11,26.68,27.00,26.68,26.92,14000,26.71
2011-11-10,26.48,26.48,26.10,26.37,18600,26.17
2011-11-09,26.37,26.59,26.03,26.10,65200,25.90
2011-11-08,26.80,26.92,26.51,26.92,36900,26.71
2011-11-07,26.40,26.63,26.14,26.62,75100,26.41
2011-11-04,26.59,26.59,26.18,26.37,141500,26.17
2011-11-03,26.65,26.82,26.32,26.75,145200,26.54
2011-11-02,26.57,26.57,26.14,26.40,43700,26.20
2011-11-01,25.93,26.56,25.92,26.21,59600,26.01
2011-10-31,26.86,26.96,26.59,26.60,113300,26.39
2011-10-28,27.05,27.16,26.96,27.07,56700,26.86
2011-10-27,27.00,27.09,26.62,26.99,207600,26.78
2011-10-26,26.13,26.50,25.91,26.40,135800,26.20
2011-10-25,26.36,26.36,25.70,25.77,349400,25.57
2011-10-24,26.15,26.44,26.11,26.38,195700,26.18
2011-10-21,25.72,26.01,25.72,26.00,214300,25.80
2011-10-20,25.55,25.57,25.12,25.46,164500,25.26
2011-10-19,25.78,25.92,25.39,25.45,49800,25.25
2011-10-18,25.54,25.91,25.20,25.81,193900,25.61
2011-10-17,26.07,26.08,25.56,25.65,43900,25.45
