Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,105.76,106.60,105.41,105.94,1693000,104.30
2011-12-29,105.00,105.55,104.45,105.35,1207100,103.72
2011-12-28,105.69,105.99,104.12,104.47,1224000,102.85
2011-12-27,105.71,106.27,105.20,105.69,969500,104.06
2011-12-23,104.58,106.02,104.50,105.53,1554400,103.90
2011-12-22,103.08,105.03,102.85,104.22,2790900,102.61
2011-12-21,101.46,103.13,99.93,103.02,3598400,101.43
2011-12-20,100.35,101.66,100.04,101.20,2762400,99.63
2011-12-19,100.14,100.91,98.28,98.49,2794500,96.97
2011-12-16,99.79,101.05,99.23,99.88,4932400,98.34
2011-12-15,100.00,100.41,97.82,98.79,3172800,97.26
2011-12-14,98.94,99.84,98.29,98.62,3991500,97.09
2011-12-13,101.83,103.00,99.56,100.19,3034900,98.64
2011-12-12,100.78,101.54,99.79,100.60,1782300,99.04
2011-12-09,100.55,102.10,99.91,101.75,2576300,100.18
2011-12-08,102.22,102.22,100.01,100.37,3148800,98.82
2011-12-07,102.54,103.10,100.98,102.52,2288100,100.93
2011-12-06,105.08,105.16,101.39,102.84,3376400,101.25
2011-12-05,104.49,105.99,103.69,104.59,2441600,102.97
2011-12-02,104.00,104.78,102.39,102.69,2754000,101.10
2011-12-01,102.76,103.65,101.94,102.93,2975700,101.34
2011-11-30,102.43,103.56,101.69,103.41,3100000,101.81
2011-11-29,98.59,100.70,98.39,99.23,2223300,97.70
2011-11-28,97.79,98.97,97.46,98.53,2286800,97.01
2011-11-25,95.85,96.91,95.15,95.16,1271600,93.10
2011-11-23,97.12,97.46,95.53,96.00,2417300,93.92
2011-11-22,98.56,99.24,97.87,98.25,2413200,96.12
2011-11-21,100.69,101.07,97.50,98.41,3806500,96.28
2011-11-18,101.17,102.65,100.57,102.04,2475100,99.83
2011-11-17,101.54,102.14,99.64,100.92,2854800,98.73
2011-11-16,102.39,104.16,101.54,102.01,2409400,99.80
2011-11-15,102.47,104.03,101.19,103.38,2249800,101.14
2011-11-14,102.19,103.21,101.82,102.97,2473500,100.74
2011-11-11,101.66,103.17,101.60,102.88,1980300,100.65
2011-11-10,99.19,100.84,98.73,100.38,2094200,98.20
2011-11-09,99.84,100.17,97.74,98.36,3028500,96.23
2011-11-08,102.42,102.54,99.56,102.33,2510900,100.11
2011-11-07,100.80,103.09,99.61,101.68,2405900,99.48
2011-11-04,100.02,101.43,98.35,101.24,2474500,99.05
2011-11-03,100.59,101.82,99.01,101.49,2972200,99.29
2011-11-02,98.36,99.54,97.46,98.99,2387200,96.84
2011-11-01,96.17,99.05,95.04,96.83,3962200,94.73
2011-10-31,101.18,101.45,99.51,99.57,2496900,97.41
2011-10-28,102.05,102.96,101.52,102.02,3115600,99.81
2011-10-27,100.07,103.80,99.87,102.63,5176200,100.41
