Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,81.85,81.85,81.46,81.47,63000,81.47
2011-12-29,81.65,81.96,81.35,81.93,52100,81.93
2011-12-28,81.90,81.90,81.25,81.29,130100,81.29
2011-12-27,81.88,82.07,81.67,81.82,80700,81.82
2011-12-23,81.35,81.82,81.16,81.74,44500,81.74
2011-12-22,81.47,81.47,80.88,81.10,65500,81.10
2011-12-21,80.36,81.30,80.33,81.28,69200,81.28
2011-12-20,81.51,82.37,81.46,82.32,74200,80.43
2011-12-19,81.10,81.68,80.47,80.67,73900,78.81
2011-12-16,81.46,81.59,80.77,81.05,63000,79.19
2011-12-15,80.88,81.13,80.71,80.94,68900,79.08
2011-12-14,80.35,80.72,80.07,80.14,81400,78.30
2011-12-13,81.45,81.59,80.46,80.63,79500,78.77
2011-12-12,81.36,81.45,80.48,81.04,99500,79.18
2011-12-09,81.22,81.85,81.07,81.70,43200,79.82
2011-12-08,81.50,81.50,80.68,80.77,53200,78.91
2011-12-07,81.63,81.97,81.00,81.71,53000,79.83
2011-12-06,81.30,81.84,81.15,81.59,43400,79.71
2011-12-05,81.79,81.79,80.99,81.34,61500,79.47
2011-12-02,81.71,81.71,80.92,81.08,57200,79.21
2011-12-01,81.15,81.83,81.02,81.12,60900,79.25
2011-11-30,80.77,81.33,80.73,81.27,135400,79.40
2011-11-29,79.00,79.69,78.82,79.35,68700,77.52
2011-11-28,78.40,78.73,78.18,78.62,113100,76.81
2011-11-25,77.12,77.88,77.12,77.40,16500,75.62
2011-11-23,77.57,77.64,77.00,77.24,78700,75.46
2011-11-22,78.00,78.62,77.80,78.10,60700,76.30
2011-11-21,78.51,78.72,77.74,78.14,155100,76.34
2011-11-18,79.27,79.52,79.01,79.33,40600,77.50
2011-11-17,79.39,79.80,78.60,79.11,60700,77.29
2011-11-16,79.68,80.55,79.44,79.47,94800,77.64
2011-11-15,79.71,80.39,79.53,80.17,62700,78.33
2011-11-14,80.04,80.04,79.48,79.75,75600,77.92
2011-11-11,80.01,80.42,79.97,80.25,33300,78.40
2011-11-10,79.57,79.57,78.69,79.31,83200,77.49
2011-11-09,79.63,79.68,78.64,78.82,69200,77.01
2011-11-08,80.11,80.78,79.69,80.74,40500,78.88
2011-11-07,79.20,79.90,78.85,79.88,311100,78.04
2011-11-04,79.43,79.51,78.91,79.48,56000,77.65
2011-11-03,79.51,79.91,79.11,79.86,67300,78.02
2011-11-02,78.86,78.93,78.39,78.83,58500,77.02
2011-11-01,78.01,78.85,77.89,78.14,76100,76.34
2011-10-31,80.12,80.48,79.65,79.65,79200,77.82
2011-10-28,80.88,80.88,80.35,80.75,87700,78.89
2011-10-27,80.67,81.08,80.00,80.71,156000,78.85
2011-10-26,79.61,79.61,78.49,79.53,53900,77.70
2011-10-25,79.77,79.84,78.76,78.87,35200,77.06
2011-10-24,80.30,80.30,79.70,80.02,144300,78.18
2011-10-21,79.89,80.32,79.77,80.32,98700,78.47
2011-10-20,78.82,79.36,78.62,78.97,100300,77.15
2011-10-19,78.99,79.52,78.63,78.65,145300,76.84
2011-10-18,78.43,79.54,77.91,78.97,68300,77.15
2011-10-17,79.12,79.25,78.22,78.29,56400,76.49
2011-10-14,79.30,79.30,78.71,79.27,65000,77.45
2011-10-13,78.31,78.76,78.00,78.58,39000,76.77
2011-10-12,78.77,79.20,78.48,78.68,57400,76.87
2011-10-11,78.00,78.25,77.81,78.05,66800,76.25
2011-10-10,77.96,78.17,77.62,78.17,43300,76.37
2011-10-07,77.08,77.56,76.58,76.98,45300,75.21
2011-10-06,75.73,76.60,75.52,76.58,37700,74.82
2011-10-05,75.69,75.74,75.13,75.70,38000,73.96
2011-10-04,74.09,75.47,73.38,75.47,90400,73.73
2011-10-03,75.98,76.36,74.84,74.84,97400,73.12
2011-09-30,76.38,77.27,76.19,76.23,49100,74.48
2011-09-29,77.61,77.77,76.14,77.03,38400,75.26
2011-09-28,77.97,78.08,76.37,76.42,26300,74.66
2011-09-27,78.41,78.58,77.58,77.80,55400,76.01
2011-09-26,76.57,77.29,75.96,77.26,38400,75.48
2011-09-23,75.77,76.05,75.25,75.77,58400,74.03
2011-09-22,75.81,76.01,75.08,75.83,78800,74.09
2011-09-21,78.94,79.04,77.39,77.39,149400,75.61
2011-09-20,79.20,79.64,78.74,78.74,68900,76.93
