Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,52.96,53.27,52.38,52.50,300500,52.50
2011-12-29,52.88,53.38,52.68,53.14,264300,53.14
2011-12-28,54.38,54.94,52.71,52.77,230700,52.77
2011-12-27,54.31,55.31,54.31,54.67,291500,54.67
2011-12-23,54.56,55.07,54.36,54.75,193000,54.75
2011-12-22,54.27,55.04,54.03,54.50,284500,54.50
2011-12-21,53.60,54.21,53.00,53.86,559600,53.86
2011-12-20,52.81,54.36,51.88,54.22,522600,54.22
2011-12-19,52.01,53.40,51.57,51.74,506500,51.74
2011-12-16,51.78,52.89,51.32,51.61,807300,51.61
2011-12-15,51.93,52.14,50.57,51.60,634300,51.60
2011-12-14,52.70,53.00,51.13,51.24,706900,51.24
2011-12-13,55.58,56.14,52.88,53.19,540700,53.19
2011-12-12,55.24,55.75,54.50,55.10,729700,55.10
2011-12-09,55.16,56.59,54.66,56.18,634700,56.18
2011-12-08,55.93,56.45,54.85,54.96,742100,54.96
2011-12-07,56.42,56.47,55.50,56.06,744700,56.06
2011-12-06,57.61,57.61,56.32,56.91,550600,56.91
2011-12-05,58.73,58.83,57.10,57.46,707800,57.46
2011-12-02,58.44,58.66,57.22,57.84,514500,57.84
2011-12-01,58.19,59.05,57.59,57.65,612100,57.65
2011-11-30,58.98,58.98,57.03,58.45,953200,58.45
2011-11-29,56.49,57.28,56.18,56.70,441000,56.70
2011-11-28,54.71,56.82,54.31,56.55,650400,56.55
2011-11-25,53.11,54.15,52.61,52.61,138600,52.61
2011-11-23,54.58,54.58,53.28,53.37,538800,53.37
2011-11-22,53.89,55.60,53.68,55.06,813800,55.06
2011-11-21,53.16,54.43,53.16,54.10,370600,54.10
2011-11-18,53.60,54.42,52.95,54.31,269600,54.31
2011-11-17,53.89,55.28,53.12,53.56,425500,53.56
2011-11-16,55.09,55.43,53.70,53.86,298900,53.86
2011-11-15,55.50,56.30,54.19,55.92,359700,55.92
2011-11-14,54.89,55.90,54.58,55.60,472400,55.60
2011-11-11,54.59,55.41,54.49,54.99,496000,54.99
2011-11-10,54.20,54.21,52.82,53.85,671600,53.85
2011-11-09,53.26,54.25,53.13,53.36,777800,53.36
2011-11-08,55.86,56.24,53.35,54.90,801700,54.90
2011-11-07,54.55,55.64,53.38,55.45,619800,55.45
2011-11-04,53.31,55.20,53.15,54.89,448500,54.89
2011-11-03,53.35,54.10,51.91,53.79,1279600,53.79
2011-11-02,50.13,53.68,49.50,52.94,1873800,52.94
2011-11-01,47.06,48.40,46.38,47.63,695000,47.63
2011-10-31,49.42,49.99,48.99,49.01,648100,49.01
2011-10-28,49.54,50.48,49.34,49.39,570700,49.39
2011-10-27,50.08,50.30,48.90,49.70,698700,49.70
2011-10-26,47.61,48.75,46.41,48.28,641600,48.28
2011-10-25,45.16,47.50,44.75,46.84,774200,46.84
2011-10-24,44.36,45.99,44.20,45.79,704400,45.79
2011-10-21,41.29,42.32,41.13,42.09,313500,42.09
2011-10-20,40.39,40.81,39.34,40.53,289600,40.53
2011-10-19,41.06,42.05,40.03,40.20,474400,40.20
2011-10-18,39.52,41.50,38.39,41.23,655700,41.23
2011-10-17,41.71,41.71,39.46,39.64,423200,39.64
2011-10-14,40.93,41.88,40.58,41.75,269900,41.75
2011-10-13,40.24,40.41,39.38,40.15,430000,40.15
2011-10-12,40.84,41.67,40.25,40.45,467300,40.45
2011-10-11,39.77,40.52,39.50,40.23,321100,40.23
2011-10-10,39.39,40.55,39.10,40.26,389700,40.26
2011-10-07,39.15,39.25,37.90,38.39,503800,38.39
2011-10-06,37.57,39.03,37.43,38.99,447800,38.99
2011-10-05,35.65,38.18,35.19,37.61,848800,37.61
2011-10-04,35.02,35.60,33.29,35.45,975200,35.45
2011-10-03,37.63,38.11,35.13,35.46,796600,35.46
2011-09-30,38.21,39.62,37.90,37.98,540500,37.98
2011-09-29,40.34,40.35,37.52,38.89,542200,38.89
2011-09-28,42.23,42.43,39.26,39.27,608900,39.27
2011-09-27,41.28,43.13,40.63,42.16,762000,42.16
2011-09-26,40.98,40.98,38.95,40.28,746700,40.28
2011-09-23,38.30,40.36,37.93,40.27,847300,40.27
2011-09-22,39.18,40.80,37.95,38.47,1067200,38.47
2011-09-21,43.34,43.67,40.79,40.86,604900,40.86
2011-09-20,44.88,45.45,43.29,43.31,482400,43.31
2011-09-19,44.19,45.00,43.68,44.60,564000,44.60
2011-09-16,43.86,45.24,42.50,45.23,991300,45.23
2011-09-15,44.26,44.34,42.50,44.31,580600,44.31
2011-09-14,43.36,44.75,41.57,43.80,950000,43.80
2011-09-13,42.87,43.50,41.83,42.91,755200,42.91
2011-09-12,41.12,42.55,40.95,42.48,701000,42.48
2011-09-09,43.68,44.31,42.08,42.41,543200,42.41
2011-09-08,45.44,46.02,43.96,44.16,739000,44.16
2011-09-07,44.93,46.42,44.67,45.91,482900,45.91
2011-09-06,41.63,44.08,41.30,43.95,501500,43.95
2011-09-02,43.43,45.11,43.25,43.43,564200,43.43
2011-09-01,46.23,47.61,44.50,44.67,749500,44.67
2011-08-31,46.72,47.69,45.35,45.83,461600,45.83
2011-08-30,46.03,46.91,44.98,46.55,480600,46.55
2011-08-29,44.62,46.07,44.28,46.03,496100,46.03
2011-08-26,41.56,44.03,40.54,43.98,437600,43.98
2011-08-25,43.87,44.39,41.86,42.01,458200,42.01
2011-08-24,42.93,43.91,42.20,43.52,394400,43.52
2011-08-23,40.33,43.05,39.62,43.03,845600,43.03
2011-08-22,41.32,41.88,39.58,40.08,719600,40.08
2011-08-19,40.19,42.19,39.89,40.49,639700,40.49
2011-08-18,41.78,41.78,40.19,41.32,950000,41.32
2011-08-17,43.56,44.05,42.68,43.42,432800,43.42
2011-08-16,43.25,43.78,42.63,43.23,535000,43.23
2011-08-15,43.37,44.29,42.96,43.93,691500,43.93
2011-08-12,42.45,43.31,41.84,42.67,612800,42.67
2011-08-11,39.86,42.70,39.86,41.98,1258000,41.98
2011-08-10,38.91,41.17,37.88,39.55,2138400,39.55
2011-08-09,36.38,40.51,35.89,40.22,2468700,40.22
2011-08-08,37.26,38.85,35.27,35.28,2258300,35.28
2011-08-05,39.67,40.29,37.40,38.65,1753400,38.65
2011-08-04,41.62,41.70,38.84,38.88,1565700,38.88
2011-08-03,43.56,43.56,39.28,42.48,2183000,42.48
2011-08-02,41.69,43.10,40.38,40.50,1537000,40.50
2011-08-01,44.48,45.47,40.43,42.10,2118300,42.10
2011-07-29,43.87,44.76,38.51,43.85,3212600,43.85
2011-07-28,47.89,49.56,47.09,47.89,705300,47.89
2011-07-27,50.76,51.30,47.68,47.87,766500,47.87
2011-07-26,52.45,52.96,50.83,51.08,702100,51.08
2011-07-25,54.61,55.20,52.30,52.45,720400,52.45
2011-07-22,54.48,55.40,54.07,55.31,716400,55.31
2011-07-21,53.37,55.65,53.20,54.50,972700,54.50
2011-07-20,52.70,53.20,51.58,53.07,405200,53.07
2011-07-19,51.97,52.72,51.62,52.55,360500,52.55
2011-07-18,52.43,52.71,50.65,51.65,526600,51.65
2011-07-15,53.05,53.48,52.20,52.73,361100,52.73
