Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,378.00,393.96,375.59,376.81,30000,366.96
2011-12-29,372.60,381.63,372.31,379.50,13900,369.58
2011-12-28,382.00,382.00,371.63,372.27,20800,362.53
2011-12-27,379.40,381.40,375.92,380.30,8900,370.35
2011-12-23,376.00,382.43,376.00,380.96,15400,371.00
2011-12-22,366.00,377.66,363.51,374.29,28200,364.50
2011-12-21,362.95,366.22,353.89,365.41,24600,355.85
2011-12-20,351.01,363.87,351.01,361.26,12900,351.81
2011-12-19,356.20,356.20,348.06,350.53,18600,341.36
2011-12-16,354.05,363.40,350.00,353.79,35700,344.54
2011-12-15,355.00,358.91,352.45,353.85,14600,344.60
2011-12-14,353.77,355.66,350.00,352.05,25500,342.84
2011-12-13,357.00,359.47,348.92,352.82,43600,343.59
2011-12-12,344.84,356.16,341.39,355.15,32800,345.86
2011-12-09,335.00,350.36,333.67,345.00,72000,335.98
2011-12-08,366.18,366.18,333.27,335.29,48600,326.52
2011-12-07,345.75,348.08,341.98,346.20,36200,337.15
2011-12-06,353.40,357.30,346.37,347.34,44200,338.26
2011-12-05,369.63,376.70,347.68,350.34,50100,341.18
2011-12-02,361.11,369.74,357.17,366.71,33800,357.12
2011-12-01,360.40,366.32,355.14,358.79,42300,349.41
2011-11-30,358.90,358.91,349.95,358.91,56000,349.52
2011-11-29,345.68,349.97,343.30,348.00,55900,338.90
2011-11-28,347.21,350.85,343.00,344.04,36000,335.04
2011-11-25,333.73,349.37,330.00,343.76,32500,334.77
2011-11-23,340.75,344.00,335.00,336.19,39700,327.40
2011-11-22,344.22,349.04,342.66,343.19,27800,334.22
2011-11-21,343.40,349.82,341.28,345.15,34600,336.12
2011-11-18,351.80,352.03,347.27,348.32,29900,339.21
2011-11-17,354.00,356.70,348.57,349.56,36200,340.42
2011-11-16,341.19,358.72,341.19,354.75,44600,345.47
2011-11-15,343.00,347.37,342.01,345.41,32900,336.38
2011-11-14,340.00,344.80,338.05,340.67,21800,331.76
2011-11-11,338.00,344.25,336.26,342.82,12200,333.85
2011-11-10,336.84,340.64,333.39,335.14,33600,326.38
2011-11-09,337.50,338.53,331.45,334.18,33200,325.44
2011-11-08,340.81,345.63,335.33,344.10,36200,335.10
2011-11-07,329.52,342.38,325.68,339.60,25300,330.72
2011-11-04,335.30,335.30,323.29,329.61,22700,320.99
2011-11-03,331.90,336.91,324.89,335.70,32000,326.92
2011-11-02,338.51,338.96,322.50,329.79,47700,321.17
2011-11-01,339.33,342.80,332.06,334.55,29200,325.80
2011-10-31,356.45,356.45,338.88,340.16,37800,331.26
2011-10-28,358.90,361.36,354.71,361.10,27800,351.66
2011-10-27,361.45,365.55,354.88,356.14,32600,346.83
2011-10-26,353.00,357.46,348.12,350.21,47200,341.05
2011-10-25,348.95,352.00,343.42,345.22,23800,336.19
2011-10-24,346.43,351.95,342.97,349.84,31700,340.69
2011-10-21,342.87,348.04,338.65,346.14,36100,337.09
2011-10-20,336.54,342.00,327.13,337.18,47300,328.36
2011-10-19,348.98,349.63,335.83,339.12,41200,327.96
2011-10-18,339.94,346.70,329.60,346.54,34700,335.14
2011-10-17,348.88,348.88,335.00,340.03,30100,328.84
2011-10-14,352.00,354.50,345.00,348.46,28000,337.00
2011-10-13,344.35,348.72,341.99,347.84,27700,336.40
2011-10-12,344.00,351.82,342.30,345.56,33900,334.19
2011-10-11,344.27,346.29,337.74,339.36,39100,328.20
2011-10-10,335.25,344.00,333.06,344.00,37300,332.68
2011-10-07,330.00,334.85,324.33,330.33,32000,319.46
2011-10-06,319.75,329.38,318.02,328.99,30000,318.17
2011-10-05,322.50,327.94,318.43,321.69,42900,311.11
2011-10-04,308.95,320.30,308.50,320.00,39100,309.47
2011-10-03,324.09,325.82,311.82,313.75,46600,303.43
2011-09-30,322.74,331.88,318.64,326.97,58800,316.21
2011-09-29,321.00,326.47,318.00,323.84,49400,313.19
2011-09-28,322.50,325.79,313.31,315.14,30400,304.77
2011-09-27,328.28,334.13,317.06,320.78,44100,310.23
2011-09-26,327.81,327.81,315.50,323.81,35100,313.16
2011-09-23,311.54,329.86,311.54,325.92,60700,315.20
2011-09-22,311.21,316.91,309.42,313.00,47100,302.70
2011-09-21,333.03,334.18,316.65,318.50,28000,308.02
2011-09-20,341.04,344.92,334.40,334.40,34500,323.40
2011-09-19,339.93,343.85,331.71,337.93,57400,326.81
2011-09-16,347.99,351.65,342.49,343.25,69000,331.96
2011-09-15,346.98,349.08,342.25,343.29,42800,332.00
2011-09-14,341.59,349.18,337.49,343.05,76400,331.76
2011-09-13,331.12,345.78,329.32,341.49,75700,330.26
2011-09-12,323.43,331.75,322.15,329.32,86500,318.49
2011-09-09,315.03,332.32,315.03,330.00,76900,319.14
2011-09-08,320.01,329.58,316.81,326.73,80800,315.98
2011-09-07,322.02,328.32,318.08,326.05,89000,315.32
2011-09-06,309.63,318.65,309.63,316.14,72300,305.74
2011-09-02,329.99,329.99,320.00,320.88,59400,310.32
2011-09-01,352.00,352.00,334.08,335.35,48300,324.32
2011-08-31,356.15,361.54,350.03,355.76,54500,344.06
2011-08-30,353.40,355.95,350.70,354.12,39600,342.47
2011-08-29,340.00,354.12,340.00,353.50,37000,341.87
2011-08-26,337.18,342.29,330.02,336.65,34500,325.57
2011-08-25,347.28,347.28,335.60,337.51,18800,326.41
2011-08-24,337.29,346.37,333.40,345.10,29200,333.75
2011-08-23,335.61,341.08,334.27,338.65,34900,327.51
2011-08-22,340.00,342.39,331.74,335.36,20900,324.33
2011-08-19,332.27,345.99,332.27,338.51,44900,327.37
2011-08-18,353.97,353.97,332.02,333.73,45600,322.75
2011-08-17,367.38,371.25,357.85,359.11,21700,347.30
2011-08-16,360.99,369.74,357.47,368.29,31700,356.17
2011-08-15,366.85,366.85,350.97,361.11,62800,349.23
2011-08-12,364.00,364.00,353.40,357.04,23200,345.29
2011-08-11,353.96,366.16,349.01,365.19,28200,353.18
2011-08-10,346.06,361.83,346.01,350.00,52400,338.49
