Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,81.24,81.31,80.46,80.51,343800,53.22
2011-12-29,80.74,81.26,80.63,81.02,224700,53.56
2011-12-28,81.98,81.98,80.70,80.81,147200,53.42
2011-12-27,80.97,82.04,80.74,81.85,263400,54.11
2011-12-23,79.92,80.87,79.73,80.54,155700,53.24
2011-12-22,79.99,80.19,79.29,79.78,228200,52.74
2011-12-21,79.16,79.94,78.79,79.92,361200,52.83
2011-12-20,78.86,79.71,78.44,79.07,357800,52.27
2011-12-19,77.89,78.77,77.30,77.50,256400,51.23
2011-12-16,79.05,79.19,77.36,77.73,699200,51.38
2011-12-15,78.25,78.81,77.70,78.65,287400,51.99
2011-12-14,77.43,77.86,76.99,77.53,400400,51.25
2011-12-13,79.31,79.31,77.08,77.46,528600,51.21
2011-12-12,80.34,80.50,77.92,78.71,469800,52.03
2011-12-09,80.44,80.87,79.86,80.63,449800,53.30
2011-12-08,80.75,81.29,79.38,80.07,509100,52.93
2011-12-07,80.75,81.43,79.98,80.74,2151400,53.37
2011-12-06,80.62,81.46,80.27,80.88,544200,53.47
2011-12-05,79.82,81.50,79.09,80.57,639200,53.26
2011-12-02,78.53,78.71,77.25,78.43,682800,51.85
2011-12-01,79.71,79.92,78.28,79.56,680400,52.36
2011-11-30,78.63,79.81,78.50,79.81,607000,52.53
2011-11-29,76.60,77.65,76.35,76.77,376800,50.53
2011-11-28,75.49,76.75,75.49,76.66,419700,50.45
2011-11-25,74.13,74.46,73.31,73.86,211000,48.61
2011-11-23,74.05,74.35,73.28,73.90,554200,48.64
2011-11-22,74.50,74.89,74.19,74.68,398000,49.15
2011-11-21,74.06,74.90,73.88,74.43,463000,48.99
2011-11-18,75.00,75.47,74.69,75.01,351900,49.37
2011-11-17,75.08,75.33,74.01,74.54,248400,49.06
2011-11-16,76.03,76.27,75.23,75.45,410800,49.66
2011-11-15,75.09,76.64,75.05,76.45,180200,50.32
2011-11-14,76.21,76.21,75.00,75.50,156600,49.69
2011-11-11,75.07,76.27,74.74,76.19,206400,50.14
2011-11-10,74.23,74.32,73.18,74.04,202500,48.73
2011-11-09,74.34,74.73,73.02,73.14,265200,48.14
2011-11-08,74.78,76.00,74.65,75.96,295000,49.99
2011-11-07,74.98,75.18,73.67,74.73,188400,49.18
2011-11-04,74.24,74.98,73.50,74.57,298200,49.08
2011-11-03,74.16,75.27,73.52,75.19,202000,49.49
2011-11-02,73.27,73.93,72.73,73.76,181400,48.55
2011-11-01,72.76,74.13,72.66,72.80,310800,47.91
2011-10-31,75.58,76.11,74.62,74.73,292000,49.18
2011-10-28,76.19,77.06,75.49,76.00,334800,50.02
2011-10-27,76.63,77.56,75.31,76.30,451500,50.22
2011-10-26,73.72,75.34,73.70,75.20,281000,49.49
2011-10-25,75.60,75.60,73.45,73.59,336900,48.43
2011-10-24,76.87,76.87,74.99,75.59,371400,49.75
2011-10-21,75.27,76.69,74.88,76.34,406000,50.24
2011-10-20,74.85,75.04,73.69,74.22,320400,48.85
2011-10-19,74.11,75.43,73.76,74.57,395400,49.08
2011-10-18,71.88,74.62,71.88,74.02,338000,48.72
2011-10-17,73.72,73.92,71.87,72.04,315800,47.41
2011-10-14,73.90,74.22,73.40,74.12,258900,48.78
2011-10-13,72.80,73.34,72.54,73.04,271000,48.07
2011-10-12,74.00,74.28,72.82,72.92,399000,47.99
