Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,57.28,57.39,56.19,56.19,3500,56.19
2011-12-29,57.26,58.29,57.26,57.56,3500,57.56
2011-12-28,56.27,57.34,56.27,57.34,15500,57.34
2011-12-27,56.04,56.27,55.51,55.71,5700,55.71
2011-12-23,56.16,56.22,56.15,56.15,6200,56.15
2011-12-22,57.09,57.09,56.58,56.58,2100,56.58
2011-12-21,57.89,58.60,57.35,57.50,2600,57.50
2011-12-20,57.87,58.30,57.71,57.71,4700,57.71
2011-12-19,59.86,60.29,59.41,59.86,5100,59.86
2011-12-16,60.24,60.47,59.97,60.39,1000,60.39
2011-12-15,59.75,61.11,59.19,60.75,10800,60.75
2011-12-14,58.63,61.65,58.51,61.00,9200,61.00
2011-12-13,57.22,57.22,55.62,55.62,2300,55.62
2011-12-12,56.91,57.77,56.73,56.81,5400,56.81
2011-12-09,55.10,56.33,55.10,56.33,2400,56.33
2011-12-08,54.24,55.53,53.87,55.53,2700,55.53
2011-12-07,53.81,54.33,53.80,54.33,2600,54.33
2011-12-06,54.00,54.71,53.30,53.59,13200,53.59
2011-12-05,51.91,52.61,51.91,52.61,3400,52.61
2011-12-02,53.49,53.49,52.36,52.77,700,52.77
2011-12-01,52.77,53.64,52.77,53.12,4000,53.12
2011-11-30,52.61,53.19,52.07,52.77,27000,52.77
2011-11-29,54.30,54.30,54.12,54.12,1200,54.12
2011-11-28,55.00,55.99,54.31,55.76,2100,55.76
2011-11-25,56.49,56.49,56.00,56.04,2800,56.04
2011-11-23,57.02,57.34,55.63,56.21,4500,56.21
2011-11-22,55.65,55.65,54.71,54.71,25900,54.71
2011-11-21,54.78,56.41,54.78,55.58,4400,55.58
2011-11-18,53.17,54.67,53.17,54.19,18700,54.19
2011-11-17,52.03,53.00,52.03,53.00,5000,53.00
2011-11-16,51.72,52.42,50.78,51.16,2000,51.16
2011-11-15,51.08,51.11,51.08,51.11,200,51.11
2011-11-14,51.40,51.80,51.40,51.80,400,51.80
2011-11-11,51.39,51.39,51.11,51.13,600,51.13
2011-11-10,51.30,52.93,51.30,51.75,19800,51.75
2011-11-09,51.89,52.34,51.61,51.93,1000,51.93
2011-11-08,48.89,50.87,48.89,49.99,10200,49.99
2011-11-07,51.50,51.50,51.50,51.50,3500,51.50
2011-11-04,50.68,51.44,50.61,51.44,700,51.44
2011-11-03,51.02,51.02,50.67,50.70,1900,50.70
2011-11-02,52.45,52.92,51.14,52.75,2500,52.75
2011-11-01,53.99,54.23,52.99,53.12,11100,53.12
2011-10-31,51.66,51.71,51.13,51.48,6400,51.48
2011-10-28,50.41,50.41,50.41,50.41,000,50.41
2011-10-27,50.38,51.51,49.99,50.41,1600,50.41
2011-10-26,49.98,53.17,49.98,52.86,5900,52.86
