Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,55.94,56.18,55.25,55.26,1004400,53.11
2011-12-29,55.53,56.34,55.48,56.00,930500,53.82
2011-12-28,56.19,56.47,55.23,55.53,1205900,53.37
2011-12-27,56.45,56.90,55.91,56.24,773400,54.05
2011-12-23,56.38,56.99,56.06,56.67,804600,54.46
2011-12-22,56.21,56.46,55.64,56.32,799800,54.13
2011-12-21,55.75,56.11,54.91,56.03,1412400,53.85
2011-12-20,54.20,55.92,54.14,55.75,3569400,53.58
2011-12-19,54.33,54.49,52.98,53.12,1530300,51.05
2011-12-16,54.83,55.35,53.71,54.29,2049600,52.17
2011-12-15,56.32,56.59,54.54,54.63,1473000,52.50
2011-12-14,56.40,56.92,55.41,55.65,1880800,53.48
2011-12-13,57.75,58.53,56.56,56.97,1269700,54.75
2011-12-12,58.15,58.26,56.93,57.48,1201100,55.24
2011-12-09,57.82,59.24,57.80,59.03,1536800,56.73
2011-12-08,59.47,60.12,57.80,57.97,1494800,55.71
2011-12-07,60.97,61.01,59.93,60.41,1343200,58.06
2011-12-06,61.29,61.75,60.93,61.28,1229800,58.89
2011-12-05,61.16,61.75,60.64,61.16,1616400,58.78
2011-12-02,60.97,61.25,60.03,60.17,1484700,57.83
2011-12-01,60.14,60.62,59.94,60.33,1281300,57.98
2011-11-30,60.27,60.72,59.75,60.15,3428400,57.81
2011-11-29,58.41,59.69,58.30,58.49,2778600,56.21
2011-11-28,60.17,60.67,58.71,59.07,2207800,56.77
2011-11-25,58.34,59.07,58.00,58.05,443200,55.79
2011-11-23,59.60,60.04,58.50,58.56,1656400,56.28
2011-11-22,60.78,61.60,59.91,60.48,1306400,58.12
2011-11-21,61.64,61.76,60.75,61.05,1987500,58.67
2011-11-18,63.18,63.44,62.08,62.79,1384000,60.34
2011-11-17,63.92,64.40,62.11,62.74,1430700,60.30
2011-11-16,63.22,65.66,63.22,64.10,1544800,61.60
2011-11-15,64.22,64.92,63.77,64.61,1192800,62.09
2011-11-14,64.92,65.32,63.78,64.45,954800,61.94
2011-11-11,65.60,66.16,65.00,65.39,1001200,62.84
2011-11-10,64.95,65.43,63.37,64.70,1353300,62.18
2011-11-09,64.95,65.14,63.63,64.05,1813500,61.55
2011-11-08,65.65,66.74,65.07,66.51,1332900,63.92
2011-11-07,66.46,66.73,64.14,65.22,1636000,62.68
2011-11-04,65.34,66.30,64.43,65.59,1636200,63.03
2011-11-03,64.53,65.88,63.28,65.76,2331200,63.20
2011-11-02,65.30,65.87,63.31,64.36,1847300,61.85
2011-11-01,63.45,64.68,62.86,63.42,2343800,60.95
2011-10-31,67.37,67.63,65.47,65.54,1656200,62.99
2011-10-28,68.18,68.68,66.89,68.51,1734500,65.84
2011-10-27,67.44,70.16,67.12,69.25,4126900,65.71
2011-10-26,65.29,65.48,63.68,65.14,1917500,61.81
2011-10-25,64.63,64.88,63.20,64.15,2692600,60.87
2011-10-24,62.97,64.93,62.89,64.57,1721900,61.27
2011-10-21,62.42,64.56,61.82,62.82,2718800,59.61
2011-10-20,62.28,62.28,59.02,61.72,3528900,58.57
2011-10-19,60.67,61.62,59.54,59.75,1709300,56.70
2011-10-18,58.36,60.92,57.71,60.61,1762300,57.51
2011-10-17,59.87,60.23,58.30,58.46,2000800,55.47
2011-10-14,59.55,60.41,58.93,60.15,1313500,57.08
2011-10-13,58.13,58.72,57.34,58.51,1883900,55.52
2011-10-12,58.74,59.97,58.48,58.53,1444200,55.54
2011-10-11,57.76,58.92,57.56,58.37,1827500,55.39
2011-10-10,57.20,58.65,57.20,58.25,1416000,55.27
2011-10-07,57.04,57.08,55.21,55.92,1397500,53.06
2011-10-06,55.07,56.97,54.56,56.60,2129300,53.71
2011-10-05,54.28,55.68,53.31,55.40,2592100,52.57
2011-10-04,51.89,54.07,51.16,53.97,2400000,51.21
2011-10-03,54.31,55.01,52.90,52.90,1935400,50.20
2011-09-30,55.74,56.59,54.70,54.74,1915800,51.94
2011-09-29,57.38,57.38,55.63,56.80,2047500,53.90
2011-09-28,58.67,59.60,56.02,56.14,1748100,53.27
2011-09-27,59.98,60.77,58.20,58.65,1997400,55.65
2011-09-26,58.14,59.63,56.57,59.48,2764500,56.44
2011-09-23,56.89,59.16,56.56,57.66,2588400,54.71
2011-09-22,58.10,58.38,56.42,57.38,3647900,54.45
2011-09-21,61.93,62.58,60.12,60.22,1624700,57.14
2011-09-20,63.29,63.91,62.03,62.14,1425600,58.96
2011-09-19,61.86,63.41,61.12,62.93,2292600,59.71
2011-09-16,64.21,64.48,62.79,63.31,1931700,60.07
2011-09-15,63.92,64.48,63.26,63.85,1519900,60.59
2011-09-14,62.75,63.75,61.59,63.11,1554900,59.88
2011-09-13,62.29,62.75,61.12,62.32,2034700,59.14
2011-09-12,60.44,62.01,60.04,61.89,1444100,58.73
2011-09-09,62.43,63.04,60.84,61.66,1970400,58.51
2011-09-08,63.11,64.75,62.82,63.45,1654900,60.21
2011-09-07,62.32,63.65,61.80,63.59,1555300,60.34
2011-09-06,59.67,61.32,59.22,61.27,1288100,58.14
2011-09-02,62.22,62.27,61.11,61.57,1509300,58.42
2011-09-01,63.92,64.63,63.13,63.32,1658900,60.08
2011-08-31,64.67,65.42,63.48,63.73,1894500,60.47
2011-08-30,62.90,64.59,62.54,64.07,2363600,60.80
2011-08-29,62.26,64.33,61.92,64.24,2235300,60.96
2011-08-26,59.38,61.68,58.90,61.49,1564900,58.35
2011-08-25,60.43,60.70,58.68,59.78,1607300,56.73
2011-08-24,60.09,60.46,58.90,59.93,1375200,56.87
2011-08-23,58.97,60.23,58.25,60.17,1569300,57.10
2011-08-22,60.27,60.32,57.92,58.46,2845600,55.47
2011-08-19,57.97,60.24,57.70,58.53,2391100,55.54
2011-08-18,60.00,60.47,58.20,58.81,2839700,55.80
2011-08-17,62.85,63.41,61.94,62.30,1717900,59.12
2011-08-16,61.98,62.86,61.62,62.31,1786200,59.13
2011-08-15,62.53,63.99,62.47,63.00,2462100,59.78
2011-08-12,61.97,62.66,61.03,61.81,1734200,58.65
2011-08-11,59.09,62.31,58.23,61.46,2240300,58.32
2011-08-10,59.28,60.92,58.50,58.64,2833700,55.64
2011-08-09,57.54,60.55,56.40,60.42,4819800,57.33
2011-08-08,60.01,61.00,56.68,56.68,5016600,53.78
2011-08-05,61.34,62.73,58.57,62.24,5869300,59.06
2011-08-04,64.52,64.53,60.46,60.62,3864400,57.52
2011-08-03,65.63,65.77,64.28,65.61,2756600,62.26
2011-08-02,66.71,67.35,65.61,65.63,2640900,62.28
2011-08-01,68.95,69.17,66.81,67.27,1729200,63.83
2011-07-29,66.81,68.45,66.70,67.83,2154900,64.36
2011-07-28,68.46,69.22,67.75,67.82,1935800,64.35
2011-07-27,69.56,69.94,68.52,69.22,2388300,64.85
2011-07-26,70.04,70.48,69.19,69.80,1714700,65.40
2011-07-25,70.03,70.79,69.82,70.00,1206500,65.58
2011-07-22,70.21,71.11,70.18,70.79,2243900,66.32
2011-07-21,72.63,72.63,68.93,70.21,4902200,65.78
2011-07-20,72.72,73.15,71.52,72.73,2537100,68.14
2011-07-19,70.77,72.35,70.64,72.31,1646400,67.75
2011-07-18,70.12,70.72,69.55,70.17,2042500,65.74
2011-07-15,68.75,70.46,68.75,70.46,1862000,66.01
2011-07-14,69.92,70.22,67.90,68.07,2232500,63.78
2011-07-13,69.25,70.72,69.16,69.47,1232600,65.09
2011-07-12,68.51,69.54,68.39,68.95,1335700,64.60
2011-07-11,69.70,69.93,68.78,68.94,1144400,64.59
2011-07-08,69.92,70.86,69.85,70.71,1238400,66.25
2011-07-07,71.38,71.54,70.10,70.88,1337000,66.41
2011-07-06,71.38,71.49,70.16,70.63,1432000,66.17
2011-07-05,70.51,72.15,70.45,71.52,2082800,67.01
2011-07-01,70.17,70.77,69.55,70.34,1252300,65.90
