Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,26.39,26.62,26.39,26.57,3874800,26.56
2011-12-29,26.27,26.45,26.15,26.45,5186100,26.44
2011-12-28,26.40,26.44,26.12,26.25,8432800,26.24
2011-12-27,26.16,26.47,26.15,26.37,3198700,26.36
2011-12-23,25.90,26.24,25.88,26.20,3968800,26.19
2011-12-22,25.82,25.94,25.75,25.89,4985500,25.88
2011-12-21,25.50,25.81,25.37,25.79,7483800,25.78
2011-12-20,25.28,25.55,25.20,25.55,7446100,25.54
2011-12-19,24.97,25.25,24.89,25.13,11222300,25.12
2011-12-16,24.88,25.00,24.73,24.98,10378600,24.97
2011-12-15,24.97,25.00,24.65,24.73,8625000,24.72
2011-12-14,24.80,24.98,24.80,24.87,8150300,24.86
2011-12-13,24.76,24.99,24.74,24.86,11472300,24.85
2011-12-12,24.81,24.85,24.63,24.71,7749700,24.70
2011-12-09,24.85,25.00,24.80,24.87,8723900,24.86
2011-12-08,24.99,25.01,24.65,24.80,13195800,24.79
2011-12-07,25.07,25.18,24.85,25.02,8520900,25.01
2011-12-06,25.32,25.36,25.11,25.13,9347200,25.12
2011-12-05,25.45,25.50,25.05,25.30,13633000,25.29
2011-12-02,25.18,25.50,25.15,25.29,11365300,25.28
2011-12-01,25.08,25.28,25.00,25.04,10216000,25.03
2011-11-30,25.53,25.70,25.01,25.01,24994900,25.00
2011-11-29,24.99,25.33,24.97,25.21,9917700,25.19
2011-11-28,24.98,25.28,24.93,24.99,11038500,24.97
2011-11-25,24.42,24.99,24.41,24.84,4071900,24.82
2011-11-23,24.79,24.88,24.54,24.54,10325600,24.52
2011-11-22,24.78,25.03,24.78,24.90,9749800,24.88
2011-11-21,24.69,25.03,24.65,24.83,8512200,24.81
2011-11-18,24.99,25.14,24.70,24.80,12064900,24.78
2011-11-17,24.68,24.98,24.60,24.91,17737600,24.89
2011-11-16,24.79,24.88,24.65,24.71,16610000,24.69
2011-11-15,24.70,24.95,24.70,24.85,15779200,24.83
2011-11-14,24.70,24.86,24.57,24.78,13039800,24.76
2011-11-11,24.91,25.13,24.71,24.79,9372000,24.77
2011-11-10,24.76,24.82,24.51,24.73,9624200,24.71
2011-11-09,24.84,25.16,24.51,24.55,16220200,24.53
2011-11-08,25.00,25.15,24.84,25.12,9993700,25.10
2011-11-07,24.94,25.06,24.66,24.89,9881600,24.87
2011-11-04,24.78,25.07,24.72,24.96,11688800,24.94
2011-11-03,24.96,25.00,24.65,24.88,13971700,24.86
2011-11-02,24.87,25.02,24.60,24.81,14170900,24.79
2011-11-01,24.50,25.03,24.50,24.62,14892600,24.60
2011-10-31,25.18,25.37,24.99,25.01,14567200,24.99
2011-10-28,25.29,25.56,25.19,25.44,12289200,25.42
2011-10-27,25.66,25.73,25.33,25.61,21703500,25.59
2011-10-26,25.52,25.67,25.35,25.50,14276600,25.48
2011-10-25,24.91,25.61,24.85,25.55,17077000,25.53
2011-10-24,24.84,25.40,24.80,25.35,16472900,25.33
2011-10-21,24.64,24.99,24.64,24.99,17551000,24.97
2011-10-20,24.34,25.15,24.30,24.67,28457900,24.65
2011-10-19,24.50,24.59,24.22,24.37,41392600,24.35
2011-10-18,24.26,24.79,24.16,24.66,47079600,24.64
2011-10-17,24.15,24.61,23.40,24.45,91468800,24.43
2011-10-14,19.35,19.61,19.11,19.59,7888000,19.58
2011-10-13,18.80,19.24,18.62,19.15,6063800,19.14
2011-10-12,19.27,19.35,18.98,18.99,10340700,18.98
2011-10-11,18.94,19.24,18.79,19.02,7192400,19.01
2011-10-10,18.67,19.28,18.67,19.12,8229300,19.11
2011-10-07,18.49,18.69,18.14,18.36,7460000,18.35
2011-10-06,17.93,18.51,17.90,18.40,8704100,18.39
2011-10-05,17.67,18.00,17.28,17.92,11213400,17.91
2011-10-04,16.82,17.60,16.30,17.55,16401500,17.54
2011-10-03,17.28,17.69,16.97,17.13,13900400,17.12
2011-09-30,17.43,17.81,17.21,17.48,10001400,17.47
2011-09-29,18.14,18.14,17.40,17.72,11244100,17.71
2011-09-28,18.08,18.25,17.54,17.70,7996100,17.69
2011-09-27,18.17,18.61,17.97,18.06,9356900,18.05
2011-09-26,17.23,17.67,16.91,17.66,11380400,17.65
2011-09-23,17.06,17.54,16.99,17.17,9642900,17.16
