Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,45.00,45.09,44.27,44.30,1676700,42.75
2011-12-29,44.83,45.16,44.79,45.13,1387800,43.56
2011-12-28,44.87,45.00,44.70,44.76,1639100,43.20
2011-12-27,44.41,44.95,44.38,44.83,1269300,43.27
2011-12-23,44.51,44.78,44.34,44.38,1794600,42.83
2011-12-22,44.50,44.50,44.12,44.29,1585200,42.74
2011-12-21,43.51,44.43,43.46,44.31,2812000,42.76
2011-12-20,42.98,43.45,42.84,43.37,2861600,41.86
2011-12-19,43.67,43.87,42.34,42.48,3526900,41.00
2011-12-16,44.40,44.49,43.31,43.43,6010500,41.91
2011-12-15,44.20,44.51,43.98,44.31,1990100,42.76
2011-12-14,44.47,44.56,43.85,43.92,2418400,42.39
2011-12-13,44.35,44.81,44.15,44.49,2442600,42.94
2011-12-12,44.60,44.71,43.76,44.16,2058500,42.62
2011-12-09,44.55,44.84,44.17,44.77,1854500,43.21
2011-12-08,45.14,45.25,44.32,44.41,2196700,42.86
2011-12-07,45.00,45.37,44.78,45.21,2093900,43.63
2011-12-06,44.83,45.24,44.74,45.04,1653400,43.47
2011-12-05,44.76,45.24,44.34,44.63,1854200,43.07
2011-12-02,45.00,45.04,44.25,44.29,2783900,42.74
2011-12-01,44.50,44.88,44.17,44.69,2046200,43.13
2011-11-30,44.51,44.80,44.00,44.47,3581300,42.92
2011-11-29,42.83,43.31,42.82,43.24,2247600,41.73
2011-11-28,42.83,43.14,42.51,42.75,2717600,41.26
2011-11-25,41.84,42.20,41.80,41.94,897100,40.48
2011-11-23,42.45,42.45,41.55,41.86,2612500,40.40
2011-11-22,43.51,43.56,42.66,42.69,2623900,41.20
2011-11-21,43.93,43.93,43.37,43.54,2448500,42.02
2011-11-18,44.20,44.57,44.06,44.28,2162600,42.74
2011-11-17,44.76,44.81,43.68,43.87,3583200,42.34
2011-11-16,44.94,45.30,44.71,44.76,2563800,43.20
2011-11-15,44.72,45.63,44.71,45.51,2193200,43.92
2011-11-14,45.23,45.27,44.68,44.72,4722100,43.16
2011-11-11,45.01,45.52,45.01,45.45,1684100,43.86
2011-11-10,45.42,45.42,44.63,44.75,2472100,43.19
2011-11-09,45.44,45.46,44.62,44.74,2242400,43.18
2011-11-08,45.63,46.00,45.17,46.00,2032900,44.40
2011-11-07,45.54,45.70,45.08,45.67,1404700,44.08
2011-11-04,45.58,45.72,44.71,45.51,2314500,43.92
2011-11-03,45.07,45.94,44.95,45.76,2984000,44.16
2011-11-02,45.54,46.10,45.42,45.77,3891600,43.64
2011-11-01,44.40,45.40,44.00,44.97,3663900,42.88
2011-10-31,44.91,45.73,44.87,44.96,2976400,42.87
2011-10-28,45.54,45.54,44.72,45.41,3273700,43.30
2011-10-27,45.57,45.96,45.35,45.62,3153900,43.50
2011-10-26,45.41,45.57,44.55,44.65,3203900,42.57
2011-10-25,45.37,45.55,44.88,44.92,2240900,42.83
2011-10-24,45.76,45.96,45.40,45.58,9958400,43.46
2011-10-21,45.30,45.90,45.26,45.86,10210500,43.73
2011-10-20,45.13,45.41,44.74,45.06,9336700,42.97
2011-10-19,44.28,45.31,44.27,45.06,3480900,42.97
2011-10-18,44.15,44.50,43.64,44.31,2079400,42.25
2011-10-17,44.28,44.57,43.96,44.08,1907500,42.03
2011-10-14,44.07,44.49,43.83,44.30,2316800,42.24
2011-10-13,44.71,44.72,42.77,43.76,6971000,41.73
2011-10-12,44.99,45.43,44.66,45.04,1632100,42.95
2011-10-11,45.22,45.24,44.61,44.89,2153400,42.80
2011-10-10,44.89,45.35,44.73,45.33,1578500,43.22
2011-10-07,43.91,44.69,43.81,44.29,2666600,42.23
2011-10-06,43.29,43.71,42.92,43.69,3252400,41.66
2011-10-05,43.87,44.01,42.80,43.40,3242800,41.38
2011-10-04,43.30,43.69,42.25,43.62,3303900,41.59
2011-10-03,44.57,45.31,43.44,43.61,3039500,41.58
2011-09-30,45.17,45.56,44.90,44.91,2783200,42.82
2011-09-29,45.54,45.55,44.86,45.41,5052800,43.30
2011-09-28,45.17,45.56,44.65,44.80,2447000,42.72
2011-09-27,45.74,45.95,44.89,45.10,2857400,43.00
2011-09-26,45.42,45.50,44.80,45.34,2223000,43.23
2011-09-23,43.92,45.39,43.92,45.12,2840200,43.02
2011-09-22,44.33,44.65,43.86,44.48,3570700,42.41
2011-09-21,45.90,46.33,45.30,45.32,2504900,43.21
2011-09-20,45.09,46.51,44.89,46.02,2731200,43.88
2011-09-19,44.78,45.07,44.46,44.93,1814700,42.84
2011-09-16,45.06,45.48,44.75,45.43,2887700,43.32
2011-09-15,44.42,44.95,44.22,44.80,1518000,42.72
2011-09-14,43.58,44.48,43.24,44.11,2067100,42.06
2011-09-13,43.32,43.62,42.80,43.54,1835000,41.52
2011-09-12,42.24,43.22,42.23,43.22,2366900,41.21
2011-09-09,43.54,43.54,42.49,42.71,2996300,40.72
2011-09-08,43.28,44.30,43.26,43.97,2297400,41.93
2011-09-07,43.41,43.76,43.12,43.50,3473400,41.48
2011-09-06,42.12,42.94,41.72,42.91,2452300,40.92
2011-09-02,43.38,43.57,42.98,43.02,1846600,41.02
2011-09-01,44.27,44.46,43.88,43.93,2738700,41.89
2011-08-31,44.01,44.31,43.97,44.25,4045700,42.19
2011-08-30,43.31,44.05,43.31,43.85,2990700,41.81
2011-08-29,43.03,43.65,42.94,43.58,2700400,41.55
2011-08-26,42.44,42.80,41.47,42.53,2133200,40.55
2011-08-25,43.73,43.73,42.51,42.73,2566800,40.74
2011-08-24,43.01,43.75,42.61,43.53,3508600,41.51
2011-08-23,41.54,42.54,41.14,42.53,3497700,40.55
2011-08-22,42.32,42.47,41.19,41.35,3018200,39.43
2011-08-19,41.79,42.20,41.41,41.75,3249300,39.81
2011-08-18,42.16,42.46,41.66,42.14,3370500,40.18
2011-08-17,42.68,43.45,42.66,43.06,2146700,41.06
2011-08-16,42.28,42.76,42.17,42.56,2479900,40.58
2011-08-15,41.57,42.80,41.45,42.77,3515500,40.78
2011-08-12,41.88,42.33,41.05,41.31,3092700,39.39
2011-08-11,39.99,42.30,39.91,41.81,3880100,39.87
2011-08-10,40.24,40.95,39.57,39.69,5418100,37.85
2011-08-09,39.61,40.89,38.77,40.83,6319100,38.93
2011-08-08,40.54,40.91,38.98,39.19,8862400,37.37
2011-08-05,41.53,41.59,40.21,41.36,5748200,39.44
2011-08-04,42.99,43.32,41.24,41.30,4536400,39.38
2011-08-03,43.41,43.61,42.83,43.47,3173400,41.45
2011-08-02,44.75,44.94,44.12,44.12,5802700,41.54
2011-08-01,44.85,45.02,44.59,44.83,6562000,42.21
2011-07-29,44.62,45.17,44.36,44.65,8518400,42.04
2011-07-28,45.15,45.21,44.76,44.90,8322200,42.28
2011-07-27,45.13,45.46,44.98,45.13,2332100,42.50
2011-07-26,45.37,45.50,45.04,45.35,2053400,42.70
2011-07-25,44.53,45.49,44.41,45.34,3856100,42.69
2011-07-22,44.46,44.48,44.13,44.36,1710700,41.77
2011-07-21,44.19,44.68,44.01,44.53,2466600,41.93
