Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,15.18,15.22,15.06,15.15,1226500,14.62
2011-12-29,14.51,15.16,14.51,15.13,1695200,14.60
2011-12-28,14.76,14.78,14.49,14.49,1264700,13.99
2011-12-27,15.00,15.02,14.64,14.76,1059200,14.25
2011-12-23,14.81,15.02,14.75,15.00,1260900,14.48
2011-12-22,14.70,14.91,14.64,14.77,1737000,14.26
2011-12-21,14.63,14.65,14.40,14.55,1641700,14.04
2011-12-20,14.64,14.73,14.54,14.59,2818600,14.08
2011-12-19,14.74,14.91,14.36,14.38,1831400,13.88
2011-12-16,14.93,14.94,14.45,14.73,3588300,14.22
2011-12-15,14.93,15.11,14.76,14.84,1837200,14.32
2011-12-14,14.90,15.07,14.71,14.80,1724500,14.29
2011-12-13,15.25,15.32,14.86,15.02,1967800,14.50
2011-12-12,15.36,15.37,14.97,15.20,1978100,14.67
2011-12-09,15.55,15.84,15.27,15.62,1923900,15.08
2011-12-08,15.81,15.86,15.39,15.44,1995000,14.90
2011-12-07,15.97,16.05,15.81,15.96,2091400,15.40
2011-12-06,15.30,16.25,15.25,16.07,3533600,15.51
2011-12-05,15.90,15.90,15.27,15.35,2972700,14.82
2011-12-02,15.81,15.93,15.53,15.60,1413700,15.06
2011-12-01,15.82,15.92,15.48,15.53,1896700,14.99
2011-11-30,15.65,15.90,15.49,15.87,2978100,15.32
2011-11-29,15.62,15.63,15.07,15.09,1656100,14.57
2011-11-28,15.65,15.72,15.43,15.59,2184700,15.05
2011-11-25,15.16,15.34,15.06,15.12,658000,14.59
2011-11-23,15.25,15.38,15.05,15.11,2226800,14.58
2011-11-22,15.86,15.96,15.32,15.36,2938300,14.83
2011-11-21,16.20,16.24,15.88,15.89,2332300,15.34
2011-11-18,16.46,16.57,16.26,16.45,1645200,15.88
2011-11-17,16.64,16.73,16.30,16.39,1512800,15.82
2011-11-16,16.93,17.21,16.68,16.71,1932200,16.13
2011-11-15,16.83,17.32,16.68,17.16,2434700,16.56
2011-11-14,17.20,17.25,16.46,16.91,4351100,16.32
2011-11-11,17.83,17.88,17.27,17.32,2374100,16.72
2011-11-10,17.85,17.93,17.41,17.49,2504700,16.88
2011-11-09,18.15,18.20,17.49,17.53,2058600,16.92
2011-11-08,18.89,19.13,18.17,18.62,2309100,17.97
2011-11-07,19.01,19.09,18.60,18.88,1451200,18.22
2011-11-04,18.94,19.17,18.79,18.90,1378200,18.24
2011-11-03,19.21,19.71,18.64,19.58,1659700,18.67
2011-11-02,18.94,19.01,18.64,18.93,1554400,18.05
2011-11-01,18.75,19.08,18.50,18.54,2453000,17.68
2011-10-31,20.56,20.73,19.54,19.54,1623300,18.63
2011-10-28,22.39,22.39,19.37,20.25,2071300,19.31
2011-10-27,20.15,21.77,19.88,20.78,1842000,19.81
2011-10-26,19.53,19.58,18.85,19.28,1156500,18.38
2011-10-25,19.51,19.51,18.91,18.95,1402700,18.07
2011-10-24,19.24,19.61,19.21,19.60,1111300,18.69
2011-10-21,18.41,19.20,18.36,19.17,1633900,18.28
2011-10-20,17.84,18.19,17.63,18.12,1045100,17.28
2011-10-19,18.09,18.31,17.74,17.78,2164600,16.95
2011-10-18,17.91,18.29,17.73,18.11,2422100,17.27
2011-10-17,18.10,18.21,17.70,17.74,1272100,16.91
2011-10-14,17.96,18.23,17.84,18.13,1247800,17.28
2011-10-13,17.78,17.90,17.33,17.75,1302500,16.92
2011-10-12,17.97,18.16,17.63,17.93,2305500,17.09
2011-10-11,17.90,18.09,17.59,17.72,1698400,16.89
2011-10-10,17.86,18.15,17.74,18.15,1235500,17.30
2011-10-07,18.50,18.50,17.50,17.56,2301700,16.74
2011-10-06,18.11,18.35,17.82,18.23,1541100,17.38
2011-10-05,17.33,18.05,17.16,17.95,1435400,17.11
2011-10-04,16.42,17.41,16.16,17.35,2000000,16.54
2011-10-03,17.63,17.71,16.64,16.66,1455200,15.88
2011-09-30,18.32,18.32,17.53,17.53,1516500,16.71
2011-09-29,18.00,18.32,17.50,18.32,2518200,17.47
2011-09-28,18.74,18.95,17.67,17.67,1926800,16.85
2011-09-27,18.72,19.81,18.44,18.59,2891400,17.72
2011-09-26,17.61,18.51,17.48,18.47,2324200,17.61
2011-09-23,16.91,17.41,16.78,17.29,2356100,16.48
2011-09-22,16.58,17.05,16.26,16.96,3046800,16.17
2011-09-21,17.09,17.23,16.67,16.79,1978100,16.01
2011-09-20,17.22,17.33,16.98,17.12,1230200,16.32
2011-09-19,17.37,17.38,16.78,17.10,1937900,16.30
2011-09-16,17.75,17.83,17.28,17.75,2086800,16.92
2011-09-15,17.48,17.72,17.47,17.66,1422100,16.84
2011-09-14,16.99,17.50,16.83,17.32,1903700,16.51
2011-09-13,16.63,16.92,16.38,16.84,1515800,16.05
2011-09-12,16.12,16.70,16.12,16.65,1840900,15.87
2011-09-09,16.37,16.65,16.30,16.36,1299600,15.60
2011-09-08,16.98,17.19,16.65,16.68,1179200,15.90
2011-09-07,16.63,17.10,16.52,17.07,2499300,16.27
2011-09-06,16.06,16.54,16.01,16.48,1290800,15.71
2011-09-02,17.06,17.12,16.49,16.50,1030100,15.73
2011-09-01,17.79,17.82,17.31,17.35,1123900,16.54
2011-08-31,18.04,18.33,17.68,17.71,1819300,16.88
2011-08-30,18.12,18.12,17.74,17.90,1012900,17.07
2011-08-29,17.44,18.14,17.43,18.12,1440600,17.28
2011-08-26,16.60,17.18,16.34,17.17,1475600,16.37
2011-08-25,17.25,17.47,16.38,16.64,1619100,15.86
2011-08-24,16.76,17.19,16.64,17.14,1107200,16.34
