Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,23.78,23.78,23.65,23.65,92500,23.52
2011-12-29,23.70,23.81,23.67,23.79,75300,23.66
2011-12-28,23.84,23.84,23.57,23.62,78600,23.49
2011-12-27,23.74,23.90,23.74,23.86,107700,23.73
2011-12-23,23.69,23.78,23.63,23.75,80300,23.62
2011-12-22,23.87,23.87,23.54,23.63,232100,23.50
2011-12-21,23.54,23.81,23.50,23.81,101500,23.68
2011-12-20,23.46,23.65,23.43,23.65,70800,23.40
2011-12-19,23.33,23.47,23.16,23.19,81200,22.94
2011-12-16,23.51,23.52,23.24,23.35,66200,23.10
2011-12-15,23.33,23.34,23.19,23.31,99300,23.06
2011-12-14,23.26,23.26,23.04,23.09,222400,22.84
2011-12-13,23.73,23.75,23.26,23.34,219800,23.09
2011-12-12,23.83,23.83,23.43,23.60,107200,23.35
2011-12-09,23.73,23.99,23.61,23.94,93400,23.69
2011-12-08,23.80,23.80,23.53,23.57,84100,23.32
2011-12-07,23.83,23.91,23.62,23.87,166900,23.62
2011-12-06,23.88,23.98,23.75,23.92,58300,23.67
2011-12-05,23.94,23.96,23.71,23.85,61200,23.60
2011-12-02,23.85,23.85,23.57,23.67,89600,23.42
2011-12-01,23.72,23.85,23.63,23.67,66200,23.42
2011-11-30,23.44,23.69,23.44,23.69,255800,23.44
2011-11-29,22.94,23.09,22.90,22.97,79600,22.73
2011-11-28,22.92,22.95,22.78,22.86,197200,22.62
2011-11-25,22.30,22.54,22.25,22.41,49800,22.17
2011-11-23,22.52,22.56,22.30,22.40,175000,22.16
2011-11-22,22.74,22.85,22.56,22.74,89000,22.50
2011-11-21,22.77,22.78,22.50,22.71,140000,22.47
2011-11-18,23.06,23.18,23.02,23.06,67500,22.82
2011-11-17,23.27,23.31,22.90,23.04,97900,22.80
2011-11-16,23.44,23.61,23.26,23.30,51300,23.05
2011-11-15,23.29,23.62,23.28,23.57,41600,23.32
2011-11-14,23.38,23.41,23.24,23.34,38300,23.09
2011-11-11,23.22,23.48,23.19,23.42,68600,23.17
2011-11-10,23.23,23.23,22.76,23.03,166000,22.79
2011-11-09,23.45,23.47,23.14,23.20,61600,22.95
2011-11-08,23.73,23.85,23.53,23.84,73800,23.59
2011-11-07,23.47,23.62,23.35,23.62,54700,23.37
2011-11-04,23.33,23.54,23.28,23.54,43000,23.29
2011-11-03,23.30,23.52,23.14,23.51,139100,23.26
2011-11-02,23.23,23.31,23.04,23.13,307000,22.88
2011-11-01,22.91,23.23,22.68,22.96,354100,22.72
2011-10-31,23.61,23.83,23.59,23.59,277400,23.34
2011-10-28,23.52,23.88,23.52,23.88,151500,23.63
2011-10-27,23.70,23.88,23.43,23.73,134800,23.48
2011-10-26,23.18,23.27,22.81,23.18,183900,22.93
2011-10-25,23.48,23.51,22.98,23.04,375900,22.80
2011-10-24,23.53,23.59,23.46,23.58,289600,23.33
2011-10-21,23.36,23.51,23.35,23.51,250900,23.26
2011-10-20,23.13,23.15,22.90,23.08,160400,22.84
2011-10-19,23.38,23.56,23.05,23.08,103300,22.84
2011-10-18,23.06,23.54,22.95,23.40,199500,23.15
2011-10-17,23.52,23.55,23.08,23.08,121500,22.84
2011-10-14,23.50,23.59,23.39,23.59,198200,23.34
2011-10-13,23.19,23.36,23.05,23.29,193400,23.04
2011-10-12,23.36,23.45,23.27,23.31,239400,23.06
2011-10-11,23.02,23.21,23.02,23.16,133600,22.91
2011-10-10,23.01,23.07,22.93,23.03,83100,22.79
2011-10-07,22.82,22.83,22.57,22.67,57300,22.43
2011-10-06,22.27,22.74,22.21,22.74,330700,22.50
2011-10-05,22.10,22.22,21.80,22.22,145300,21.98
2011-10-04,21.42,22.01,21.12,22.01,1500000,21.78
2011-10-03,22.15,22.34,21.60,21.60,170800,21.37
2011-09-30,22.32,22.72,22.31,22.31,203000,22.07
2011-09-29,22.96,23.01,22.29,22.63,191200,22.39
2011-09-28,23.10,23.18,22.55,22.63,332100,22.39
2011-09-27,23.25,23.39,22.93,23.04,465400,22.80
2011-09-26,22.56,22.87,22.22,22.86,576600,22.62
2011-09-23,22.22,22.45,22.14,22.37,93200,22.13
2011-09-22,22.30,22.42,22.10,22.35,170500,22.11
2011-09-21,23.40,23.45,22.86,22.86,41700,22.62
2011-09-20,23.60,23.76,23.41,23.41,123500,23.16
2011-09-19,23.34,23.59,23.23,23.48,66800,23.23
2011-09-16,23.78,23.83,23.59,23.68,121800,23.43
2011-09-15,23.51,23.62,23.26,23.60,128700,23.35
2011-09-14,23.19,23.53,22.85,23.35,60400,23.10
2011-09-13,23.07,23.15,22.88,23.11,21600,22.86
2011-09-12,22.63,22.88,22.50,22.86,114000,22.62
2011-09-09,23.26,23.26,22.72,22.89,41900,22.65
2011-09-08,23.54,23.76,23.44,23.47,81500,23.22
2011-09-07,23.43,23.65,23.30,23.63,102100,23.38
2011-09-06,22.54,23.15,22.45,23.11,222100,22.86
2011-09-02,23.17,23.39,23.06,23.18,41200,22.93
2011-09-01,23.76,23.92,23.54,23.56,78700,23.31
2011-08-31,23.80,23.92,23.60,23.74,170900,23.49
2011-08-30,23.54,23.71,23.36,23.65,107800,23.40
2011-08-29,23.17,23.58,23.17,23.58,39200,23.33
2011-08-26,22.42,22.93,22.00,22.86,55600,22.62
2011-08-25,23.07,23.07,22.47,22.47,161700,22.23
2011-08-24,22.87,22.97,22.71,22.96,55300,22.72
2011-08-23,22.34,22.92,22.12,22.92,58500,22.68
2011-08-22,22.59,22.59,22.10,22.13,83000,21.90
2011-08-19,22.25,22.68,22.11,22.11,166800,21.88
2011-08-18,22.73,22.83,22.34,22.54,398300,22.30
2011-08-17,23.46,23.55,23.17,23.35,124400,23.10
2011-08-16,23.37,23.41,23.09,23.35,166600,23.10
2011-08-15,23.26,23.42,23.08,23.42,421000,23.17
2011-08-12,22.94,23.07,22.65,23.00,144600,22.76
2011-08-11,22.24,23.01,22.08,22.74,1310500,22.50
2011-08-10,22.27,22.54,22.00,22.02,252500,21.79
2011-08-09,21.90,22.62,21.49,22.62,1326000,22.38
2011-08-08,22.50,22.73,21.68,21.68,369600,21.45
2011-08-05,23.23,23.28,22.46,23.12,274100,22.87
2011-08-04,23.98,24.01,22.96,22.96,528500,22.72
2011-08-03,23.93,24.30,23.75,24.26,332200,24.00
2011-08-02,24.33,24.50,24.00,24.01,433900,23.76
2011-08-01,24.78,24.78,24.20,24.47,320400,24.21
2011-07-29,24.39,24.73,24.25,24.50,169500,24.24
2011-07-28,24.71,24.90,24.61,24.63,128000,24.37
2011-07-27,24.86,24.89,24.50,24.56,119000,24.30
2011-07-26,25.08,25.17,24.99,25.00,69700,24.73
2011-07-25,25.11,25.27,25.03,25.08,167800,24.81
2011-07-22,25.38,25.40,25.25,25.35,46200,25.08
2011-07-21,25.32,25.44,25.20,25.38,148600,25.11
2011-07-20,25.33,25.33,25.13,25.23,182900,24.96
2011-07-19,24.84,25.27,24.84,25.23,78200,24.96
2011-07-18,24.88,24.88,24.51,24.68,124700,24.42
2011-07-15,24.96,24.99,24.78,24.99,73300,24.72
2011-07-14,25.10,25.26,24.85,24.89,50800,24.63
2011-07-13,25.10,25.24,25.02,25.04,181700,24.77
2011-07-12,25.00,25.17,24.90,24.98,124200,24.71
2011-07-11,25.19,25.22,24.97,25.04,161900,24.77
2011-07-08,25.31,25.37,25.16,25.37,101100,25.10
2011-07-07,25.62,25.63,25.46,25.49,181400,25.22
2011-07-06,25.31,25.39,25.22,25.38,397300,25.11
2011-07-05,25.37,25.41,25.23,25.35,3937100,25.08
2011-07-01,25.06,25.33,24.96,25.32,136100,25.05
2011-06-30,25.02,25.10,24.95,25.01,83200,24.74
2011-06-29,24.87,25.02,24.79,24.92,162000,24.66
2011-06-28,24.50,24.76,24.50,24.76,168600,24.50
2011-06-27,24.40,24.53,24.40,24.47,38900,24.21
2011-06-24,24.51,24.56,24.30,24.35,40900,24.09
2011-06-23,24.31,24.48,24.14,24.48,86600,24.22
2011-06-22,24.64,24.76,24.57,24.58,96800,24.32
2011-06-21,24.52,24.75,24.46,24.73,260000,24.47
2011-06-20,24.28,24.49,24.17,24.44,74500,24.13
2011-06-17,24.26,24.39,24.24,24.29,68900,23.98
