Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,41.83,41.98,41.43,41.43,1697800,40.01
2011-12-29,41.54,41.94,41.27,41.76,1662000,40.33
2011-12-28,41.77,41.87,41.28,41.40,1678300,39.98
2011-12-27,41.14,41.90,40.89,41.66,1411000,40.24
2011-12-23,40.98,41.25,40.79,41.18,1167100,39.77
2011-12-22,40.25,40.83,40.18,40.77,2354000,39.38
2011-12-21,39.76,40.11,39.43,40.05,2444400,38.68
2011-12-20,39.09,39.87,38.96,39.68,4076600,38.32
2011-12-19,39.22,39.24,38.54,38.60,2024600,37.28
2011-12-16,39.12,39.65,38.93,39.01,3530000,37.68
2011-12-15,38.96,39.09,38.69,38.90,3109100,37.57
2011-12-14,38.09,39.02,38.00,38.59,3203000,37.27
2011-12-13,38.56,38.84,38.00,38.24,2210400,36.93
2011-12-12,38.48,38.48,37.81,38.27,2173500,36.96
2011-12-09,38.23,38.99,38.13,38.81,2788800,37.48
2011-12-08,38.28,38.37,37.82,37.98,2952800,36.68
2011-12-07,37.90,38.69,37.64,38.47,2639800,37.15
2011-12-06,37.79,38.16,37.62,38.00,1735500,36.70
2011-12-05,38.20,38.24,37.49,37.79,3025700,36.50
2011-12-02,38.34,38.54,37.62,37.69,2828300,36.40
2011-12-01,38.52,38.52,37.86,38.08,1806100,36.78
2011-11-30,38.00,38.69,37.65,38.65,4289700,37.33
2011-11-29,37.03,37.16,36.65,36.76,1721000,35.50
2011-11-28,37.04,37.24,36.56,36.85,2502700,35.59
2011-11-25,35.94,36.70,35.83,36.09,1189800,34.86
2011-11-23,36.50,36.61,35.86,35.93,2582300,34.70
2011-11-22,36.82,37.13,36.42,36.81,2390500,35.55
2011-11-21,37.11,37.21,36.45,36.72,3281600,35.46
2011-11-18,37.64,37.78,37.15,37.72,2858800,36.43
2011-11-17,37.94,38.15,37.21,37.38,2987600,36.10
2011-11-16,37.89,38.55,37.73,38.06,3629900,36.76
2011-11-15,37.90,38.46,37.64,38.22,2220700,36.91
2011-11-14,38.60,38.84,37.85,38.03,2888400,36.73
2011-11-11,38.25,39.05,38.02,38.86,3071200,37.53
2011-11-10,38.08,38.10,37.26,37.71,3771600,36.42
2011-11-09,37.95,38.12,37.36,37.50,4710000,36.22
2011-11-08,38.40,38.80,37.76,38.77,3178700,37.44
2011-11-07,38.18,38.63,37.78,38.23,2592100,36.92
2011-11-04,39.16,39.16,37.88,38.01,5438900,36.71
2011-11-03,39.12,39.60,38.37,39.48,2854600,38.13
2011-11-02,39.52,39.56,38.66,39.20,4187200,37.40
2011-11-01,38.56,39.52,38.49,38.72,5475700,36.94
2011-10-31,39.97,40.87,39.40,39.85,5256200,38.02
2011-10-28,39.77,40.26,39.50,40.19,4701100,38.34
2011-10-27,39.04,39.85,38.45,39.67,6261000,37.84
2011-10-26,38.26,38.46,37.63,38.10,3846200,36.35
2011-10-25,38.13,38.31,37.59,37.77,4007100,36.03
2011-10-24,37.97,38.48,37.90,38.38,4361200,36.61
2011-10-21,37.50,38.17,37.24,37.97,5145900,36.22
2011-10-20,36.48,36.99,35.88,36.93,4741700,35.23
2011-10-19,36.84,37.21,36.41,36.48,4576600,34.80
2011-10-18,35.81,36.94,35.72,36.85,4455300,35.15
2011-10-17,36.11,36.32,35.65,35.72,3166600,34.08
