Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,48.69,48.81,47.97,47.97,1454400,47.97
2011-12-29,48.10,48.67,48.01,48.52,1437600,48.52
2011-12-28,49.16,49.25,47.96,48.08,2307000,48.08
2011-12-27,48.62,49.59,48.50,49.26,1414700,49.26
2011-12-23,47.93,48.82,47.88,48.75,1570300,48.75
2011-12-22,47.00,47.86,47.00,47.72,1435500,47.72
2011-12-21,46.70,47.06,46.10,46.89,1745000,46.89
2011-12-20,45.15,46.99,45.15,46.70,2801300,46.70
2011-12-19,45.83,46.11,44.13,44.32,2148900,44.32
2011-12-16,45.56,46.36,45.08,45.42,2979400,45.42
2011-12-15,45.68,46.03,45.08,45.16,2527300,45.16
2011-12-14,44.97,45.53,44.31,45.08,4467100,45.08
2011-12-13,47.78,48.32,44.96,45.45,4790800,45.45
2011-12-12,47.71,48.21,46.63,48.15,2999700,47.65
2011-12-09,47.46,48.62,47.44,48.37,2042200,47.87
2011-12-08,48.38,48.76,47.03,47.20,2905800,46.71
2011-12-07,48.73,49.14,48.14,48.85,2516600,48.34
2011-12-06,49.66,49.80,48.69,48.90,1829500,48.39
2011-12-05,49.33,50.00,48.77,49.70,3133200,49.18
2011-12-02,48.00,49.05,47.75,48.43,3855200,47.93
2011-12-01,47.41,47.75,46.90,47.24,2489700,46.75
2011-11-30,47.42,47.71,47.00,47.68,3980100,47.18
2011-11-29,46.21,46.29,45.21,45.30,2636000,44.83
2011-11-28,45.04,46.18,44.52,45.94,2636400,45.46
2011-11-25,43.85,44.61,43.34,43.41,1394200,42.96
2011-11-23,44.70,44.90,43.49,44.14,3828200,43.68
2011-11-22,47.11,47.42,44.77,45.39,6314800,44.92
2011-11-21,47.90,47.93,47.14,47.63,4212500,47.14
2011-11-18,48.62,49.41,48.37,49.08,3172300,48.57
2011-11-17,48.48,49.02,47.71,48.19,2982700,47.69
2011-11-16,49.08,49.99,48.56,48.69,2906100,48.18
2011-11-15,49.19,50.11,48.85,49.75,2209500,49.23
2011-11-14,50.01,50.40,49.12,49.41,1660100,48.90
2011-11-11,49.55,51.37,49.47,50.24,3151500,49.72
2011-11-10,49.43,49.50,48.03,48.84,2589800,48.33
2011-11-09,49.29,49.92,48.31,48.50,2566900,48.00
2011-11-08,50.88,51.24,49.60,51.15,1844900,50.62
2011-11-07,50.72,50.94,49.73,50.74,1410800,50.21
2011-11-04,50.28,51.11,49.78,50.63,1659600,50.10
2011-11-03,51.98,52.21,49.54,51.12,3302700,50.59
2011-11-02,49.40,52.05,48.97,50.85,5762900,50.32
2011-11-01,47.30,49.08,47.17,48.31,5205300,47.81
2011-10-31,51.24,51.50,50.08,50.11,3605000,49.59
2011-10-28,52.75,53.14,51.63,51.98,3438000,51.44
2011-10-27,51.70,54.15,50.75,52.60,6726400,52.05
2011-10-26,49.90,50.17,48.14,49.53,4072200,49.02
2011-10-25,50.24,50.24,48.64,48.92,2967600,48.41
2011-10-24,48.49,50.51,48.30,50.15,4479400,49.63
2011-10-21,47.28,48.24,47.14,48.23,4263100,47.73
2011-10-20,45.97,46.82,45.35,46.49,2360600,46.01
2011-10-19,46.88,47.06,46.04,46.21,3658600,45.73
2011-10-18,45.28,47.96,44.85,46.93,4324600,46.44
2011-10-17,47.01,47.23,44.98,45.31,2574800,44.84
2011-10-14,47.25,47.50,45.91,47.32,2928700,46.83
2011-10-13,45.40,46.97,45.16,46.50,4681800,46.02
2011-10-12,44.15,46.61,44.03,46.02,5175000,45.54
2011-10-11,43.60,44.61,43.45,43.75,3292200,43.30
2011-10-10,42.09,44.32,41.93,43.88,4377100,43.42
2011-10-07,41.89,42.09,40.20,40.93,2751100,40.50
2011-10-06,39.86,41.52,39.14,41.49,3718400,41.06
2011-10-05,38.93,40.08,38.13,39.91,3893400,39.50
2011-10-04,36.15,38.83,35.78,38.77,4100000,38.37
2011-10-03,39.32,39.84,36.81,36.90,4394000,36.52
2011-09-30,40.08,40.40,38.75,38.82,3333900,38.42
2011-09-29,41.97,42.28,39.89,41.02,2864500,40.59
2011-09-28,42.15,42.47,40.47,40.83,2637300,40.41
2011-09-27,42.07,43.25,41.74,42.09,3919700,41.65
2011-09-26,40.39,40.55,38.37,40.49,3498000,40.07
2011-09-23,39.21,40.73,38.97,39.72,4139500,39.31
2011-09-22,40.20,40.71,38.63,39.55,6222700,39.14
2011-09-21,44.29,45.03,41.98,42.03,2643600,41.59
2011-09-20,45.01,45.68,43.96,44.00,2222100,43.54
2011-09-19,44.31,45.01,43.67,44.70,2386800,44.24
2011-09-16,45.17,45.79,44.53,45.46,4231500,44.99
2011-09-15,44.00,45.40,43.86,45.05,6024100,44.58
2011-09-14,42.28,44.31,42.24,43.43,6465800,42.98
2011-09-13,40.59,42.24,40.26,41.85,4372000,41.42
2011-09-12,39.12,40.71,38.86,40.64,5719500,40.22
2011-09-09,40.53,40.64,39.09,39.62,4389900,39.21
2011-09-08,41.91,42.31,40.76,41.14,3089300,40.71
2011-09-07,41.95,42.64,41.32,42.44,3080400,42.00
2011-09-06,40.18,41.15,39.82,40.94,3531800,40.51
2011-09-02,42.15,42.61,41.81,42.04,3698900,41.60
2011-09-01,44.38,45.62,43.24,43.35,4495200,42.90
2011-08-31,44.24,45.37,43.99,44.56,5135500,44.10
2011-08-30,43.02,44.19,42.62,43.68,3090200,43.23
2011-08-29,42.02,43.56,41.99,43.48,2913000,43.03
2011-08-26,39.40,41.92,38.75,41.26,5437700,40.83
2011-08-25,42.98,43.22,40.49,40.67,4852000,40.25
2011-08-24,40.79,43.04,40.60,42.93,6507800,42.48
2011-08-23,38.34,40.88,37.90,40.78,5687400,40.36
2011-08-22,39.56,39.76,37.88,38.06,6601900,37.66
2011-08-19,39.62,40.66,38.29,38.43,5579000,38.03
2011-08-18,42.72,42.72,39.64,40.24,6143800,39.82
2011-08-17,44.50,45.16,43.68,44.26,3034000,43.80
