Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,40.80,40.80,40.35,40.35,1070600,38.90
2011-12-29,40.86,40.96,40.41,40.73,1700500,39.27
2011-12-28,40.90,41.04,40.69,40.84,2704000,39.37
2011-12-27,40.22,41.12,39.95,40.93,2131800,39.46
2011-12-23,39.78,40.26,39.70,40.25,1588700,38.80
2011-12-22,39.28,39.72,39.08,39.57,2473600,38.15
2011-12-21,38.87,39.44,38.33,39.25,3251200,37.84
2011-12-20,38.29,39.12,38.18,38.99,2689800,37.59
2011-12-19,38.64,38.85,37.57,37.70,2136400,36.34
2011-12-16,38.90,39.10,38.30,38.40,3184400,37.02
2011-12-15,39.64,39.64,38.46,38.49,3387300,37.11
2011-12-14,39.14,39.72,38.93,39.31,2598000,37.90
2011-12-13,40.66,40.78,39.21,39.45,3856000,38.03
2011-12-12,40.51,40.59,39.97,40.53,2515200,39.07
2011-12-09,41.16,41.26,40.50,40.83,3170300,39.36
2011-12-08,41.88,41.90,40.68,40.93,3958600,39.46
2011-12-07,42.97,44.35,42.85,44.01,9367700,42.43
2011-12-06,43.17,43.37,42.65,43.11,3527300,41.56
2011-12-05,43.26,43.47,42.82,43.09,4199600,41.54
2011-12-02,43.01,43.39,42.54,42.61,3388400,41.08
2011-12-01,43.37,43.37,42.07,42.61,4799400,41.08
2011-11-30,42.42,42.63,41.40,42.33,5776200,40.81
2011-11-29,39.84,41.18,39.75,41.01,3906200,39.54
2011-11-28,39.49,40.36,39.43,39.84,3600600,38.41
2011-11-25,38.68,38.94,38.31,38.33,1511700,36.95
2011-11-23,39.46,39.76,38.65,38.74,2778100,37.35
2011-11-22,39.97,40.26,39.52,39.96,2694300,38.52
2011-11-21,40.22,40.60,39.65,40.14,3571600,38.50
2011-11-18,41.68,41.74,40.71,40.86,3184600,39.19
2011-11-17,43.20,43.69,41.29,41.60,3867000,39.90
2011-11-16,43.59,44.00,42.80,42.97,3189800,41.22
2011-11-15,43.55,44.46,43.31,44.21,2365600,42.41
2011-11-14,43.80,44.13,43.42,43.69,2754500,41.91
2011-11-11,42.68,44.01,42.35,43.94,2979800,42.15
2011-11-10,41.94,42.52,41.37,42.31,2537600,40.59
2011-11-09,42.01,42.45,41.15,41.46,3918100,39.77
2011-11-08,42.84,43.27,42.00,43.17,3441000,41.41
2011-11-07,42.52,42.91,41.96,42.51,2732300,40.78
2011-11-04,42.51,42.86,42.14,42.63,3306200,40.89
2011-11-03,41.39,43.18,39.83,42.96,7250200,41.21
2011-11-02,43.99,44.11,42.85,43.22,2785400,41.46
2011-11-01,41.55,43.51,41.44,43.08,3989200,41.32
2011-10-31,43.52,43.91,42.70,42.71,2983300,40.97
2011-10-28,44.77,45.27,43.43,43.89,3329100,42.10
2011-10-27,44.09,45.45,43.88,45.22,3376100,43.38
2011-10-26,43.55,43.70,42.24,43.04,1802000,41.29
2011-10-25,43.70,43.73,43.01,43.07,2526200,41.31
2011-10-24,42.91,44.15,42.86,43.79,3241800,42.01
2011-10-21,42.47,43.19,42.20,42.71,3494800,40.97
