Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,34.02,34.08,33.64,33.68,1021800,33.26
2011-12-29,33.83,34.18,33.70,34.11,1100700,33.68
2011-12-28,34.12,34.24,33.44,33.52,843900,33.10
2011-12-27,34.42,34.47,34.07,34.07,948800,33.64
2011-12-23,34.45,34.60,34.20,34.54,1396600,34.11
2011-12-22,34.00,34.31,33.79,34.25,1491400,33.82
2011-12-21,33.64,33.81,33.18,33.74,1618500,33.32
2011-12-20,33.08,33.85,32.79,33.71,2070200,33.29
2011-12-19,32.83,32.96,32.32,32.39,2053500,31.99
2011-12-16,32.52,32.95,32.37,32.60,3288900,32.19
2011-12-15,33.33,33.36,32.27,32.35,3798800,31.95
2011-12-14,33.35,33.55,32.85,32.88,2908100,32.47
2011-12-13,34.82,34.95,33.19,33.51,2812000,33.09
2011-12-12,34.97,35.20,34.12,34.46,1719100,34.03
2011-12-09,34.88,35.56,34.71,35.42,2481700,34.98
2011-12-08,35.04,35.27,34.72,34.83,3156900,34.40
2011-12-07,34.88,35.44,34.39,35.28,2411500,34.84
2011-12-06,35.52,35.55,34.90,35.21,1272100,34.77
2011-12-05,35.50,36.04,35.27,35.54,2204800,35.10
2011-12-02,35.12,35.44,34.78,34.95,1537500,34.51
2011-12-01,34.71,34.94,34.31,34.79,1481200,34.36
2011-11-30,32.99,34.79,32.76,34.71,3738800,34.28
2011-11-29,32.50,32.58,31.94,31.97,2335000,31.57
2011-11-28,32.64,33.03,32.07,32.25,2821300,31.85
2011-11-25,31.41,31.77,31.41,31.63,848100,31.24
2011-11-23,32.36,32.53,31.68,31.68,1652100,31.28
2011-11-22,32.72,33.63,32.48,32.74,2941300,32.33
2011-11-21,32.28,32.89,32.24,32.75,3130500,32.34
2011-11-18,32.81,33.14,32.43,32.80,1646000,32.39
2011-11-17,32.87,33.12,32.37,32.55,4210100,32.14
2011-11-16,34.01,34.07,32.92,33.01,3385800,32.60
2011-11-15,33.74,34.74,33.59,34.70,2779800,34.13
2011-11-14,34.82,34.82,33.58,33.73,2919900,33.17
2011-11-11,34.77,35.11,34.51,35.03,1495400,34.45
2011-11-10,34.48,35.00,33.75,34.17,1498300,33.61
2011-11-09,34.78,34.90,33.88,34.02,2538100,33.46
2011-11-08,35.34,35.83,35.01,35.67,2510200,35.08
2011-11-07,35.52,35.67,34.78,35.21,2058100,34.63
2011-11-04,35.12,35.61,34.67,35.45,1330500,34.87
2011-11-03,35.19,35.74,34.35,35.57,2729000,34.98
2011-11-02,34.78,35.26,34.39,34.75,2207300,34.18
2011-11-01,34.10,35.37,33.85,34.05,2769400,33.49
2011-10-31,35.43,36.07,35.24,35.49,2599800,34.91
