Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,68.70,68.99,67.88,68.73,1235500,67.96
2011-12-29,67.75,68.84,66.55,68.64,3047100,67.87
2011-12-28,68.97,69.96,67.52,67.98,3897000,67.22
2011-12-27,68.28,69.94,68.01,69.08,7781300,68.31
2011-12-23,66.03,67.60,63.74,65.29,13187100,64.56
2011-12-22,74.79,74.91,60.62,68.76,30643100,67.99
2011-12-21,74.25,76.53,74.25,76.48,1090400,75.62
2011-12-20,73.83,74.53,73.61,74.39,1216600,73.56
2011-12-19,73.09,73.64,72.83,73.12,1027500,72.30
2011-12-16,73.13,73.62,72.68,72.92,1473400,72.10
2011-12-15,72.68,72.86,72.29,72.67,1053800,71.85
2011-12-14,73.77,74.12,71.85,72.58,1200700,71.51
2011-12-13,74.63,74.92,73.47,73.89,1150400,72.80
2011-12-12,74.56,74.61,73.68,74.47,814500,73.37
2011-12-09,74.51,75.29,74.47,75.12,735800,74.01
2011-12-08,75.07,75.62,74.01,74.16,967300,73.07
2011-12-07,75.03,75.51,74.31,75.27,841500,74.16
2011-12-06,75.59,75.72,74.88,75.14,1007800,74.03
2011-12-05,75.60,76.04,75.03,75.64,1167100,74.52
2011-12-02,75.66,75.98,74.53,74.91,1228400,73.80
2011-12-01,75.00,75.57,74.61,75.33,1215600,74.22
2011-11-30,75.00,75.44,74.14,75.36,1658100,74.25
2011-11-29,72.92,74.00,72.81,73.48,1017800,72.40
2011-11-28,71.94,72.76,71.58,72.63,1021700,71.56
2011-11-25,70.68,71.51,70.59,70.99,397400,69.94
2011-11-23,71.34,71.67,70.35,71.03,1250400,69.98
2011-11-22,70.15,72.11,70.00,71.84,1443900,70.78
2011-11-21,69.82,70.44,69.05,70.01,1294100,68.98
2011-11-18,70.66,70.92,70.31,70.64,1642600,69.60
2011-11-17,70.75,71.02,69.59,70.16,1068500,69.12
2011-11-16,71.60,72.06,70.89,70.99,1001500,69.94
2011-11-15,71.30,72.40,71.09,72.14,655400,71.08
2011-11-14,71.65,71.85,70.85,71.75,848100,70.69
2011-11-11,70.57,72.09,70.27,71.90,1345700,70.84
2011-11-10,69.72,70.28,68.96,70.15,1142900,69.11
2011-11-09,71.25,71.29,69.03,69.23,2307200,68.21
2011-11-08,71.73,72.54,71.39,72.34,1044900,71.27
2011-11-07,71.21,71.76,70.71,71.63,666600,70.57
2011-11-04,70.83,71.53,70.41,71.26,837400,70.21
2011-11-03,70.98,71.51,70.47,71.39,1302400,70.34
2011-11-02,70.90,71.41,70.25,70.64,1154400,69.60
2011-11-01,70.17,71.27,69.92,70.21,1415100,69.17
2011-10-31,72.35,72.98,71.75,71.85,994800,70.79
2011-10-28,72.96,73.69,71.76,73.40,1676400,72.32
2011-10-27,72.73,73.08,69.25,72.76,2000300,71.69
2011-10-26,72.27,72.89,71.28,71.82,1144300,70.76
2011-10-25,72.25,72.43,71.36,71.80,838800,70.74
2011-10-24,73.07,73.07,71.93,72.53,1102500,71.46
2011-10-21,72.97,73.38,72.32,72.80,996100,71.73
2011-10-20,71.44,72.53,71.25,72.17,794200,71.10
