Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,29.99,30.18,29.89,30.11,1732400,29.21
2011-12-29,29.92,30.20,29.88,30.18,1397000,29.28
2011-12-28,30.08,30.12,29.76,29.89,1681500,29.00
2011-12-27,29.79,30.16,29.75,30.07,1917400,29.18
2011-12-23,29.68,29.85,29.48,29.85,1698100,28.96
2011-12-22,29.31,29.58,29.20,29.48,2855600,28.60
2011-12-21,30.06,30.10,28.76,29.46,5422000,28.58
2011-12-20,30.14,30.59,29.99,30.24,3865600,29.34
2011-12-19,29.83,30.20,29.49,29.60,2346900,28.72
2011-12-16,29.50,29.89,29.44,29.59,3337600,28.71
2011-12-15,29.51,29.57,29.24,29.35,1581700,28.48
2011-12-14,29.40,29.62,29.20,29.26,2203700,28.39
2011-12-13,29.91,30.13,29.35,29.50,2363500,28.62
2011-12-12,29.88,29.91,29.60,29.76,1885200,28.87
2011-12-09,29.66,30.23,29.54,30.06,2120400,29.17
2011-12-08,29.47,29.73,29.34,29.41,2274800,28.53
2011-12-07,29.54,29.77,29.22,29.63,2140500,28.75
2011-12-06,29.70,29.83,29.39,29.70,1825400,28.82
2011-12-05,29.71,29.95,29.46,29.70,2298500,28.82
2011-12-02,29.48,29.60,29.02,29.22,3436500,28.35
2011-12-01,29.18,29.30,29.00,29.17,2048300,28.30
2011-11-30,28.88,29.24,28.66,29.11,4885100,28.24
2011-11-29,28.05,28.21,27.89,28.07,2672300,27.23
2011-11-28,27.93,28.10,27.73,27.88,2315500,27.05
2011-11-25,27.18,27.52,27.11,27.33,1454500,26.52
2011-11-23,27.53,27.58,27.21,27.23,1869900,26.42
2011-11-22,27.81,27.96,27.61,27.75,1763600,26.92
2011-11-21,28.00,28.09,27.72,27.89,2559800,27.06
2011-11-18,28.36,28.46,28.18,28.22,2118100,27.38
2011-11-17,28.63,28.71,28.14,28.32,2571000,27.48
2011-11-16,29.24,29.57,28.69,28.73,3502000,27.87
2011-11-15,29.12,29.49,28.94,29.40,1864600,28.53
2011-11-14,29.25,29.38,29.00,29.12,5236800,28.25
2011-11-11,29.15,29.48,29.12,29.40,1605700,28.53
2011-11-10,28.98,29.06,28.60,28.77,1721300,27.91
2011-11-09,29.11,29.11,28.51,28.61,2480500,27.76
2011-11-08,29.64,29.74,29.14,29.58,3323600,28.70
2011-11-07,29.44,29.54,29.00,29.50,1909900,28.62
2011-11-04,29.33,29.45,29.02,29.41,2777600,28.53
2011-11-03,28.90,29.61,28.82,29.56,3574800,28.68
2011-11-02,28.73,28.95,28.37,28.70,3853600,27.85
2011-11-01,28.36,28.92,28.27,28.45,5380000,27.60
2011-10-31,29.06,29.54,29.01,29.14,3144400,28.27
2011-10-28,29.43,29.48,29.20,29.36,4482400,28.49
2011-10-27,29.64,30.12,29.43,29.92,4621000,28.72
2011-10-26,29.40,29.40,28.38,28.91,3454500,27.75
2011-10-25,28.98,29.25,28.57,28.61,3569900,27.46
2011-10-24,28.73,29.34,28.61,29.18,10111400,28.01
2011-10-21,28.60,28.87,28.37,28.78,9876900,27.62
