Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,40.61,40.96,40.26,40.69,118600,39.37
2011-12-29,40.39,41.12,39.98,40.52,160100,39.20
2011-12-28,41.12,41.12,40.02,40.07,85900,38.77
2011-12-27,40.17,41.10,40.00,41.05,112100,39.72
2011-12-23,39.68,40.11,39.34,40.10,144900,38.80
2011-12-22,40.29,40.74,39.48,39.49,149400,38.21
2011-12-21,39.01,40.21,38.69,40.02,195400,38.72
2011-12-20,39.11,39.94,38.72,39.01,276400,37.74
2011-12-19,39.18,39.32,38.17,38.57,277800,37.32
2011-12-16,38.07,39.43,38.05,39.36,538200,38.08
2011-12-15,38.34,38.60,37.25,37.77,280200,36.54
2011-12-14,38.58,38.58,37.45,37.95,208500,36.72
2011-12-13,38.78,40.29,38.53,38.70,307700,37.44
2011-12-12,38.41,38.59,37.58,38.55,132500,37.30
2011-12-09,37.71,38.88,37.71,38.66,214700,37.40
2011-12-08,38.37,38.37,37.33,37.50,183600,36.28
2011-12-07,38.40,38.86,37.92,38.59,165700,37.34
2011-12-06,38.41,38.71,38.22,38.41,210300,37.16
2011-12-05,37.94,38.84,37.53,38.22,557100,36.98
2011-12-02,36.24,37.72,36.12,37.37,1310800,36.16
2011-12-01,34.68,35.43,34.37,35.23,214400,34.09
2011-11-30,34.21,34.65,34.12,34.57,274500,33.45
2011-11-29,33.48,33.67,33.00,33.37,217900,32.29
2011-11-28,33.49,33.59,32.71,33.30,212100,32.22
2011-11-25,32.71,33.62,32.71,32.77,37100,31.71
2011-11-23,32.94,33.01,32.51,32.81,149900,31.74
2011-11-22,33.08,33.53,32.89,33.17,165800,32.09
2011-11-21,33.01,33.18,32.34,33.01,210600,31.94
2011-11-18,33.58,34.02,33.25,33.34,214300,32.26
2011-11-17,34.09,34.09,32.95,33.56,117500,32.47
2011-11-16,34.13,34.63,33.90,34.00,109400,32.90
2011-11-15,34.06,34.27,33.77,34.26,174800,33.15
2011-11-14,33.76,34.44,33.51,34.12,97000,33.01
2011-11-11,34.51,34.95,33.73,33.90,112000,32.80
2011-11-10,33.56,34.18,32.93,34.15,148300,33.04
2011-11-09,34.16,34.16,32.92,33.09,146700,32.02
2011-11-08,34.50,34.94,33.76,34.84,228500,33.71
2011-11-07,34.50,34.50,33.37,34.26,133500,33.15
2011-11-04,33.93,34.31,33.26,34.21,83900,33.10
2011-11-03,33.73,34.23,33.23,33.98,119500,32.88
2011-11-02,33.78,34.06,33.04,33.29,163200,32.21
2011-11-01,32.84,33.37,32.58,33.24,135700,32.16
2011-10-31,33.82,33.99,33.24,33.74,98100,32.64
2011-10-28,34.33,34.42,33.88,34.08,103300,32.97
2011-10-27,33.74,36.77,33.30,34.41,320100,33.29
2011-10-26,33.03,33.30,32.29,32.75,135300,31.69
2011-10-25,32.96,33.08,32.39,32.54,186900,31.48
2011-10-24,33.11,33.38,32.87,33.02,201600,31.95
2011-10-21,33.05,33.05,32.49,32.90,223100,31.83
2011-10-20,33.29,33.29,32.07,32.48,290800,31.43
2011-10-19,32.44,33.74,32.24,33.04,192600,31.97
2011-10-18,32.35,33.00,31.91,32.63,304100,31.27
2011-10-17,32.14,32.78,32.05,32.16,277700,30.82
2011-10-14,32.03,32.24,31.72,32.19,202300,30.85
2011-10-13,31.85,32.00,31.46,31.67,115800,30.35
2011-10-12,31.87,32.20,31.67,32.12,167600,30.78
2011-10-11,31.16,32.37,30.91,31.49,184700,30.18
2011-10-10,30.68,31.35,30.57,31.31,134500,30.01
2011-10-07,29.92,30.74,29.77,30.07,249600,28.82
2011-10-06,29.76,30.00,29.36,29.87,264100,28.63
2011-10-05,28.97,29.79,28.43,29.73,84500,28.49
2011-10-04,27.89,28.93,26.76,28.83,237400,27.63
2011-10-03,29.69,30.06,28.08,28.11,172300,26.94
2011-09-30,29.81,30.14,29.66,29.75,211400,28.51
2011-09-29,30.80,30.88,29.32,30.23,220800,28.97
2011-09-28,30.79,30.90,30.00,30.40,134300,29.14
2011-09-27,30.94,31.07,30.40,30.67,157600,29.39
2011-09-26,30.63,30.63,29.85,30.24,147100,28.98
2011-09-23,30.03,30.30,29.41,30.29,104600,29.03
2011-09-22,30.00,30.73,29.50,30.14,215700,28.89
2011-09-21,31.58,32.15,30.64,30.83,225400,29.55
2011-09-20,32.10,32.54,31.38,31.49,196300,30.18
2011-09-19,31.02,32.09,30.65,31.84,225400,30.52
2011-09-16,31.73,31.77,30.57,31.58,367400,30.27
2011-09-15,31.88,31.96,31.29,31.49,75600,30.18
2011-09-14,31.75,31.95,31.20,31.56,123000,30.25
2011-09-13,30.66,31.58,30.60,31.51,142900,30.20
2011-09-12,29.70,30.57,29.21,30.51,161700,29.24
2011-09-09,30.53,30.53,29.95,30.16,177700,28.91
2011-09-08,30.51,31.04,30.51,30.80,113300,29.52
2011-09-07,30.89,30.91,30.38,30.60,292900,29.33
2011-09-06,29.55,30.57,29.27,30.55,316200,29.28
2011-09-02,29.23,30.63,29.21,30.60,366100,29.33
2011-09-01,29.96,30.76,29.52,30.14,304600,28.89
2011-08-31,29.82,30.58,29.73,29.84,456600,28.60
2011-08-30,29.32,29.92,29.19,29.54,815400,28.31
2011-08-29,29.51,30.00,29.02,29.42,580100,28.20
2011-08-26,28.79,29.64,28.51,29.12,354000,27.91
2011-08-25,29.42,29.46,28.79,28.93,240000,27.73
2011-08-24,29.14,29.98,28.88,29.15,364800,27.94
2011-08-23,29.19,29.19,28.06,29.11,570400,27.90
2011-08-22,31.24,31.24,28.48,28.84,422400,27.64
2011-08-19,29.93,30.54,29.75,30.20,416200,28.94
2011-08-18,31.07,31.20,29.56,30.35,283000,29.09
2011-08-17,32.11,32.45,31.61,31.92,95800,30.59
2011-08-16,32.30,32.36,31.59,31.82,289700,30.50
2011-08-15,32.50,33.68,32.16,32.69,293700,31.33
2011-08-12,32.97,33.31,31.20,31.98,217800,30.65
2011-08-11,30.69,33.11,30.46,32.54,330200,31.19
2011-08-10,29.79,32.13,29.39,30.44,274600,29.17
2011-08-09,27.24,30.19,26.01,30.12,680300,28.87
2011-08-08,30.25,33.50,26.33,26.68,304800,25.57
2011-08-05,31.47,31.57,29.75,30.73,316300,29.45
2011-08-04,33.15,33.41,31.01,31.23,281700,29.93
2011-08-03,33.78,33.86,33.02,33.50,234300,32.11
2011-08-02,34.31,34.41,33.64,33.64,109500,32.24
2011-08-01,34.19,34.91,33.48,34.55,175800,33.11
2011-07-29,33.97,34.11,33.44,33.76,102300,32.36
2011-07-28,33.55,34.58,33.55,34.36,124400,32.93
2011-07-27,33.48,33.85,33.22,33.55,137500,32.15
2011-07-26,33.70,33.79,33.01,33.50,169200,32.11
2011-07-25,33.98,34.73,33.55,33.79,211800,32.38
2011-07-22,33.96,34.65,33.52,34.19,143900,32.77
2011-07-21,33.73,34.90,33.53,33.91,148300,32.50
2011-07-20,34.04,34.04,33.39,33.56,136400,32.16
2011-07-19,34.00,34.14,33.21,34.02,40400,32.60
2011-07-18,33.84,34.18,33.60,34.03,180800,32.34
2011-07-15,33.51,34.29,33.19,33.94,93700,32.25
2011-07-14,33.24,33.76,33.15,33.45,114900,31.79
2011-07-13,33.20,33.41,33.06,33.24,160900,31.59
2011-07-12,33.33,33.63,32.96,33.24,205900,31.59
2011-07-11,33.95,34.23,33.44,33.48,145200,31.81
2011-07-08,33.50,34.35,33.44,34.23,228600,32.53
2011-07-07,33.50,34.00,33.42,33.79,103700,32.11
2011-07-06,32.90,33.04,32.52,32.91,121800,31.27
2011-07-05,33.07,33.37,32.70,32.95,122200,31.31
2011-07-01,33.32,33.32,32.10,33.03,164400,31.39
2011-06-30,33.45,33.88,33.12,33.46,120000,31.79
