Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,45.87,46.27,45.41,45.41,1921200,45.41
2011-12-29,45.29,46.02,45.28,45.96,1609400,45.96
2011-12-28,45.25,45.45,44.84,45.06,1380800,45.06
2011-12-27,45.08,45.81,45.08,45.25,1967600,45.25
2011-12-23,45.00,45.55,44.87,45.28,2225600,45.28
2011-12-22,43.88,44.99,43.64,44.81,3054000,44.81
2011-12-21,43.53,43.86,43.38,43.73,2295000,43.73
2011-12-20,42.96,43.94,42.61,43.70,2660000,43.70
2011-12-19,43.14,43.30,41.98,42.08,2953800,42.08
2011-12-16,43.35,43.66,42.37,42.76,7493800,42.76
2011-12-15,42.72,43.35,42.36,42.98,3451000,42.98
2011-12-14,42.68,42.78,42.22,42.38,2620400,42.38
2011-12-13,43.34,43.66,42.85,43.00,3898200,43.00
2011-12-12,43.59,43.70,42.67,43.21,4953800,43.21
2011-12-09,43.38,44.53,43.24,44.12,3514200,44.12
2011-12-08,43.68,43.82,42.96,43.05,3341000,43.05
2011-12-07,42.51,44.51,42.05,44.04,5210200,44.04
2011-12-06,42.09,43.36,41.80,42.81,6318200,42.81
2011-12-05,43.36,43.64,41.72,42.13,6005800,42.13
2011-12-02,43.22,43.73,42.58,42.63,5090200,42.63
2011-12-01,45.01,45.63,42.35,43.12,5590800,43.12
2011-11-30,43.74,44.78,43.53,44.76,5821500,44.76
2011-11-29,42.95,43.12,42.46,42.62,4893300,42.62
2011-11-28,43.00,43.57,42.38,42.76,6432000,42.76
2011-11-25,41.90,42.23,41.58,41.61,2120000,41.61
2011-11-23,42.80,43.01,41.76,41.76,5120200,41.76
2011-11-22,43.41,43.73,42.83,43.03,3721600,43.03
2011-11-21,44.31,44.31,42.95,43.51,4125900,43.51
2011-11-18,44.69,44.96,43.94,44.45,3422400,44.45
2011-11-17,44.80,46.12,44.48,44.69,4730000,44.69
2011-11-16,44.73,45.53,44.43,45.00,5789400,45.00
2011-11-15,44.86,45.59,44.85,45.27,4982600,45.27
2011-11-14,44.94,45.43,44.46,45.05,7689500,45.05
2011-11-11,43.89,45.74,43.78,44.90,8053000,44.90
2011-11-10,40.68,44.03,39.86,43.61,11959000,43.61
2011-11-09,41.12,41.54,40.12,40.30,5366700,40.30
2011-11-08,42.39,42.48,41.24,42.25,6214900,42.25
2011-11-07,41.45,42.37,41.03,42.06,4783800,42.06
2011-11-04,41.05,41.22,40.11,41.19,7198800,41.19
2011-11-03,43.07,43.55,40.95,41.37,7389700,41.37
2011-11-02,43.05,43.38,42.27,42.72,3011100,42.72
2011-11-01,42.43,42.92,41.68,42.14,4796600,42.14
2011-10-31,44.30,44.59,43.85,43.85,2378800,43.85
2011-10-28,45.66,45.80,44.80,44.89,2798200,44.89
2011-10-27,44.75,46.08,44.75,45.59,4601600,45.59
2011-10-26,43.63,44.49,42.99,43.99,3375000,43.99
2011-10-25,43.53,43.73,42.68,43.07,3378500,43.07
2011-10-24,43.68,44.49,43.39,44.00,3519700,44.00
2011-10-21,42.92,43.93,42.41,43.58,4763300,43.58
2011-10-20,42.79,42.92,41.89,42.29,3388900,42.29
2011-10-19,42.97,43.70,42.49,42.75,1903000,42.75
2011-10-18,41.76,43.66,41.54,43.14,2340100,43.14
2011-10-17,43.16,43.16,42.04,42.15,2181000,42.15
2011-10-14,43.18,43.44,42.22,43.30,2813900,43.30
2011-10-13,42.35,42.81,42.04,42.53,3139500,42.53
2011-10-12,43.22,44.12,42.79,42.83,4418600,42.83
2011-10-11,41.36,44.53,41.36,42.77,3582500,42.77
2011-10-10,40.99,42.78,40.99,42.57,3025800,42.57
2011-10-07,40.60,40.81,39.81,40.14,3601100,40.14
2011-10-06,39.09,40.49,38.61,40.42,3653300,40.42
2011-10-05,38.47,39.26,38.04,39.17,4635100,39.17
2011-10-04,36.10,38.45,35.13,38.06,5703100,38.06
2011-10-03,38.32,38.55,36.50,36.66,9090100,36.66
2011-09-30,40.35,40.71,38.71,38.74,6156800,38.74
2011-09-29,41.59,41.81,40.19,41.03,6109300,41.03
2011-09-28,41.72,42.23,40.62,40.71,4805000,40.71
2011-09-27,41.34,42.63,41.12,41.44,5444700,41.44
2011-09-26,41.01,41.30,39.89,40.58,7101100,40.58
2011-09-23,41.06,41.20,39.50,40.68,8291900,40.68
2011-09-22,43.76,44.67,40.72,41.25,11771800,41.25
2011-09-21,46.19,47.64,45.34,45.40,4979000,45.40
2011-09-20,47.40,47.72,46.62,46.69,3367800,46.69
2011-09-19,45.94,47.29,45.87,47.03,3124700,47.03
2011-09-16,46.55,47.57,46.42,46.90,6255100,46.90
2011-09-15,45.82,46.37,45.01,46.37,3943600,46.37
2011-09-14,45.17,45.97,43.88,45.34,4936800,45.34
2011-09-13,43.78,45.14,43.52,44.73,4974400,44.73
2011-09-12,42.88,43.95,42.77,43.88,4843600,43.63
2011-09-09,44.43,45.25,43.50,43.52,5262100,43.27
2011-09-08,45.03,46.26,45.03,45.10,3134000,44.84
2011-09-07,45.58,46.42,45.02,46.13,4238900,45.87
2011-09-06,43.80,45.07,43.50,44.98,5932400,44.72
2011-09-02,46.00,46.72,45.24,45.30,4148300,45.04
2011-09-01,47.94,48.52,46.93,46.98,4102600,46.71
2011-08-31,47.89,49.13,47.65,48.24,4906900,47.97
2011-08-30,46.91,47.94,46.35,47.66,4636300,47.39
2011-08-29,45.95,47.33,45.93,47.28,4200900,47.01
2011-08-26,43.61,45.72,43.27,45.58,5461800,45.32
2011-08-25,44.91,45.24,43.41,43.82,4049800,43.57
2011-08-24,44.09,44.87,43.69,44.72,3053400,44.47
2011-08-23,41.68,44.22,41.65,44.15,5390000,43.90
2011-08-22,42.22,42.70,41.44,41.64,5294900,41.40
2011-08-19,41.41,42.22,40.71,40.87,8348500,40.64
