Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,77.49,77.49,76.89,76.89,87400,74.71
2011-12-29,77.16,77.44,77.02,77.36,146900,75.17
2011-12-28,77.36,77.36,76.70,76.74,122800,74.56
2011-12-27,76.74,77.28,76.42,77.23,107300,75.04
2011-12-23,76.32,76.76,76.25,76.57,71000,74.40
2011-12-22,76.07,76.15,75.77,76.04,138500,73.88
2011-12-21,75.04,75.93,74.90,75.89,95400,73.74
2011-12-20,74.77,75.60,74.70,75.59,84400,72.78
2011-12-19,74.92,75.01,73.81,73.93,106600,71.18
2011-12-16,75.00,75.23,74.35,74.63,88100,71.85
2011-12-15,74.33,74.86,74.25,74.77,39800,71.99
2011-12-14,74.02,74.33,73.68,73.68,39700,70.94
2011-12-13,74.47,75.12,74.10,74.28,82500,71.52
2011-12-12,74.39,74.42,73.43,73.98,167200,71.23
2011-12-09,73.85,74.79,73.85,74.76,44100,71.98
2011-12-08,74.79,74.79,73.50,73.62,86800,70.88
2011-12-07,74.95,75.03,74.28,74.79,81400,72.01
2011-12-06,74.91,75.30,74.66,74.96,101100,72.17
2011-12-05,75.11,75.25,74.41,74.83,93100,72.05
2011-12-02,75.16,75.20,74.18,74.22,89900,71.46
2011-12-01,74.94,75.41,74.79,74.94,113200,72.15
2011-11-30,74.55,75.10,74.33,75.09,65400,72.30
2011-11-29,72.34,73.22,72.34,73.01,71100,70.29
2011-11-28,72.68,72.76,71.90,72.16,76600,69.47
2011-11-25,70.78,71.65,70.78,71.21,20300,68.56
2011-11-23,71.59,71.59,70.72,70.96,110200,68.32
2011-11-22,72.93,73.00,71.93,72.10,54900,69.42
2011-11-21,73.53,73.53,72.37,72.93,107100,70.22
2011-11-18,73.65,74.13,73.65,73.88,46300,71.13
2011-11-17,73.90,74.16,72.98,73.30,77400,70.57
2011-11-16,74.42,74.77,73.82,73.94,97800,71.19
2011-11-15,74.52,74.90,74.19,74.75,106800,71.97
2011-11-14,75.45,75.45,74.41,74.51,129700,71.74
2011-11-11,75.18,75.37,74.99,75.37,56200,72.57
2011-11-10,74.55,74.64,73.78,74.31,57100,71.54
2011-11-09,74.60,74.70,73.58,73.71,123600,70.97
2011-11-08,75.26,75.52,74.45,75.51,73000,72.70
2011-11-07,74.86,75.00,74.09,75.00,100500,72.21
2011-11-04,74.74,74.78,73.80,74.67,77000,71.89
2011-11-03,74.55,75.23,74.13,75.09,86300,72.30
2011-11-02,73.58,74.55,73.52,73.90,222300,71.15
2011-11-01,73.34,73.74,72.58,72.73,105700,70.02
2011-10-31,74.42,75.10,74.19,74.30,93800,71.54
2011-10-28,75.19,75.19,74.40,74.89,126500,72.10
2011-10-27,75.05,75.67,74.69,75.25,165300,72.45
2011-10-26,73.98,73.98,73.12,73.49,56400,70.76
