Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,55.40,55.77,55.13,55.13,1047300,53.43
2011-12-29,54.97,55.56,54.88,55.30,1145800,53.59
2011-12-28,55.44,55.51,54.82,54.97,1162400,53.27
2011-12-27,54.97,55.55,54.64,55.37,906700,53.66
2011-12-23,54.85,55.00,54.41,54.94,867100,53.24
2011-12-22,54.05,54.73,53.99,54.51,1226200,52.83
2011-12-21,53.77,54.00,53.29,53.84,1135300,52.18
2011-12-20,53.07,54.04,52.83,53.65,1805300,51.99
2011-12-19,53.10,53.16,52.10,52.16,1792400,50.55
2011-12-16,53.30,53.84,52.64,52.90,2381400,51.27
2011-12-15,52.33,53.08,52.02,52.85,1583900,51.22
2011-12-14,50.70,52.02,50.63,51.68,2073300,50.08
2011-12-13,51.54,52.04,50.55,50.90,1779900,49.33
2011-12-12,52.65,52.78,51.69,52.00,1778000,49.84
2011-12-09,52.49,53.63,52.44,53.40,1607000,51.18
2011-12-08,52.92,53.06,52.19,52.37,2092600,50.19
2011-12-07,52.30,53.37,51.94,53.16,1831800,50.95
2011-12-06,51.67,52.83,51.53,52.46,1659200,50.28
2011-12-05,51.93,51.97,51.21,51.62,1581500,49.47
2011-12-02,51.98,52.22,51.14,51.24,2223200,49.11
2011-12-01,52.58,52.59,51.46,51.69,1454300,49.54
2011-11-30,51.83,52.88,51.22,52.76,3245400,50.56
2011-11-29,50.72,50.74,50.01,50.33,1122300,48.24
2011-11-28,50.98,51.02,49.95,50.44,2016600,48.34
2011-11-25,49.27,50.54,49.19,49.57,694500,47.51
2011-11-23,50.34,50.34,49.00,49.20,2079400,47.15
2011-11-22,50.69,51.22,50.06,50.63,1682300,48.52
2011-11-21,51.24,51.76,50.50,50.82,1584900,48.71
2011-11-18,51.83,52.45,51.44,52.41,2201400,50.23
2011-11-17,52.57,52.73,51.23,51.46,1697400,49.32
2011-11-16,52.78,53.79,52.53,52.78,1245400,50.58
2011-11-15,52.51,53.47,52.21,53.22,1049300,51.01
2011-11-14,53.91,53.98,52.54,52.75,1378200,50.55
2011-11-11,53.52,54.33,53.01,54.26,1455500,52.00
2011-11-10,53.14,53.28,52.04,52.72,1562600,50.53
2011-11-09,53.57,53.98,52.26,52.35,2406000,50.17
2011-11-08,54.59,54.92,53.56,54.80,2003400,52.52
2011-11-07,54.43,55.12,53.69,54.21,1434800,51.95
2011-11-04,53.93,54.87,53.25,54.30,1884600,52.04
2011-11-03,55.10,55.43,53.73,54.99,2833600,52.70
2011-11-02,54.63,54.68,53.35,54.32,2451600,52.06
2011-11-01,54.09,54.84,53.45,53.59,2723800,51.36
2011-10-31,55.29,56.73,55.11,55.61,2294200,53.30
2011-10-28,54.63,56.22,54.63,56.04,2316500,53.71
2011-10-27,54.94,55.08,53.87,54.67,3572000,52.39
2011-10-26,53.92,53.99,52.94,53.26,2109000,51.04
2011-10-25,53.09,53.45,52.59,53.03,2117500,50.82
2011-10-24,53.02,54.23,52.94,54.15,1688600,51.90
2011-10-21,52.05,53.28,52.05,53.03,2541400,50.82
2011-10-20,51.55,51.78,50.42,51.66,1889300,49.51
2011-10-19,51.12,51.84,50.81,51.51,2426400,49.37
2011-10-18,49.40,51.43,49.26,51.11,2121200,48.98
2011-10-17,50.34,50.50,49.15,49.31,2068500,47.26
2011-10-14,49.92,50.87,49.86,50.70,1835900,48.59
2011-10-13,49.53,49.72,48.26,49.27,2046100,47.22
2011-10-12,50.12,50.99,49.81,50.09,1878300,48.01
