Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.56,32.61,32.46,32.49,2935100,31.87
2011-12-29,32.48,32.68,32.48,32.64,2933300,32.02
2011-12-28,32.67,32.67,32.42,32.47,3647100,31.85
2011-12-27,32.58,32.72,32.55,32.63,3918400,32.01
2011-12-23,32.35,32.61,32.32,32.57,5227700,31.95
2011-12-22,32.44,32.44,32.23,32.34,4135700,31.73
2011-12-21,31.86,32.40,31.86,32.35,8074800,31.74
2011-12-20,31.69,32.06,31.63,32.01,6064300,31.40
2011-12-19,31.53,31.77,31.30,31.36,4628900,30.76
2011-12-16,31.78,31.78,31.43,31.49,9366600,30.89
2011-12-15,31.61,31.88,31.60,31.81,7244100,30.93
2011-12-14,31.58,31.76,31.45,31.49,5653200,30.62
2011-12-13,31.90,31.99,31.37,31.65,6460700,30.77
2011-12-12,31.79,31.92,31.54,31.72,5890500,30.84
2011-12-09,31.83,32.06,31.77,32.01,3885100,31.12
2011-12-08,31.93,31.96,31.63,31.68,5215300,30.80
2011-12-07,31.93,32.16,31.77,32.05,5951300,31.16
2011-12-06,31.90,32.11,31.83,31.97,5993000,31.08
2011-12-05,32.09,32.09,31.74,31.93,7178500,31.04
2011-12-02,32.01,32.05,31.74,31.74,5688600,30.86
2011-12-01,31.96,32.10,31.76,31.85,11693700,30.97
2011-11-30,31.65,31.93,31.62,31.90,7078000,31.01
2011-11-29,30.94,31.27,30.91,31.17,4812400,30.30
2011-11-28,30.77,30.89,30.68,30.85,6760300,29.99
2011-11-25,30.29,30.57,30.23,30.37,3223600,29.53
2011-11-23,30.38,30.47,30.19,30.26,5091300,29.42
2011-11-22,30.49,30.82,30.49,30.59,5769000,29.74
2011-11-21,30.74,30.83,30.45,30.56,21788100,29.71
2011-11-18,31.05,31.15,30.92,31.06,8138700,30.20
2011-11-17,30.95,31.23,30.77,30.97,6726800,30.11
2011-11-16,31.14,31.50,31.04,31.08,7333200,30.22
2011-11-15,31.19,31.45,31.14,31.36,6358400,30.49
2011-11-14,31.38,31.38,31.14,31.21,2725900,30.34
2011-11-11,31.30,31.52,31.30,31.48,3135400,30.61
2011-11-10,31.09,31.20,30.82,31.12,4501200,30.26
2011-11-09,31.17,31.17,30.70,30.82,6187700,29.96
2011-11-08,31.31,31.58,31.15,31.56,5827200,30.68
2011-11-07,31.00,31.25,30.83,31.25,4930100,30.38
2011-11-04,30.93,31.05,30.79,30.99,4886300,30.13
2011-11-03,31.03,31.19,30.89,31.17,5172100,30.30
2011-11-02,30.79,30.84,30.60,30.79,4854400,29.93
2011-11-01,30.53,30.80,30.46,30.50,18721200,29.65
2011-10-31,31.31,31.43,31.04,31.04,8271600,30.18
2011-10-28,31.45,31.58,31.34,31.51,11994500,30.63
2011-10-27,31.57,31.68,31.27,31.59,21683000,30.71
2011-10-26,31.18,31.22,30.76,31.19,5286200,30.32
2011-10-25,31.18,31.22,30.85,30.88,13392900,30.02
2011-10-24,31.48,31.48,31.18,31.25,9755200,30.38
2011-10-21,31.28,31.47,31.17,31.47,13734900,30.60
2011-10-20,30.87,31.10,30.78,30.97,6276700,30.11
2011-10-19,30.91,31.07,30.74,30.80,7398600,29.94
2011-10-18,30.63,31.13,30.40,30.89,14981300,30.03
2011-10-17,30.76,30.93,30.54,30.66,5765900,29.81
2011-10-14,30.86,30.92,30.70,30.87,4205100,30.01
2011-10-13,30.67,30.73,30.45,30.63,4139700,29.78
2011-10-12,30.61,30.90,30.60,30.72,7715400,29.87
2011-10-11,30.43,30.55,30.35,30.48,5435700,29.63
2011-10-10,30.31,30.54,30.30,30.54,5672200,29.69
