Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,36.26,36.27,35.96,35.98,4092800,35.28
2011-12-29,36.02,36.24,35.99,36.24,3962500,35.53
2011-12-28,36.23,36.23,35.90,35.96,3152600,35.26
2011-12-27,35.83,36.16,35.78,36.09,3242800,35.38
2011-12-23,35.69,35.96,35.68,35.80,3219100,35.10
2011-12-22,35.63,35.65,35.47,35.57,4085400,34.87
2011-12-21,35.05,35.57,35.05,35.53,9672300,34.83
2011-12-20,34.55,35.05,34.55,35.01,6544900,34.32
2011-12-19,34.72,34.78,34.22,34.28,6709400,33.61
2011-12-16,34.90,34.92,34.47,34.54,7767600,33.86
2011-12-15,34.79,35.14,34.79,35.03,9144300,33.96
2011-12-14,34.80,34.97,34.58,34.61,6107200,33.56
2011-12-13,34.85,35.23,34.75,34.83,6870400,33.77
2011-12-12,34.81,34.95,34.45,34.70,10144600,33.64
2011-12-09,34.72,35.08,34.66,35.00,11489300,33.93
2011-12-08,34.94,35.00,34.48,34.56,6902600,33.51
2011-12-07,35.07,35.20,34.83,35.07,5277700,34.00
2011-12-06,35.10,35.31,34.96,35.12,5373100,34.05
2011-12-05,35.27,35.27,34.85,35.02,7172900,33.95
2011-12-02,35.32,35.32,34.70,34.75,11776200,33.69
2011-12-01,35.16,35.31,35.03,35.11,5685500,34.04
2011-11-30,34.96,35.21,34.80,35.21,7202400,34.14
2011-11-29,33.92,34.34,33.92,34.22,4731800,33.18
2011-11-28,33.99,34.12,33.69,33.85,4865600,32.82
2011-11-25,33.19,33.61,33.19,33.43,2689700,32.41
2011-11-23,33.56,33.61,33.18,33.26,6271700,32.25
2011-11-22,34.24,34.24,33.70,33.79,15888700,32.76
2011-11-21,34.41,34.41,33.96,34.21,6911400,33.17
2011-11-18,34.58,34.73,34.46,34.64,4830000,33.59
2011-11-17,34.59,34.73,34.13,34.40,5649400,33.35
2011-11-16,34.84,35.00,34.56,34.58,5745900,33.53
2011-11-15,34.98,35.12,34.82,35.00,4313500,33.93
2011-11-14,35.30,35.37,34.91,34.94,8015400,33.88
2011-11-11,35.17,35.36,35.13,35.36,4165900,34.28
2011-11-10,34.91,35.02,34.62,34.86,7519900,33.80
2011-11-09,34.98,35.06,34.56,34.63,8024300,33.58
2011-11-08,35.25,35.40,34.94,35.40,6099400,34.32
2011-11-07,35.01,35.20,34.76,35.17,5037700,34.10
2011-11-04,34.95,35.04,34.56,34.98,5633100,33.91
2011-11-03,34.82,35.25,34.77,35.14,10418300,34.07
2011-11-02,34.56,34.98,34.55,34.72,9590300,33.66
2011-11-01,34.35,34.60,34.05,34.12,12200800,33.08
2011-10-31,34.83,35.18,34.80,34.85,5709600,33.79
2011-10-28,35.28,35.28,34.83,35.01,11931800,33.94
2011-10-27,35.07,35.47,35.00,35.30,13191000,34.22
2011-10-26,34.61,34.70,34.29,34.48,8363500,33.43
2011-10-25,34.65,34.74,34.27,34.34,9675200,33.29
2011-10-24,34.95,34.95,34.64,34.73,8565600,33.67
2011-10-21,34.56,34.90,34.56,34.88,7494500,33.82
2011-10-20,34.10,34.44,34.07,34.30,5656500,33.26
2011-10-19,34.06,34.59,34.04,34.11,8798200,33.07
2011-10-18,33.72,34.28,33.60,34.08,10923600,33.04
2011-10-17,33.77,34.01,33.77,33.84,4726900,32.81
2011-10-14,33.79,33.99,33.70,33.98,9624800,32.95
2011-10-13,33.56,33.72,33.26,33.66,7803900,32.63
2011-10-12,33.87,33.87,33.58,33.66,6453000,32.63
2011-10-11,33.91,33.97,33.55,33.74,12097400,32.71
2011-10-10,33.66,34.07,33.66,34.05,6792200,33.01
2011-10-07,33.32,33.62,33.19,33.40,10608000,32.38
2011-10-06,32.72,33.26,32.68,33.26,12192800,32.25
2011-10-05,32.67,32.81,32.22,32.68,13081300,31.68
2011-10-04,32.68,32.73,31.94,32.66,22271100,31.67
2011-10-03,33.60,33.88,32.82,32.82,15331700,31.82
2011-09-30,33.70,34.04,33.61,33.62,10459700,32.60
2011-09-29,33.89,34.07,33.62,34.00,12233000,32.96
2011-09-28,33.96,34.02,33.42,33.46,12533600,32.44
2011-09-27,34.12,34.16,33.65,33.80,9169900,32.77
2011-09-26,33.54,33.72,33.33,33.68,10965900,32.65
2011-09-23,32.99,33.57,32.94,33.41,12022800,32.39
2011-09-22,33.10,33.22,32.73,33.08,27630100,32.07
2011-09-21,34.28,34.47,33.65,33.65,13772200,32.63
2011-09-20,34.07,34.72,33.89,34.28,18209200,33.24
2011-09-19,33.61,33.92,33.50,33.79,7280600,32.76
2011-09-16,33.63,34.07,33.63,33.98,8065600,32.95
2011-09-15,33.85,34.04,33.60,33.94,5911000,32.57
2011-09-14,33.43,33.79,33.03,33.52,7024700,32.17
2011-09-13,33.17,33.29,32.83,33.29,7174800,31.95
2011-09-12,32.63,33.08,32.50,33.07,7650400,31.74
