Date,EP Adj Close,EP Cumulative Return,EP Investment,ISRG Adj Close,ISRG Cumulative Return,ISRG Investment,CMD Adj Close,CMD Cumulative Return,CMD Investment,OKE Adj Close,OKE Cumulative Return,OKE Investment,Portfolio  Value,Portfolio Daily Return,SPY Adj Close,SPY Daily Return,,,,,,,,
1/3/2011,13.72,1,100000,269,1,100000,47.55,1,300000,26.76,1,500000,1000000,0,123.65,0,,,,,Ammount,1000000,,
1/4/2011,13.61,0.991982507,99198.25073,271.7,1.010037175,101003.7175,49.2,1.034700315,310410.0946,26.37,0.985426009,492713.0045,1003325.067,0.003325067,124.26,0.004933279,,,,,Equity,Price,Percentage,# Shares
1/5/2011,13.74,1.001457726,100145.7726,273.63,1.017211896,101721.1896,49.1,1.032597266,309779.1798,26.26,0.981315396,490657.6981,1002303.84,-0.001017843,122.99,-0.010220505,,,,,EP,13.72,0.1,7288.629738
1/6/2011,13.67,0.996355685,99635.56851,268.68,0.998810409,99881.04089,50.25,1.056782334,317034.7003,26.41,0.986920777,493460.3886,1010011.698,0.007690141,124.62,0.01325311,,,,,ISRG,269,0.1,371.7472119
1/7/2011,13.63,0.993440233,99344.02332,267.4,0.994052045,99405.20446,51.05,1.07360673,322082.0189,26.47,0.98916293,494581.4649,1015412.712,0.005347476,124.53,-0.000722195,,,,,CMD,47.55,0.3,6309.148265
1/10/2011,13.47,0.981778426,98177.84257,271.58,1.009591078,100959.1078,50.15,1.054679285,316403.7855,26.35,0.984678625,492339.3124,1007880.048,-0.007418327,123.42,-0.008913515,,,,,OKE,26.76,0.5,18684.60389
1/11/2011,13.57,0.989067055,98906.70554,280.99,1.044572491,104457.2491,49.3,1.036803365,311041.0095,26.81,1.00186846,500934.2302,1015339.194,0.007400827,122.34,-0.008750608,,,,,,,,
1/12/2011,13.77,1.003644315,100364.4315,282.21,1.049107807,104910.7807,47.95,1.008412198,302523.6593,27.21,1.016816143,508408.0717,1016206.943,0.000854639,122.1,-0.001961746,,,,,,Portfolio,SPY,
1/13/2011,14.06,1.024781341,102478.1341,279.11,1.037583643,103758.3643,48.2,1.013669821,304100.9464,27.36,1.022421525,511210.7623,1021548.207,0.005256079,118.52,-0.029320229,,,,,Annual return,0.51282062,1.008564437,
1/14/2011,14.11,1.028425656,102842.5656,288.28,1.071672862,107167.2862,48.5,1.01997897,305993.6909,27.39,1.023542601,511771.3004,1027774.843,0.006095293,119.8,0.010799865,,,,,AVG Daily return,0.001695137,7.16439E-05,
1/18/2011,14.23,1.037172012,103717.2012,296.32,1.101561338,110156.1338,48.35,1.016824395,305047.3186,27.42,1.024663677,512331.8386,1031252.492,0.003383668,119.62,-0.001502504,,,,,STD Daily return,0.010109447,0.014594418,
1/19/2011,14.1,1.027696793,102769.6793,290.45,1.079739777,107973.9777,48.6,1.022082019,306624.6057,27.29,1.01980568,509902.8401,1027271.103,-0.003860732,119.19,-0.003594717,,,,,Sharpe ratio,2.661813216,0.077927843,
1/20/2011,14.08,1.026239067,102623.9067,289.83,1.077434944,107743.4944,49,1.030494217,309148.265,27.61,1.031763827,515881.9133,1035397.579,0.007910742,120.47,0.010739156,,,,,,,,
1/21/2011,14.45,1.053206997,105320.6997,326.58,1.214052045,121405.2045,48.1,1.011566772,303470.0315,27.74,1.036621824,518310.9118,1048506.848,0.012661096,121.61,0.009462937,,,,,,,,
1/24/2011,14.81,1.079446064,107944.6064,327.99,1.21929368,121929.368,48.75,1.025236593,307570.9779,27.97,1.045216741,522608.3707,1060053.323,0.011012303,123.41,0.014801414,,,,,,,,
1/25/2011,14.31,1.043002915,104300.2915,330.93,1.230223048,123022.3048,50.5,1.062039958,318611.9874,27.75,1.036995516,518497.7578,1064432.342,0.004130942,121.35,-0.016692326,,,,,,,,
1/26/2011,14.42,1.051020408,105102.0408,338.06,1.256728625,125672.8625,48.45,1.018927445,305678.2334,28.04,1.047832586,523916.293,1060369.43,-0.003816975,124.07,0.022414504,,,,,,,,
1/27/2011,15.54,1.132653061,113265.3061,334.17,1.242267658,124226.7658,49.8,1.047318612,314195.5836,28.26,1.056053812,528026.9058,1079714.561,0.018243766,123.61,-0.003707584,,,,,,,,
1/28/2011,15.42,1.123906706,112390.6706,327.93,1.219070632,121907.0632,48.35,1.016824395,305047.3186,28.1,1.050074738,525037.3692,1064382.422,-0.014200179,123.57,-0.000323598,,,,,,,,
1/31/2011,15.84,1.15451895,115451.895,322.91,1.200408922,120040.8922,47,0.988433228,296529.9685,28.17,1.052690583,526345.2915,1058368.047,-0.005650577,122.24,-0.01076313,,,,,,,,
2/1/2011,16.17,1.178571429,117857.1429,332.58,1.236356877,123635.6877,46.65,0.981072555,294321.7666,28.33,1.058669656,529334.8281,1065149.425,0.006407391,122.35,0.000899869,,,,,,,,
2/2/2011,16.04,1.16909621,116909.621,327.79,1.218550186,121855.0186,45.8,0.963196635,288958.9905,28.15,1.051943199,525971.5994,1053695.23,-0.010753605,122.37,0.000163465,,,,,,,,
2/3/2011,16.43,1.197521866,119752.1866,330.48,1.228550186,122855.0186,46.8,0.984227129,295268.1388,28.31,1.057922272,528961.136,1066836.48,0.012471586,117.53,-0.039552178,,,,,,,,
2/4/2011,16.88,1.2303207,123032.07,331.26,1.231449814,123144.9814,47.25,0.993690852,298107.2555,28.23,1.054932735,527466.3677,1071750.675,0.004606324,117.2,-0.002807794,,,,,,,,
2/7/2011,16.82,1.225947522,122594.7522,333.42,1.239479554,123947.9554,47.2,0.992639327,297791.7981,28.47,1.063901345,531950.6726,1076285.178,0.004230932,113.9,-0.028156997,,,,,,,,
2/8/2011,16.82,1.225947522,122594.7522,333.93,1.241375465,124137.5465,47.2,0.992639327,297791.7981,28.47,1.063901345,531950.6726,1076474.769,0.000176153,114.12,0.001931519,,,,,,,,
2/9/2011,16.67,1.215014577,121501.4577,333.55,1.239962825,123996.2825,47.05,0.989484753,296845.4259,28.31,1.057922272,528961.136,1071304.302,-0.004803148,116.69,0.022520154,,,,,,,,
2/10/2011,16.44,1.198250729,119825.0729,337.2,1.253531599,125353.1599,46.95,0.987381703,296214.511,28.6,1.068759342,534379.6712,1075772.415,0.004170722,117.15,0.003942069,,,,,,,,
2/11/2011,16.67,1.215014577,121501.4577,345.27,1.283531599,128353.1599,47.15,0.991587802,297476.3407,28.85,1.078101644,539050.8221,1086381.78,0.009862091,119.42,0.019376867,,,,,,,,
2/14/2011,17.14,1.249271137,124927.1137,344.31,1.279962825,127996.2825,46.85,0.985278654,295583.5962,28.99,1.083333333,541666.6667,1090173.659,0.003490374,119.55,0.001088595,,,,,,,,
2/15/2011,16.92,1.233236152,123323.6152,341.19,1.268364312,126836.4312,48.05,1.010515247,303154.5741,29.33,1.096038864,548019.432,1101334.053,0.010237262,121.48,0.016143873,,,,,,,,
2/16/2011,17.29,1.260204082,126020.4082,339.99,1.263903346,126390.3346,48.3,1.015772871,304731.8612,29.66,1.108370703,554185.3513,1111327.955,0.009074361,123.44,0.016134343,,,,,,,,
2/17/2011,17.96,1.309037901,130903.7901,340.99,1.267620818,126762.0818,47.05,0.989484753,296845.4259,30.17,1.127428999,563714.4993,1118225.797,0.006206846,122.83,-0.004941672,,,,,,,,
2/18/2011,17.63,1.284985423,128498.5423,340.92,1.267360595,126736.0595,47.45,0.997896951,299369.0852,30.92,1.155455904,577727.9522,1132331.639,0.012614485,124,0.00952536,,,,,,,,
2/22/2011,17.44,1.271137026,127113.7026,331.11,1.230892193,123089.2193,47.5,0.998948475,299684.5426,30.29,1.131913303,565956.6517,1115844.116,-0.014560684,121.71,-0.018467742,,,,,,,,
2/23/2011,17.57,1.280612245,128061.2245,327.14,1.216133829,121613.3829,47.65,1.002103049,300630.9148,30.31,1.132660688,566330.3438,1116635.866,0.000709552,120.58,-0.009284364,,,,,,,,
